,https://roic.ai/company/AXTA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,4315800000,4256800000,3986800000,4391500000,4113300000,4097400000,4377000000,4696000000,4482200000,3737600000,4416200000
2,COGS,3074500000,2932600000,2772800000,2897200000,2597300000,2527600000,2779600000,3106300000,2917900000,2457900000,2987300000
3,Gross Profit,1241300000,1324200000,1214000000,1494300000,1516000000,1569800000,1597400000,1589700000,1564300000,1279700000,1428900000
4,Gross Profit Ratio,0.2876,0.3111,0.3045,0.3403,0.3686,0.3831,0.3650,0.3385,0.3490,0.3424,0.3236
5,Research and Development Exp.,49600000,41500000,40500000,49500000,51600000,57700000,65300000,73100000,70200000,55200000,62400000
6,General and Administrative Exp.,869100000,873400000,1040600000,991500000,914800000,962500000,997700000,959100000,822100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",869100000,873400000,1040600000,991500000,914800000,962500000,997700000,959100000,822100000,695000000,738700000
9,Other Expenses,- -,- -,79900000,83800000,80700000,83400000,101200000,115400000,183800000,224000000,165400000
10,Operating Expenses,918700000,914900000,1161000000,1124800000,1047100000,1103600000,1164200000,1147600000,1076100000,974200000,966500000
11,COGS and Expenses,3993200000,3847500000,3933800000,4022000000,3644400000,3631200000,3943800000,4253900000,3994000000,3432100000,3953800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),200000,- -,215100000,217700000,196500000,178200000,147000000,159600000,162600000,149900000,134200000
14,Depreciation and Amortization,108700000,110700000,300700000,308700000,307700000,322100000,347500000,369100000,353000000,320300000,316500000
15,EBITDA,409000000,499200000,246100000,555900000,661200000,581900000,673100000,790000000,842000000,592000000,790700000
16,EBITDA ratio,0.0948,0.1173,0.0617,0.1266,0.1607,0.1420,0.1538,0.1682,0.1879,0.1584,0.1790
17,Operating Income,322600000,409300000,24900000,369500000,468900000,408300000,362300000,442100000,488200000,305500000,462400000
18,Operating Income ratio,0.0747,0.0962,0.0062,0.0841,0.1140,0.0996,0.0828,0.0941,0.1089,0.0817,0.1047
19,Total Other Income Expenses (Gains),-20400000,-16300000,-288600000,-332700000,-307700000,-320900000,-172700000,-174600000,-158200000,-183300000,-121900000
20,Income Before Tax,302200000,393000000,-263700000,36800000,161200000,87400000,189600000,267500000,330000000,122200000,340500000
21,Income Before Tax Ratio,0.0700,0.0923,-0.0661,0.0084,0.0392,0.0213,0.0433,0.0570,0.0736,0.0327,0.0771
22,Income Tax expense (Gain),120700000,145200000,-44800000,2100000,63300000,39800000,141900000,54200000,77400000,200000,76100000
23,Net Income,179400000,243300000,-224900000,27400000,93700000,41800000,36700000,207100000,249000000,121600000,263900000
24,Net Income ratio,0.0416,0.0572,-0.0564,0.0062,0.0228,0.0102,0.0084,0.0441,0.0556,0.0325,0.0598
25,EPS,0.78,1.06,-0.98,0.12,0.40,0.18,0.15,0.87,1.06,0.52,1.12
26,EPS Diluted,0.78,1.06,-0.98,0.12,0.39,0.17,0.15,0.85,1.06,0.52,1.12
27,Weighted Average Shares Outstanding,229069356,229069356,229069356,229300000,233800000,238100000,240400000,239000000,233900000,235200000,235200000
28,Weighted Average Shares Outstanding Diluted,229069356,229069356,229069356,230300000,239700000,244400000,246100000,242900000,235800000,236000000,236000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616862/000161686215000003/0001616862-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686216000044/0001616862-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686217000013/0001616862-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686218000010/0001616862-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686219000012/0001616862-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686220000012/0001616862-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686221000013/0001616862-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1616862/000161686222000010/0001616862-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,28700000,459300000,382100000,485000000,535400000,769800000,693600000,1017500000,1360900000,840600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,28700000,459300000,382100000,485000000,535400000,769800000,693600000,1017500000,1360900000,840600000
