,https://roic.ai/company/QEGY,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,73702,116422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,73702,116422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,93438,41271,- -,- -,1232,58642,362671,165883,212269,320029,37409,233471,210929
7,Selling and Marketing Exp.,- -,- -,10042,- -,- -,- -,- -,1050,18844,8128,7846,9551,296,888,- -
8,"Selling, General and Administrative Exp.",334931,254846,103480,41271,- -,- -,1232,59692,381515,174011,220115,329580,37705,234359,210929
9,Other Expenses,34790,232968,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304086,- -,- -
10,Operating Expenses,369721,487814,- -,- -,- -,- -,1232,- -,- -,- -,- -,- -,341791,- -,210929
11,COGS and Expenses,369721,487814,104218,42058,- -,- -,1232,59692,635404,338538,220115,329580,341791,234359,210929
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),478363,115775,500133,106080,- -,- -,- -,20591,- -,- -,1240,- -,- -,499004,28257
14,Depreciation and Amortization,34790,225794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-2561244,-144553,-115586,-48661,- -,- -,-1232,-59692,-635404,-338538,-1173750,-449613,-341791,-234359,-210929
16,EBITDA ratio,-34.7514,-1.2416,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-296019,-371392,-104218,-42058,- -,- -,-1232,-59692,-635404,-330418,-1173750,-449613,-341791,-234930,-210929
18,Operating Income ratio,-4.0164,-3.1900,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-2300015,-114730,12106,7390,- -,- -,- -,1995468,- -,-8120,-1240,- -,- -,-816618,-6470
20,Income Before Tax,- -,-486122,- -,- -,- -,- -,-1232,1935776,-635404,-338538,-1174990,-449613,-341791,-1051548,-217399
21,Income Before Tax Ratio,- -,-4.1755,- -,- -,- -,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3074397,-486122,-592245,-140748,- -,- -,-1232,1935776,-635404,-330418,-1174990,-449613,-341791,-1051548,-217399
24,Net Income ratio,-41.7139,-4.1755,-Infinity,-Infinity,- -,- -,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.44,-0.07,-0.07,-0.02,- -,- -,-0.00,0.05,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.00
26,EPS Diluted,-0.44,-0.07,-0.07,-0.02,- -,- -,-0.00,0.05,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.00
27,Weighted Average Shares Outstanding,6963450,7050000,7050000,7050000,- -,- -,7466400,38216400,44816725,45319625,59096928,61607764,48383148,48491485,48491485
28,Weighted Average Shares Outstanding Diluted,6963450,7050000,7050000,7050000,- -,- -,7466400,38216400,44816725,45319625,59096928,61607764,48383148,48491485,48491485
29,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295961/000143774921001123/0001437749-21-001123-index.htm,https://www.sec.gov/Archives/edgar/data/1295961/000143774921009779/0001437749-21-009779-index.htm,https://www.sec.gov/Archives/edgar/data/1295961/000143774921014770/0001437749-21-014770-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,58316,40823,1036,784,- -,- -,- -,- -,18953,81,19834,19864,1578,47,47
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,58316,40823,1036,784,- -,- -,- -,- -,18953,81,19834,19864,1578,47,47
34,Net Receivables,323922,- -,- -,- -,- -,- -,- -,- -,- -,- -,67500,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2500,2500,- -,- -,- -,- -,- -,- -,- -,- -,7822,37500,- -,- -,- -
37,Total Current Assets,384738,43323,1036,784,- -,- -,- -,- -,18953,81,95156,57364,1578,47,47
38,PP&E,950584,1526,787,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,8394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,8394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,179561,15034,670033,7822,- -,- -,- -
45,Total Non-Current Assets,958978,1526,787,- -,- -,- -,- -,- -,179561,15034,670033,7822,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7822,- -,- -
47,Total Assets,1343716,44849,1823,784,- -,- -,- -,- -,198514,15115,765189,65186,9400,47,47
48,Accounts Payable,248698,317611,- -,- -,- -,- -,561230,158874,12251,10000,40500,47783,68331,324725,563910
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1767708,- -,- -,- -,- -,- -,72280,- -,249820
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2144760,1994760,2480342,2620051,- -,- -,- -,206788,12000,24392,2980,7280,183185,588005,316399
53,Total Current Liabilities,2393458,2312371,2480342,2620051,- -,- -,2328938,365662,24251,34392,43480,55063,323796,912730,1130129
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,381250,381250,762500,762500,- -,- -,- -,- -,11042,- -,5000,152198,- -,- -,- -
58,Total Non-Current Liabilities,381250,381250,762500,762500,- -,- -,- -,- -,11042,- -,5000,152198,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2774708,2693621,3242842,3382551,- -,- -,2328938,365662,35293,34392,48480,207261,323796,912730,1130129
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1200,1200,1000,- -,- -,- -,- -
63,Common Stock,47000,47000,47000,47000,- -,- -,7466,27550,44817,45347,59912,47362,48491,48491,48491
64,Retained Earnings,-3163905,-4381685,-4973932,-5114680,- -,- -,-5230053,-2126075,-6074011,-6404451,-10223033,-11017516,- -,-12410855,-12628254
65,Other Comprehensive Income/Loss,-31476,-3536,-4275,-5062,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,1717389,1689449,1690188,1690975,- -,- -,2893649,1732863,6202257,6338627,10878830,10828079,-362887,11449681,11449681
