,https://roic.ai/company/PHCF,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,14467937,6649536,4139181,3180634,2179480,2031016
2,COGS,- -,82076,367548,316718,202637,260358
3,Gross Profit,14467937,6567460,3771633,2863916,1976843,1770658
4,Gross Profit Ratio,1.0000,0.9877,0.9112,0.9004,0.9070,0.8718
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1989468,1860962,1967294,3421412,4977537,4962114
7,Selling and Marketing Exp.,11826919,3533367,1500572,2005367,1517968,735402
8,"Selling, General and Administrative Exp.",13816387,5394329,3467866,5426779,6495505,5697516
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13816387,5394329,3467866,5426779,6495505,5697516
11,COGS and Expenses,13816387,5476405,3835414,5743497,6698142,5957874
12,Interest Income ,2865,1091,11526,62967,74824,219
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,110683,93403,78514,135939,1065724,1066696
15,EBITDA,775251,1226060,702180,-1929142,-2800775,-3680169
16,EBITDA ratio,0.0536,0.1844,0.1696,-0.6065,-1.2851,-1.8120
17,Operating Income,651550,1173131,303767,-2568491,-4518662,-3926858
18,Operating Income ratio,0.0450,0.1764,0.0734,-0.8075,-2.0733,-1.9334
19,Total Other Income Expenses (Gains),13018,-40474,-29620,-142306,10444,-1202846
20,Income Before Tax,664568,1132657,274147,-2710797,-4508218,-5129704
21,Income Before Tax Ratio,0.0459,0.1703,0.0662,-0.8523,-2.0685,-2.5257
22,Income Tax expense (Gain),209923,175435,148320,392105,179449,-11065
23,Net Income,454645,957222,475346,-2457186,-4045948,-4735800
24,Net Income ratio,0.0314,0.1440,0.1148,-0.7725,-1.8564,-2.3317
25,EPS,0.04,0.08,0.04,-0.23,-0.35,-0.44
26,EPS Diluted,0.04,0.08,0.04,-0.23,-0.35,-0.44
27,Weighted Average Shares Outstanding,12000000,12000000,12000000,10793017,11507558,10793017
28,Weighted Average Shares Outstanding Diluted,12000000,12000000,12000000,10793017,11507558,10793017
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,24680,322518,4809040,2004625,744436,581289
32,Short-Term Investments,- -,- -,1101317,706226,515729,394767
33,Cash and Short-Term Investments,24680,322518,5910357,2710851,1260165,976056
34,Net Receivables,- -,356448,2725482,4604152,2977887,1276211
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,715138,437041,1172063,1401267,1122164,1000211
37,Total Current Assets,739818,1116007,9807902,8716270,5360216,3252478
38,PP&E,276973,83921,- -,- -,1721470,1239964
39,Goodwill,- -,- -,- -,- -,1864053,1864053
40,Intangible Assets,- -,- -,- -,10241,918787,821012
41,Intangible Assets,- -,- -,- -,10241,2782840,2685065
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,813593,620265,782911,347195,159720,179310
44,Other Non-Current Assets,- -,- -,552443,5303376,2022430,1072648
45,Total Non-Current Assets,1090566,704186,1335354,5660812,6686460,5176987
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1830384,1820193,11143256,14377082,12046676,8429465
48,Accounts Payable,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,302001,315983,- -,1816680
50,Tax Payable,- -,- -,- -,- -,- -,25097
51,Deferred Revenue,- -,- -,554166,227622,1061162,377161
