,https://roic.ai/company/BCC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1973250000,2240591000,2248088000,2779062000,3273496000,3573732000,3633415000,3911215000,4431991000,4995290000,4643404000,5474838000,7926111000
2,COGS,1786983000,1980975000,1992677000,2403445000,2846614000,3065671000,3153520000,3398433000,3819659000,4307594000,3965776000,4536051000,6300076000
3,Gross Profit,186267000,259616000,255411000,375617000,426882000,508061000,479895000,512782000,612332000,687696000,677628000,938787000,1626035000
4,Gross Profit Ratio,0.0944,0.1159,0.1136,0.1352,0.1304,0.1422,0.1321,0.1311,0.1382,0.1377,0.1459,0.1715,0.2051
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,40753000,40039000,37242000,43122000,45489000,48489000,49425000,60585000,63068000,68811000,71072000,78636000,83304000
7,Selling and Marketing Exp.,190431000,202464000,204998000,235055000,245283000,264173000,273308000,300797000,327355000,363138000,390739000,428279000,491016000
8,"Selling, General and Administrative Exp.",231184000,242503000,242240000,278177000,290772000,312662000,322733000,361382000,390423000,431949000,461811000,506915000,574320000
9,Other Expenses,38532000,34888000,38925000,34309000,37353000,49850000,53973000,71822000,80756000,145395000,79358000,95136000,79988000
10,Operating Expenses,269716000,277391000,281165000,312486000,328125000,362512000,376706000,433204000,471179000,577344000,541169000,602051000,654308000
11,COGS and Expenses,2056699000,2258366000,2273842000,2715931000,3174739000,3428183000,3530226000,3831637000,4290838000,4884938000,4506945000,5138102000,6954384000
12,Interest Income ,886000,790000,407000,392000,241000,237000,323000,390000,547000,1649000,2811000,999000,195000
13,Interest Expense (Gain),22520000,21005000,18987000,21757000,20426000,22049000,22532000,26692000,25370000,26193000,26051000,26223000,24806000
14,Depreciation and Amortization,43679000,37674000,39232000,37211000,39810000,53052000,57197000,74927000,82321000,148937000,82377000,97131000,82489000
15,EBITDA,-31639000,25682000,12096000,100771000,138384000,198406000,160411000,144920000,225279000,197232000,216659000,409665000,1056146000
16,EBITDA ratio,-0.0160,0.0115,0.0054,0.0363,0.0423,0.0555,0.0441,0.0371,0.0508,0.0395,0.0467,0.0748,0.1332
17,Operating Income,-83449000,-13162000,-27046000,63131000,98757000,145549000,103189000,79578000,141153000,72038000,136459000,335029000,971803000
18,Operating Income ratio,-0.0423,-0.0059,-0.0120,0.0227,0.0302,0.0407,0.0284,0.0203,0.0318,0.0144,0.0294,0.0612,0.1226
19,Total Other Income Expenses (Gains),-14389000,-19835000,-19077000,-21328000,-20609000,-22244000,-22507000,-36277000,-23565000,-49936000,-28228000,-48718000,-22952000
20,Income Before Tax,-97838000,-32997000,-46123000,41803000,78148000,123305000,80682000,43301000,117588000,22102000,108231000,286311000,948851000
21,Income Before Tax Ratio,-0.0496,-0.0147,-0.0205,0.0150,0.0239,0.0345,0.0222,0.0111,0.0265,0.0044,0.0233,0.0523,0.1197
22,Income Tax expense (Gain),660000,300000,240000,307000,-38788000,43296000,28500000,5047000,34631000,1625000,27306000,111332000,236365000
23,Net Income,-98498000,-33297000,-46363000,41496000,116936000,80009000,52182000,38254000,82957000,20477000,80925000,174979000,712486000
24,Net Income ratio,-0.0499,-0.0149,-0.0206,0.0149,0.0357,0.0224,0.0144,0.0098,0.0187,0.0041,0.0174,0.0320,0.0899
25,EPS,-2.51,-0.85,-1.18,1.00,2.91,2.03,1.33,0.99,2.15,0.53,2.07,4.45,18.14
26,EPS Diluted,-2.51,-0.85,-1.18,1.00,2.91,2.03,1.33,0.98,2.12,0.52,2.06,4.44,18.07
27,Weighted Average Shares Outstanding,39311000,39311000,39311000,41464706,40203000,39412000,39239000,38761000,38623000,38932000,39039000,39277000,39277000
28,Weighted Average Shares Outstanding Diluted,41464706,41464706,39311000,41464706,40226000,39492000,39355000,38925000,39074000,39387000,39242000,39431000,39431000
