,https://roic.ai/company/TIG,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,78503000,102515000,132260000,219916000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,202106000,- -
4,Gross Profit Ratio,- -,- -,1.5281,- -
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,15706000,21005000,51029000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15679000,21005000,51029000,50219000
9,Other Expenses,-16318000,-21126000,-12361000,- -
10,Operating Expenses,-639000,-121000,38668000,- -
11,COGS and Expenses,52353000,67714000,36999000,- -
12,Interest Income ,90000,127000,25000,4000
13,Interest Expense (Gain),1557000,2169000,1922000,- -
14,Depreciation and Amortization,497000,876000,3485000,- -
15,EBITDA,27122000,41404000,103001000,19330000
16,EBITDA ratio,0.3455,0.4039,0.7788,0.0879
17,Operating Income,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),7826000,- -,-68177000,24754221
20,Income Before Tax,26150000,34801000,95261000,24779000
21,Income Before Tax Ratio,0.3331,0.3395,0.7203,0.1127
22,Income Tax expense (Gain),5546000,7074000,6825000,- -
23,Net Income,19522000,31285000,90769000,19330000
24,Net Income ratio,0.2487,0.3052,0.6863,0.0879
25,EPS,0.38,0.68,2.08,0.44
26,EPS Diluted,0.38,0.68,2.07,0.44
27,Weighted Average Shares Outstanding,51142857,51142857,43744003,43744003
28,Weighted Average Shares Outstanding Diluted,51142857,51142857,43744744,43744744
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1801754/000180175421000006/0001801754-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1801754/000180175422000005/0001801754-22-000005-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,53574000,74268000,153149000,129577000
32,Short-Term Investments,- -,- -,409378000,- -
33,Cash and Short-Term Investments,53574000,74268000,562527000,129577000
34,Net Receivables,335843000,392019000,453752000,519621000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,399746000,441988000,-863130000,154164000
37,Total Current Assets,789163000,908275000,153149000,803362000
38,PP&E,8134000,7937000,14592000,12162000
39,Goodwill,2822000,2822000,140640000,142347000
40,Intangible Assets,- -,- -,75316000,73114000
41,Intangible Assets,2822000,2822000,215956000,215461000
42,Investments,- -,- -,232000,472030000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-6570000,- -
45,Total Non-Current Assets,10956000,10759000,224210000,699653000
46,Other Assets,- -,- -,- -,2202668000
