,https://roic.ai/company/EXK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,- -,- -,- -,- -,15243600,32319000,39302000,50769000,86510000,127997000,208079000,276783000,196928000,183556000,156767000,150499000,150509000,121724000,138461000,165320000
2,COGS,- -,- -,- -,- -,- -,- -,- -,24335000,27802000,29478000,41514000,59197000,130126000,219868000,182559000,166816000,117874000,122020000,147001000,139085000,111126000,128952000
3,Gross Profit,- -,- -,- -,- -,- -,- -,15243600,7984000,11500000,21291000,44996000,68800000,77953000,56915000,14369000,16740000,38893000,28479000,3508000,-17361000,27335000,36368000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,0.2470,0.2926,0.4194,0.5201,0.5375,0.3746,0.2056,0.0730,0.0912,0.2481,0.1892,0.0233,-0.1426,0.1974,0.2200
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,308439,- -,6353499,9517000,7427000,6157000,10164000,10959000,12998000,11414000,9470000,7481000,9036000,7632000,8372000,9663000,12513000,9898000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,308439,- -,6353499,9517000,7427000,6157000,10164000,10959000,12998000,11414000,9470000,7481000,9036000,7632000,8372000,9663000,12513000,9898000
9,Other Expenses,- -,24316,22776,- -,237,- -,11489669,10649000,16953000,13658000,19730000,91000,11355000,13398000,12809000,6673000,10710000,13266000,12787000,12526000,15565000,19708000
10,Operating Expenses,- -,24316,22776,- -,308676,- -,17843167,20166000,24380000,19815000,29894000,21257000,24353000,24812000,22279000,14154000,19746000,20898000,21159000,22189000,28078000,29606000
11,COGS and Expenses,- -,24316,22776,120257,308676,- -,17843167,44501000,52182000,49293000,71408000,80454000,154479000,244680000,204838000,180970000,137620000,142918000,168160000,161274000,139204000,158558000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,- -,- -,- -,56000,65000,- -,211000,394000,918000,723000
14,Depreciation and Amortization,- -,259,527,290,237,- -,2566585,4682000,8383000,11264000,15447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24527000
15,EBITDA,- -,11237,-24949,-123372,-308439,- -,378790,-6351000,-8620000,13431000,31993000,35582000,60086000,-95959000,-96474000,-141858000,12384000,7887000,-17500000,-43610000,-136000,54938000
16,EBITDA ratio,- -,17267.0042,-Infinity,-Infinity,-Infinity,- -,0.0248,-0.1965,-0.2193,0.2646,0.3698,0.2780,0.2888,-0.3467,-0.4899,-0.7728,0.0790,0.0524,-0.1163,-0.3583,-0.0010,0.3323
17,Operating Income,- -,19993,-26660,-124713,-346973,- -,-2599568,-12182000,-12880000,10000,14014000,47543000,53632000,-102918000,-91502000,-131308000,19231000,7667000,-17501000,-43931000,-793000,22230000
18,Operating Income ratio,- -,30720.0075,-Infinity,-Infinity,-Infinity,- -,-0.1705,-0.3769,-0.3277,0.0002,0.1620,0.3714,0.2577,-0.3718,-0.4646,-0.7154,0.1227,0.0509,-0.1163,-0.3609,-0.0057,0.1345
19,Total Other Income Expenses (Gains),- -,35100,2700,3405,-271153,- -,411772,1149000,-4123000,2157000,2532000,-11965000,6454000,6959000,-4972000,-10606000,-6912000,220000,-210000,-73000,-261000,7458000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-2187795,-11033000,-17003000,2167000,16546000,35578000,60086000,-95959000,-96474000,-141914000,12319000,7887000,-17711000,-44004000,-1054000,29688000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.1435,-0.3414,-0.4326,0.0427,0.1913,0.2780,0.2888,-0.3467,-0.4899,-0.7731,0.0786,0.0524,-0.1177,-0.3615,-0.0076,0.1796
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,1371244,1169000,1001000,4093000,9467000,16823000,17969000,-6494000,-21941000,8027000,8409000,-1797000,-5272000,4062000,-2213000,15733000
23,Net Income,- -,10978,-20825,-125242,-583603,- -,-3559039,-12202000,-18004000,-1926000,7079000,18755000,42117000,-89465000,-74533000,-149941000,3910000,9684000,-12439000,-48066000,1159000,13955000
24,Net Income ratio,- -,16869.0041,-Infinity,-Infinity,-Infinity,- -,-0.2335,-0.3775,-0.4581,-0.0379,0.0818,0.1465,0.2024,-0.3232,-0.3785,-0.8169,0.0249,0.0643,-0.0826,-0.3949,0.0084,0.0844
25,EPS,- -,0.00,-1.13,-0.04,-0.08,- -,-0.09,-0.27,-0.37,-0.04,0.11,0.22,0.45,-0.90,-0.74,-1.47,0.03,0.08,-0.10,-0.36,0.01,0.08
26,EPS Diluted,- -,0.00,-1.13,-0.04,-0.08,- -,-0.09,-0.27,-0.37,-0.04,0.10,0.22,0.42,-0.90,-0.74,-1.47,0.03,0.08,-0.10,-0.36,0.01,0.08
27,Weighted Average Shares Outstanding,- -,37713913,18509,3263684,6994323,17103213,37713913,45441128,49032192,53212960,65646786,84326682,93266038,99720704,101314393,101996503,117505811,127340834,128600421,133516667,150901598,167289732
28,Weighted Average Shares Outstanding Diluted,- -,37713913,18509,3263684,7084700,17103213,37713913,45441128,49032192,53212960,69122226,86364543,95728031,99720704,101314393,101996503,119030666,127957573,128600421,133516667,154039714,170663883
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299309001046/0001062993-09-001046-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299310000915/0001062993-10-000915-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299311001110/0001062993-11-001110-index.html,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299313001635/0001062993-13-001635-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299316008243/0001062993-16-008243-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299317001429/0001062993-17-001429-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299318000989/0001062993-18-000989-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299319001052/0001062993-19-001052-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299320001269/0001062993-20-001269-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,102146,406856,15981574,31860444,16577000,3582000,26702000,68037000,75434000,18617000,35004000,31045000,20413000,72317000,38277000,33376000,23368000,61083000,103303000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,3008342,3573000,35000,2045000,20090000,34099000,8520000,1463000,786000,614000,85000,168000,88000,69000,4767000,11200000
33,Cash and Short-Term Investments,- -,- -,- -,102146,406856,15981574,34868786,20150000,3617000,28747000,88127000,109533000,27137000,36467000,31831000,21027000,72402000,38445000,33464000,23437000,65850000,114503000
34,Net Receivables,- -,- -,- -,2944,7539,1497331,3100292,7428000,5509000,9158000,12007000,7392000,20526000,23749000,19715000,24343000,25560000,34012000,26947000,22950000,20196000,14639000
35,Inventory,- -,- -,- -,- -,- -,- -,3257205,2916000,3159000,6100000,12971000,34195000,40797000,23647000,21604000,17350000,13431000,13131000,14894000,13589000,16640000,27485000
36,Other Current Assets,- -,- -,- -,1432,34692,- -,34981,- -,813000,1028000,2061000,3773000,9940000,3341000,2656000,2510000,2037000,2911000,2704000,3302000,2284000,5135000
37,Total Current Assets,- -,- -,- -,106521,449087,17478905,41261264,30494000,13098000,45033000,115166000,154893000,98400000,87204000,75806000,65230000,113430000,88499000,78009000,63278000,104970000,161762000
38,PP&E,- -,- -,- -,34649,21807,3798863,21659065,46848000,51125000,57002000,72479000,93528000,338431000,278533000,182730000,47925000,66238000,88816000,88777000,89670000,88816000,122861000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39245000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,975000,492000,40000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39245000,- -,- -,- -,- -,- -,- -,975000,492000,40000
42,Investments,- -,- -,- -,- -,- -,- -,- -,4000000,2155000,2693000,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6253000,223000,183000,655000,9147000,7136000,12753000,936000
44,Other Non-Current Assets,- -,- -,- -,- -,99546,4897537,- -,809000,914000,1153000,778000,- -,1451000,1186000,1048000,855000,659000,610000,1114000,2654000,3561000,8425000
45,Total Non-Current Assets,- -,- -,- -,34649,121353,8696401,21659065,51657000,54194000,60848000,73257000,94128000,379127000,279719000,190031000,49003000,67080000,90081000,99038000,100435000,105622000,132262000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,141171,570440,26175306,62920329,82151000,67292000,105881000,188423000,249021000,477527000,366923000,265837000,114233000,180510000,178580000,177047000,163713000,210592000,294024000
48,Accounts Payable,- -,- -,- -,20718,41919,1156363,3038326,4348000,5339000,5230000,9464000,9084000,34631000,17221000,17408000,18949000,18229000,19068000,19470000,19775000,27764000,31991000
49,Short-Term Debt,- -,- -,- -,17915,- -,- -,- -,- -,- -,231000,231000,- -,9000000,33000000,29000000,23180000,9000000,- -,- -,3122000,3751000,4335000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,545000,3260000,3482000,3854000,3259000,8181000,5844000,4631000,3185000,4050000,1947000,3038000,4228000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,10666,- -,3997,781000,- -,799000,3260000,3482000,3854000,4750000,8181000,5844000,4631000,3185000,4050000,1947000,3038000,4228000
53,Total Current Liabilities,- -,- -,- -,38633,52585,1156363,3042323,5129000,5339000,6260000,12955000,12566000,47485000,54971000,54589000,47973000,31860000,22253000,23520000,24844000,34553000,40554000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8397000,56000,- -,- -,- -,- -,- -,- -,- -,- -,5917000,6094000,7160000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,2971362,5068000,4036000,8103000,14157000,20806000,69517000,49053000,12479000,7623000,7545000,1592000,335000,682000,1077000,1506000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,953475,1578000,1445000,1740000,2242000,15859000,20329000,6751000,6496000,7762000,7846000,8218000,8412000,9477000,9797000,7397000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,3924837,6646000,5481000,18240000,16455000,36665000,89846000,55804000,18975000,15385000,15391000,9810000,8747000,16076000,16968000,16063000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,17915,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1180000,- -,- -,- -,1238000,1094000,1001000
61,Total Liabilities,- -,- -,- -,38633,52585,1156363,6967160,11775000,10820000,24500000,29410000,49231000,137331000,110775000,73564000,63358000,47251000,32063000,32267000,40920000,51521000,56617000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357296000,358408000,367853000,368898000,449594000,450740000,459109000,482170000,517711000,585406000
64,Retained Earnings,- -,- -,- -,-2826277,-3726758,-11371620,-14889795,-26723000,-44727000,-46653000,-39574000,-66725000,-24597000,-113015000,-179252000,-327343000,-323068000,-313097000,-324005000,-370859000,-368302000,-354330000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3894,151180,- -,-3314174,720000,212000,749000,1656000,-1700000,-5331000,-4081000,-4758000,-145000,44000,127000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,2932708,4249181,- -,74157136,104861000,115557000,154478000,242239000,333789000,12828000,14836000,8430000,9465000,6689000,8747000,9676000,11482000,9662000,6331000
67,Total Stockholders Equity,- -,- -,- -,102537,517855,25018943,54828787,70376000,56472000,81381000,159013000,199790000,340196000,256148000,192273000,50875000,133259000,146517000,144780000,122793000,159071000,237407000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,141171,570440,26175306,61795947,82151000,67292000,105881000,188423000,249021000,477527000,366923000,265837000,114233000,180510000,178580000,177047000,163713000,210592000,294024000
69,Minority Interest,- -,- -,- -,0,- -,- -,1124381,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,141171,570440,26175306,62920329,82151000,67292000,105881000,188423000,249021000,477527000,366923000,265837000,114233000,180510000,178580000,177047000,163713000,210592000,294024000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299309001046/0001062993-09-001046-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299310000915/0001062993-10-000915-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299311001110/0001062993-11-001110-index.html,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299313001635/0001062993-13-001635-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1277866/000106299316008243/0001062993-16-008243-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299317001429/0001062993-17-001429-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299318000989/0001062993-18-000989-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299319001052/0001062993-19-001052-index.html,https://www.sec.gov/Archives/edgar/data/1277866/000106299320001269/0001062993-20-001269-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,10978,-20825,-125242,-583603,-2079199,-3559039,-12202000,-18004000,-1926000,7079000,18755000,42117000,-89465000,-74533000,-149941000,3910000,9684000,-12439000,-48066000,1159000,13955000
74,Depreciation and Amortization,- -,259,527,290,237,3894,2566585,4682000,8383000,11264000,15447000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,1366247,300000,21000,4068000,6054000,8045000,2135000,-20464000,-42827000,1174000,-38000,-6425000,-9749000,2358000,-5206000,12252000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2349000,1801000,4679000,4857000,4724000,3544000,3600000,2885000,3482000,2861000,2426000,3195000,3003000,3636000
77,Change in Working Capital,- -,3550,5990,12959,-7821,-525659,-2912395,-1577000,-291000,-3103000,-700000,-15028000,-6907000,-5041000,9473000,-2591000,-983000,-7993000,4492000,-684000,10138000,-8776000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,52000,-1264000,-2832000,901000,-25387000,-3111000,2964000,-4628000,-1887000,-8520000,7303000,1600000,-2200000,3919000
79,Inventory,- -,- -,- -,- -,- -,- -,-2173802,634000,-662000,-2043000,-4951000,-14041000,-13525000,9487000,647000,2652000,2793000,884000,-3304000,511000,-2003000,-11103000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25547000,-17309000,187000,1576000,-1149000,963000,421000,-94000,7955000,3786000
81,Other Working Capital,- -,3550,5990,- -,- -,- -,1,- -,- -,- -,- -,- -,372000,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-35100,-2700,3334,196358,1249938,4723397,6440000,2918000,142000,125000,32203000,33952000,187970000,143050000,181120000,16598000,17463000,41918000,33619000,29870000,2395000
83,Cash Provided by Operating Activities,- -,-20312,-17008,-108658,-394829,-1351026,2184796,-2357000,-4624000,12246000,32684000,48832000,76021000,76544000,38763000,32647000,22969000,15590000,26648000,-9578000,38964000,23462000
84,CAPEX,- -,-4685,-4118,- -,-15249,-4129312,-10929977,-17649000,-12625000,-17065000,-30176000,-46942000,-66236000,-88518000,-41748000,-35662000,-19635000,-39835000,-40398000,-21799000,-25539000,-54092000
