,https://roic.ai/company/LXFR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,475900000,382096599,402700000,510800000,511600000,481300000,489500000,460300000,414800000,441300000,487900000,443500000,324800000,374100000
2,COGS,381800000,304157302,305100000,390400000,385700000,363500000,376600000,356300000,321400000,332700000,365800000,335500000,243900000,278100000
3,Gross Profit,94100000,77939298,97600000,120400000,125900000,117800000,112900000,104000000,93400000,108600000,122100000,108000000,80900000,96000000
4,Gross Profit Ratio,0.1977,0.2040,0.2424,0.2357,0.2461,0.2448,0.2306,0.2259,0.2252,0.2461,0.2503,0.2435,0.2491,0.2566
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,5700000,3300000,3900000
6,General and Administrative Exp.,44400000,41718545,44500000,48900000,50100000,1700000,59700000,52600000,50800000,58900000,60800000,55100000,- -,- -
7,Selling and Marketing Exp.,8300000,6953091,7400000,7300000,57000000,58700000,67800000,60500000,58600000,68200000,60800000,55100000,- -,- -
8,"Selling, General and Administrative Exp.",52700000,48671636,51900000,56200000,107100000,60400000,127500000,113100000,109400000,127100000,121600000,110200000,- -,47300000
9,Other Expenses,-500000,-161700,- -,-1800000,-50100000,- -,-57700000,-52600000,-50800000,-58900000,-60800000,-52600000,40200000,-200000
10,Operating Expenses,52200000,48509936,51900000,54400000,57000000,60400000,69800000,60500000,58600000,68200000,67200000,63300000,43500000,51000000
11,COGS and Expenses,434000000,352667238,357000000,444800000,442700000,423900000,446400000,416800000,380000000,400900000,433000000,398800000,287400000,329100000
12,Interest Income ,300000,161700,200000,200000,200000,300000,500000,500000,500000,500000,400000,100000,- -,- -
13,Interest Expense (Gain),17700000,11157285,9600000,9200000,5700000,5000000,5200000,6500000,6300000,6300000,5000000,4700000,5000000,3100000
14,Depreciation and Amortization,14700000,14067882,13800000,14500000,14700000,15800000,18100000,18600000,18400000,19000000,19000000,15300000,13300000,15600000
15,EBITDA,53500000,40748347,59000000,80700000,79800000,67500000,59600000,50700000,52600000,37200000,54500000,29800000,45200000,54000000
16,EBITDA ratio,0.1124,0.1066,0.1465,0.1580,0.1560,0.1402,0.1218,0.1101,0.1268,0.0843,0.1117,0.0672,0.1392,0.1443
17,Operating Income,38700000,27650664,44900000,66200000,66700000,56500000,40900000,37900000,35800000,19300000,30000000,12400000,28500000,36200000
18,Operating Income ratio,0.0813,0.0724,0.1115,0.1296,0.1304,0.1174,0.0836,0.0823,0.0863,0.0437,0.0615,0.0280,0.0877,0.0968
19,Total Other Income Expenses (Gains),-17400000,-12127484,-9300000,-9200000,-7300000,-9800000,-4600000,-12300000,-7900000,-7400000,100000,-3300000,-700000,-800000
20,Income Before Tax,21300000,15523180,35600000,57000000,59400000,46700000,36300000,25600000,27900000,11900000,30100000,9100000,27800000,35400000
21,Income Before Tax Ratio,0.0448,0.0406,0.0884,0.1116,0.1161,0.0970,0.0742,0.0556,0.0673,0.0270,0.0617,0.0205,0.0856,0.0946
22,Income Tax expense (Gain),8200000,5982892,9900000,13600000,17000000,12600000,7100000,9500000,6000000,400000,5500000,6700000,6900000,5400000
23,Net Income,12900000,9540288,25700000,43400000,42400000,34100000,29200000,16100000,21900000,11500000,25000000,3100000,20000000,29900000
24,Net Income ratio,0.0271,0.0250,0.0638,0.0850,0.0829,0.0708,0.0597,0.0350,0.0528,0.0261,0.0512,0.0070,0.0616,0.0799
25,EPS,0.49,0.00,0.00,4.39,3.95,2.54,1.09,0.60,0.83,0.43,0.94,0.11,0.73,1.05
26,EPS Diluted,0.48,0.00,0.00,4.35,3.88,2.43,0.31,0.59,0.82,0.43,0.90,0.11,0.72,1.03
27,Weighted Average Shares Outstanding,26449162,769423688000,26449162,9884145,10741677,13407077,26889330,26918987,26443662,26460947,26708469,27289042,27557219,27722472
28,Weighted Average Shares Outstanding Diluted,26762593,769423688000,26762593,9980055,10927446,14023201,27735793,27372723,26714659,27002170,27692262,27882864,27971382,28033732
