,https://roic.ai/company/SYSX,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,48368000,41198000,4469000,5275000,11526000
2,COGS,36752000,33080000,2221000,4156000,9178000
3,Gross Profit,11616000,8118000,2248000,1119000,2348000
4,Gross Profit Ratio,0.2402,0.1970,0.5030,0.2121,0.2037
5,Research and Development Exp.,611000,849000,168000,- -,- -
6,General and Administrative Exp.,5602000,7632000,3968000,1700000,2631000
7,Selling and Marketing Exp.,5255000,4211000,1781000,1065000,1166000
8,"Selling, General and Administrative Exp.",10857000,11843000,5749000,2765000,3797000
9,Other Expenses,871000,2077000,4321000,2723000,313000
10,Operating Expenses,12339000,14769000,10238000,5488000,4110000
11,COGS and Expenses,49091000,47849000,11525000,9582000,13288000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),659000,1937000,855000,1049000,1721000
14,Depreciation and Amortization,966000,2264000,2655000,1677000,440000
15,EBITDA,-582000,-12713000,937000,-4610000,-1303000
16,EBITDA ratio,-0.0120,-0.3086,0.2097,-0.8739,-0.1130
17,Operating Income,-1552000,-14456000,-7056000,-4307000,-1762000
18,Operating Income ratio,-0.0321,-0.3509,-1.5789,-0.8165,-0.1529
19,Total Other Income Expenses (Gains),-655000,-2458000,4483000,-3029000,-1702000
20,Income Before Tax,-2207000,-16914000,-2573000,-7336000,-3464000
21,Income Before Tax Ratio,-0.0456,-0.4106,-0.5757,-1.3907,-0.3005
22,Income Tax expense (Gain),- -,- -,5328000,-1921000,- -
23,Net Income,-2207000,-16914000,-7901000,-5415000,-3464000
24,Net Income ratio,-0.0456,-0.4106,-1.7680,-1.0265,-0.3005
25,EPS,-7.07,-54.20,-27.00,-14.76,-8.46
26,EPS Diluted,-7.07,-54.20,-27.00,-14.76,-8.46
27,Weighted Average Shares Outstanding,312000,312000,293853,366883,409667
28,Weighted Average Shares Outstanding Diluted,312000,312000,293853,366883,409667
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1737372/000121390019005105/0001213900-19-005105-index.html,https://www.sec.gov/Archives/edgar/data/1737372/000121390020008250/0001213900-20-008250-index.htm,https://www.sec.gov/Archives/edgar/data/1737372/000121390021018255/0001213900-21-018255-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,938000,22000,6000,28000,167000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,938000,22000,6000,28000,167000
34,Net Receivables,10728000,2051000,321000,2069000,2186000
35,Inventory,200000,7000,- -,- -,- -
36,Other Current Assets,13979000,4901000,74000,28000,382000
37,Total Current Assets,25845000,6981000,401000,2125000,2735000
38,PP&E,332000,172000,27000,10000,99000
39,Goodwill,7805000,- -,- -,- -,- -
40,Intangible Assets,7189000,5113000,2572000,913000,600000
41,Intangible Assets,14994000,5113000,2572000,913000,600000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5247000,2274000,35000,29000,29000
45,Total Non-Current Assets,20573000,7559000,2634000,952000,728000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,46418000,14540000,3035000,3077000,3463000
48,Accounts Payable,21930000,24271000,13976000,10271000,8541000
49,Short-Term Debt,- -,- -,596000,826000,1616000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,14910000,5554000,- -,35000,402000
52,Other Current Liabilities,2563000,3215000,785000,467000,1297000
53,Total Current Liabilities,39403000,33040000,15357000,11599000,11856000
54,Long-Term Debt,- -,- -,- -,616000,14434000
55,Deferred Revenue,5960000,2636000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1717000,1036000,74000,10000,686000
58,Total Non-Current Liabilities,7677000,3672000,74000,626000,15120000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,101000
61,Total Liabilities,47080000,36712000,6158000,11615000,26976000
