,https://roic.ai/company/OBSV,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,11402000,16892000,23711000,54912000,62872000,88053000,67536000,53136000
6,General and Administrative Exp.,1560000,2954000,6452000,12568000,14297000,19058000,12182000,21491000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1560000,2954000,6452000,12568000,14297000,19058000,12182000,21491000
9,Other Expenses,- -,- -,-22000,-16000,-15000,-16000,- -,-20113000
10,Operating Expenses,12962000,19846000,30141000,67464000,77154000,107095000,79718000,54514000
11,COGS and Expenses,12917000,19829000,30141000,67464000,77154000,107095000,79701000,54514000
12,Interest Income ,109000,- -,36000,590000,393000,854000,648000,600000
13,Interest Expense (Gain),- -,38000,97000,1000,- -,2482000,3879000,3156000
14,Depreciation and Amortization,20000,36000,46000,70000,109000,737000,721000,736000
15,EBITDA,-12788000,-19793000,-30095000,-67394000,-77045000,-106358000,-78332000,-53778000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-12917000,-19829000,-30141000,-67464000,-77154000,-107095000,-79701000,-54514000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),109000,-38000,-61000,589000,393000,-1628000,-3231000,-3651000
20,Income Before Tax,-12808000,-19867000,-30202000,-66875000,-76761000,-108723000,-82932000,-58165000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,51000,-45000,67000,34000,212000
23,Net Income,-12808000,-19867000,-30202000,-66926000,-76716000,-108790000,-82966000,-58377000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.43,-0.67,-1.02,-2.25,-1.91,-2.49,-1.67,-1.34
26,EPS Diluted,-0.43,-0.67,-1.02,-2.25,-1.91,-2.49,-1.67,-1.34
27,Weighted Average Shares Outstanding,29631262,29631262,29631262,29799047,40172498,43674746,49820451,43674746
28,Weighted Average Shares Outstanding Diluted,29631262,29631262,29631262,29799047,40172498,43674746,49820451,43674746
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1685316/000156459018005150/0001564590-18-005150-index.html,https://www.sec.gov/Archives/edgar/data/1685316/000156459019006137/0001564590-19-006137-index.html,https://www.sec.gov/Archives/edgar/data/1685316/000156459020008792/0001564590-20-008792-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,4008000,54275000,25508000,110841000,138640000,69370000,31183000,54734000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4008000,54275000,25508000,110841000,138640000,69370000,31183000,54734000
34,Net Receivables,73000,69000,783000,783000,885000,1044000,397000,3560000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,457000,174000,2415000,1490000,5715000,4359000,5388000,5223000
37,Total Current Assets,4538000,54518000,28706000,113114000,145240000,74773000,36968000,63517000
38,PP&E,111000,124000,- -,- -,- -,- -,1576000,683000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,4548000,16857000,16608000,21608000,21608000,26608000,26608000,24503000
41,Intangible Assets,4548000,16857000,16608000,21608000,21608000,26608000,26608000,24503000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,82000,91000,211000,513000,592000,2562000,295000,288000
45,Total Non-Current Assets,4741000,17072000,16819000,22121000,22200000,29170000,28479000,25474000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9279000,71590000,45525000,135235000,167440000,103943000,65447000,88991000
48,Accounts Payable,440000,595000,2383000,2865000,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,686000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1532000,3657000,4269000,6565000,16929000,19468000,21704000,22821000
53,Total Current Liabilities,1972000,4252000,6652000,9430000,16929000,19468000,21704000,23507000
54,Long-Term Debt,- -,- -,- -,- -,- -,24917000,25300000,25973000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1320000,2663000,2832000,3154000,3595000,10603000,10089000,7172000
58,Total Non-Current Liabilities,1320000,2663000,2832000,3154000,3595000,35520000,35389000,33145000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2159000,1648000,926000
61,Total Liabilities,3292000,6915000,9484000,12584000,20524000,54988000,57093000,56652000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,764000,1694000,1740000,2864000,3420000,3499000,4574000,6489000
64,Retained Earnings,-18214000,-39437000,-39599000,-106667000,-183927000,-297411000,-379395000,-436975000
65,Other Comprehensive Income/Loss,-23000,-58000,-102000,-172000,-281000,-1024000,-1734000,32195000
66,Other Total Stockholders Equity,23460000,102476000,74002000,226626000,327704000,343891000,384909000,430630000
67,Total Stockholders Equity,5987000,64675000,36041000,122651000,146916000,48955000,8354000,32339000
68,Total Liabilities And Stockholders Equity,9279000,71590000,45525000,135235000,167440000,103943000,65447000,88991000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9279000,71590000,45525000,135235000,167440000,103943000,65447000,88991000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1685316/000156459018005150/0001564590-18-005150-index.html,https://www.sec.gov/Archives/edgar/data/1685316/000156459019006137/0001564590-19-006137-index.html,https://www.sec.gov/Archives/edgar/data/1685316/000156459020008792/0001564590-20-008792-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-12808000,-19867000,-30202000,-66926000,-76716000,-108790000,-82966000,-58377000
74,Depreciation and Amortization,20000,36000,46000,70000,109000,737000,721000,736000
75,Deferred Income Tax,- -,- -,- -,- -,-11000,- -,- -,- -
76,Stock Based Compensation,537000,3268000,2237000,8856000,9152000,11884000,6506000,5843000
77,Change in Working Capital,314000,2557000,-347000,2816000,4025000,4420000,1268000,-1721000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-187000,95000,-323000,-531000,-500000,1138000,3705000,-16785000
83,Cash Provided by Operating Activities,-12124000,-13911000,-28589000,-55715000,-63941000,-90611000,-70766000,-70304000
84,CAPEX,-101000,-10050000,-45000,-5189000,-188000,-5046000,-5000,-14000
85,Acquisitions Net,- -,- -,- -,-5000000,- -,-5000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-10000000,- -,-96000,-83000,- -,- -,22200000
89,Cash Used for Investing Activites,-101000,-10050000,-45000,-5285000,-271000,-5046000,-5000,22186000
90,Debt Repayment,- -,- -,- -,- -,- -,-571000,-630000,-27668000
91,Common Stock Issued,423000,75836000,46000,156786000,97861000,3206000,37254000,53226000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4000,-1432000,-213000,-11043000,-6209000,23992000,-4375000,45546000
95,Cash Used/Provided by Financing Activities,427000,74404000,-167000,145743000,91652000,26627000,32249000,71104000
96,Effect of Forex Changes on Cash,-487000,-176000,34000,590000,359000,-240000,335000,565000
97,Net Change In Cash,-12285000,50267000,-28767000,85333000,27799000,-69270000,-38187000,23551000
98,Cash at the End of Period,4008000,54275000,25508000,110841000,138640000,69370000,31183000,54734000
99,Cash at the Beginning of Period,16293000,4008000,54275000,25508000,110841000,138640000,69370000,31183000
100,Free Cash Flow,-12225000,-23961000,-28634000,-60904000,-64129000,-95657000,-70771000,-70318000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1685316/000156459018005150/0001564590-18-005150-index.html,https://www.sec.gov/Archives/edgar/data/1685316/000156459019006137/0001564590-19-006137-index.html,https://www.sec.gov/Archives/edgar/data/1685316/000156459020008792/0001564590-20-008792-index.html,- -,- -
102,false,,,,,,,,
