,https://roic.ai/company/TLRS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,6470000,19230000,31730000,17570000,20730000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,4990000,14740000,24940000,16030000,16360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,1480000,4490000,6790000,1540000,4370000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,0.2287,0.2335,0.2140,0.0876,0.2108,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,360000,390000,530000,530000,2390000,490000,2220000,4370000,4950000,1950000,900000,1527640,591260,423950,522300,722110,- -,- -
6,General and Administrative Exp.,150000,160000,2430000,6190000,10580000,7240000,5950000,2810000,2310000,1640000,1710000,2032320,2132610,1329460,1331090,693620,894895,973703000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",151024,163103,2429317,6186781,14846244,6888436,5997096,2806174,2305640,1643069,1705698,2032321,2132605,1329459,1331090,693619,894895,1674268
9,Other Expenses,-360000,-390000,-530000,-498598,-2180556,111672,216100,-2139,-2348,-4580,-887,-2,2,-4,-2,3,932208,4475651325732
10,Operating Expenses,151024,163103,2429317,6218183,15055688,7490108,8433196,7174035,7253292,3588489,2604811,3559959,2723867,1753405,1853388,1415732,1827103,4475653000000
11,COGS and Expenses,520000,550000,8230000,21490000,40000000,23520000,24790000,7170000,7230000,3790000,2690000,3991320,2866860,1700910,5085090,1464230,1827103,- -
12,Interest Income ,- -,- -,- -,- -,- -,32915,16853,7545,128327,66526,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1339787,680681,527272,71274,- -,- -,- -,5200,- -,34859,193000,217849,-1473000000
14,Depreciation and Amortization,57,2490,682133,1144695,1445295,1367192,1504057,1691381,187481,27789,11118,7918,1981,- -,- -,- -,- -,- -
15,EBITDA,-520000,-540000,-1287867,-1435305,-7924705,-4753021,-3975262,-5480000,-7040000,-3760000,-2680000,-3983400,-2864880,-1452720,-5092649,-1666716,-1744053,-4475653000000
16,EBITDA ratio,-Infinity,-Infinity,-0.1991,-0.0746,-0.2498,-0.2705,-0.1918,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-515344,-552424,-1480574,-2256502,-8266570,-5945800,-4061386,-7174035,-7178292,-3338489,-2688246,-3991321,-2866856,-1740905,-5085088,-1464232,-2962768,-4475653
18,Operating Income ratio,-Infinity,-Infinity,-0.2288,-0.1173,-0.2605,-0.3384,-0.1959,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-4656,22424,-489426,-323498,-1103430,-1504200,-478614,-515965,8292,-381511,-91754,-381129,40626,164085,27298,-193048,-414323,-4707810524347
20,Income Before Tax,-520000,-530000,-1970000,-2580000,-9370000,-7450000,-4540000,-7690000,-7170000,-3720000,-2780000,-4372450,-2826230,-1576820,-5057790,-1657280,-3377091,-4707815000000
21,Income Before Tax Ratio,-Infinity,-Infinity,-0.3045,-0.1342,-0.2953,-0.4240,-0.2190,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,110000,730000,-150000,-410000,-850000,- -,- -,- -,- -,-68990,68990,- -,- -,- -,- -
23,Net Income,-520000,-530000,-1970000,-2690000,-10100000,-7310000,-5750000,-2330000,-5050000,-3720000,-2780000,-4372450,-2757240,-1645800,-5057790,-1657280,-3377091,-4707815000000
24,Net Income ratio,-Infinity,-Infinity,-0.3045,-0.1399,-0.3183,-0.4161,-0.2774,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
