,https://roic.ai/company/XRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8838000000,9355000000,10320000000,16441000000,16931000000,17735000000,17501000000,18089000000,17246000000,17837000000,16611000000,17378000000,18166000000,19449000000,19228000000,18701000000,17008000000,15849000000,15701000000,15722000000,15701000000,15895000000,16406000000,17608000000,15179000000,20973000000,21994000000,22390000000,21435000000,19540000000,18045000000,10771000000,10265000000,9830000000,9066000000,7022000000,7038000000
2,COGS,3607700000,4008000000,4651000000,- -,5472000000,5965000000,5966000000,6387000000,6575000000,6988000000,7739000000,8008000000,8363000000,9043000000,9290000000,10152000000,10050000000,8727000000,8747000000,8994000000,8902000000,9131000000,9961000000,10448000000,8883000000,14182000000,14966000000,15164000000,14787000000,13294000000,12782000000,6510000000,6204000000,5903000000,5416000000,4396000000,4635000000
3,Gross Profit,5230300000,5347000000,5669000000,- -,11459000000,11770000000,11535000000,11702000000,10671000000,10849000000,8872000000,9370000000,9803000000,10406000000,9938000000,8549000000,6958000000,7122000000,6954000000,6728000000,6799000000,6764000000,6445000000,7160000000,6296000000,6791000000,7028000000,7226000000,6648000000,6246000000,5263000000,4261000000,4061000000,3927000000,3650000000,2626000000,2403000000
4,Gross Profit Ratio,0.5918,0.5716,0.5493,- -,0.6768,0.6637,0.6591,0.6469,0.6188,0.6082,0.5341,0.5392,0.5396,0.5350,0.5169,0.4571,0.4091,0.4494,0.4429,0.4279,0.4330,0.4255,0.3928,0.4066,0.4148,0.3238,0.3195,0.3227,0.3101,0.3197,0.2917,0.3956,0.3956,0.3995,0.4026,0.3740,0.3414
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1079000000,1043000000,979000000,1044000000,997000000,917000000,868000000,760000000,943000000,922000000,912000000,884000000,840000000,781000000,721000000,655000000,601000000,577000000,563000000,476000000,446000000,397000000,373000000,311000000,310000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4288000000,4137000000,3788000000,3559000000,2695000000,2631000000,2458000000,2085000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3622600000,4020000000,4293000000,- -,9303000000,9519000000,9339000000,10141000000,9557000000,5336000000,5721000000,6118000000,5225000000,5678000000,5144000000,5649000000,4728000000,4437000000,4249000000,4572000000,4110000000,4008000000,4312000000,4534000000,4158000000,4594000000,4497000000,4288000000,4137000000,3788000000,3559000000,2695000000,2631000000,2390000000,2085000000,1851000000,1718000000
9,Other Expenses,848900000,806000000,731000000,14793000000,765000000,691000000,695000000,739000000,655000000,681000000,660000000,715000000,739000000,821000000,935000000,948000000,- -,- -,- -,- -,- -,41000000,42000000,- -,101000000,312000000,398000000,328000000,332000000,315000000,310000000,58000000,53000000,48000000,45000000,47000000,55000000
10,Operating Expenses,4471500000,4826000000,5024000000,14793000000,10068000000,10210000000,10034000000,10880000000,10212000000,6017000000,6381000000,6833000000,7043000000,7542000000,7058000000,7641000000,5725000000,5354000000,5117000000,5332000000,5053000000,4971000000,5266000000,5418000000,5099000000,5687000000,5616000000,5271000000,5070000000,4680000000,4432000000,3229000000,3130000000,2835000000,2503000000,2209000000,2083000000
11,COGS and Expenses,8079200000,8834000000,9675000000,14793000000,15540000000,16175000000,16000000000,17267000000,16787000000,13005000000,14120000000,14841000000,15406000000,16585000000,16348000000,17793000000,15775000000,14081000000,13864000000,14326000000,13955000000,14102000000,15227000000,15866000000,13982000000,19869000000,20582000000,20435000000,19857000000,17974000000,17214000000,9739000000,9334000000,8738000000,7919000000,6605000000,6718000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,734000000,679000000,632000000,13000000,11000000,10000000,8000000,5000000,8000000,15000000,16000000,14000000,4000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527000000,346000000,231000000,428000000,243000000,237000000,223000000,181000000,119000000,112000000,105000000,94000000,96000000
14,Depreciation and Amortization,848900000,806000000,731000000,- -,765000000,691000000,695000000,739000000,655000000,681000000,660000000,715000000,739000000,821000000,935000000,948000000,1332000000,1035000000,748000000,686000000,637000000,636000000,656000000,669000000,698000000,1097000000,1251000000,1301000000,1358000000,1426000000,1190000000,563000000,527000000,526000000,430000000,368000000,327000000
15,EBITDA,1489100000,1341000000,1571000000,858000000,1853000000,1245000000,1495000000,-3000000,413000000,2026000000,803000000,2621000000,2919000000,1423000000,2990000000,582000000,1746000000,1186000000,1242000000,1885000000,1610000000,1558000000,2191000000,668000000,1862000000,2305000000,3163000000,3201000000,3036000000,2891000000,1864000000,329000000,1322000000,1256000000,2067000000,718000000,-49000000
