,https://roic.ai/company/DBVT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,163374,230592,251043,256286,220847,- -,- -,- -,- -,- -,- -
2,COGS,84320,109712,141354,165738,139943,- -,- -,- -,- -,- -,- -
3,Gross Profit,79054,120880,109688,90548,80904,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.4839,0.5242,0.4369,0.3533,0.3663,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,8652546,15313751,23980969,25710689,37428115,82903538,126247091,122593228,113694103,101607000,-70336000
6,General and Administrative Exp.,3102304,6108164,8712958,9871181,18497584,41834588,50856588,59747197,63164262,40079000,-30520000
7,Selling and Marketing Exp.,- -,- -,- -,- -,392496,6654116,10614967,22437657,6387221,4105000,-4387000
8,"Selling, General and Administrative Exp.",3102304,6108164,8712958,9871181,18890079,48488705,61471555,82184855,69551483,44184000,-34907000
9,Other Expenses,-2264947,-3441463,-5032607,-5533784,-6439551,-9364352,-13780982,-14661405,-13315485,-10498000,920000
10,Operating Expenses,9489903,17980452,27661320,30048085,49878643,122027891,173937663,190116678,169930101,135293000,-104323000
11,COGS and Expenses,9574223,18090165,27802675,30213822,50018586,122027891,173937663,190116678,169930101,135293000,- -
12,Interest Income ,80854,684450,925507,884332,1112982,1594380,739017,563944,75052,- -,- -
13,Interest Expense (Gain),55212,33338,33569,125540,159622,16827,3989011,401510,1578322,724000,- -
14,Depreciation and Amortization,220986,372342,471120,626719,1173114,1418746,3510329,3237245,6384981,10461000,- -
15,EBITDA,-9109009,-16802773,-26155003,-28446486,-47509457,-119014766,-169688317,-186315488,-163470069,-124832000,5708000
16,EBITDA ratio,-55.7557,-72.8679,-104.1855,-110.9953,-215.1238,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-9410850,-17859572,-27551631,-29957537,-49795552,-122029995,-173936464,-190118966,-169930101,-158842000,-98614000
18,Operating Income ratio,-57.6032,-77.4509,-109.7488,-116.8912,-225.4752,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),25642,651112,891937,758792,951173,1579656,-3251194,164722,-1503271,-727000,1186000
20,Income Before Tax,-9385208,-17208460,-26659694,-29198745,-48844379,-120450339,-177187657,-189954244,-171433372,-159569000,-97428000
21,Income Before Tax Ratio,-57.4462,-74.6272,-106.1959,-113.9305,-221.1683,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,1200,17159,610494,-10000,381000
23,Net Income,-9385208,-17208453,-26659692,-29198745,-48842193,-120452442,-177187657,-189974834,-172043866,-159555000,-97809000
24,Net Income ratio,-57.4462,-74.6272,-106.1959,-113.9305,-221.1584,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.35,-0.70,-0.98,-0.91,-1.14,-2.46,-3.58,-3.28,-2.32,-1.48,-0.89
26,EPS Diluted,-0.35,-0.70,-0.98,-0.91,-1.14,-2.46,-3.58,-3.28,-2.32,-1.48,-0.89
27,Weighted Average Shares Outstanding,26791832,24653558,27209374,32172494,43044684,48909700,49514352,57849952,74014494,108185332,109894708
28,Weighted Average Shares Outstanding Diluted,26791832,24653558,27209374,32172494,43044684,48909700,49514352,57849952,74014494,108185332,109894708
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1613780/000119312516563719/0001193125-16-563719-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312517092134/0001193125-17-092134-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312518085953/0001193125-18-085953-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312519094568/0001193125-19-094568-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312520080633/0001193125-20-080633-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312521084223/0001193125-21-084223-index.htm,https://www.sec.gov/Archives/edgar/data/1613780/000119312522070467/0001193125-22-070467-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,14945392,50715648,54410176,139334526,353553233,269733078,165414977,140436971,192699839,196352000,77301000
