,https://roic.ai/company/TOPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,13344000,11426000,23085000,93829000,244215000,310043000,252259000,257380000,107979000,90875000,41694000,31428000,20074000,3602000,13075000,28433000,39363000,41048000,66088000,60222000
2,COGS,7758000,7864000,8420000,33757000,91410000,71681000,246540000,169490000,42540000,7051000,9475000,13212000,7790000,1961000,12264000,21450000,27349000,29414000,37435000,35354000
3,Gross Profit,5586000,3562000,14665000,60072000,152805000,238362000,5719000,87890000,65439000,83824000,32219000,18216000,12284000,1641000,811000,6983000,12014000,11634000,28653000,24868000
4,Gross Profit Ratio,0.4186,0.3117,0.6353,0.6402,0.6257,0.7688,0.0227,0.3415,0.6060,0.9224,0.7727,0.5796,0.6119,0.4556,0.0620,0.2456,0.3052,0.2834,0.4336,0.4129
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,3159000,168905000,22996000,31473000,23835000,30995000,- -,9506000,4656000,3090000,4872000,5272000,11312000,15523000,12407000,9508000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,3290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",455000,816000,129000,6656000,23818000,168905000,22996000,31473000,39226000,34285000,29643000,9506000,4656000,3090000,4872000,5272000,11312000,15523000,12407000,9508000
9,Other Expenses,49000,2390000,11826000,16620000,42034000,28096000,258381000,-5306000,23786000,27275000,9844000,- -,- -,-861000,274000,-3137000,-914000,- -,- -,4800000
10,Operating Expenses,504000,3206000,11955000,23276000,65852000,197001000,281377000,26167000,63012000,61560000,39487000,9506000,4656000,2229000,5146000,2135000,10398000,15523000,12407000,14308000
11,COGS and Expenses,8262000,11070000,20375000,57033000,157262000,268682000,527917000,195657000,105552000,68611000,48962000,22718000,12446000,4190000,17410000,23585000,37747000,44937000,49842000,49662000
12,Interest Income ,30000,6000,1000,481000,1774000,3022000,3248000,1831000,235000,136000,45000,175000,131000,74000,- -,- -,13000,130000,133000,34000
13,Interest Expense (Gain),748000,832000,1215000,5201000,20177000,29175000,23222000,25764000,13969000,14776000,12386,9048000,6479000,422000,693000,2831000,14511000,9400000,17795000,20723000
14,Depreciation and Amortization,1337000,-2551000,3604000,13108000,47055000,40128000,28043000,33474000,35005000,35810000,29390000,12510000,6763000,877000,795000,3588000,5864000,6763000,12442000,13210000
15,EBITDA,3862000,-1518000,6453000,51103000,135916000,84444000,2189000,84877000,-1222000,53099000,-159709614,-42426000,14650000,4195000,-15526000,7471000,6998000,4738000,15464000,11115000
16,EBITDA ratio,0.2894,-0.1329,0.2795,0.5446,0.5565,0.2724,0.0087,0.3298,-0.0113,0.5843,-3.8305,-1.3499,0.7298,1.1646,-1.1875,0.2628,0.1778,0.1154,0.2340,0.1846
17,Operating Income,3794000,356000,2710000,37434000,86953000,41361000,-29118000,61723000,-34211000,22264000,-7268000,-52774000,9233000,-588000,-7416000,4848000,1616000,-3889000,3936000,-1795000
