,https://roic.ai/company/CPSI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,49222000,59666405,73744220,81302860,82664000,108825595,115973817,110012795,119664090,127742025,153247244,173476344,183309403,200863332,204742137,182173884,267272000,276927000,280411000,274634000,264488000,280630000
2,COGS,31487000,36241787,42925403,48404305,49575828,60706024,64268603,63256748,66442911,74483214,88863113,94065139,102648434,107126474,110766525,108065363,129258000,125630000,130683000,130489000,128242000,139747000
3,Gross Profit,17735000,23424618,30818817,32898555,33088172,48119571,51705214,46756047,53221179,53258811,64384131,79411205,80660969,93736858,93975612,74108521,138014000,151297000,149728000,144145000,136246000,140883000
4,Gross Profit Ratio,0.3603,0.3926,0.4179,0.4046,0.4003,0.4422,0.4458,0.4250,0.4448,0.4169,0.4201,0.4578,0.4400,0.4667,0.4590,0.4068,0.5164,0.5463,0.5340,0.5249,0.5151,0.5020
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32621000,37761000,36371000,36861000,33457000,30389000
6,General and Administrative Exp.,- -,14948449,18750257,20352876,21885517,24827183,27039644,27708448,29510149,20808616,23681584,24702679,25093527,28755477,30019270,36809998,53642000,46923000,47275000,43921000,46129000,50022000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,9081393,11605123,13413587,14290061,14737440,14369752,12212241,27194000,33021000,30713000,27774000,24185000,21978000
8,"Selling, General and Administrative Exp.",- -,14948449,18750257,20352876,21885517,24827183,27039644,27708448,29510149,29890009,35286707,38116266,39383588,43492917,44389022,49022239,80836000,79944000,77988000,71695000,70314000,72000000
9,Other Expenses,13080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10182000,10406000,10487000,11006000,11421000,13786000
10,Operating Expenses,13080000,14948449,18750257,20352876,21885517,24827183,27039644,27708448,29510149,29890009,35286707,38116266,39383588,43492917,44389022,49022239,123639000,128111000,124846000,119562000,115192000,116175000
11,COGS and Expenses,44567000,51190236,61675660,68757181,71461345,85533207,91308247,90965196,95953060,104373223,124149820,132181405,142032022,150619391,155155547,157087602,252897000,253741000,255529000,250051000,243434000,255922000
