,https://roic.ai/company/BLU,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,118827,5516353,2251896,- -,109795,2913823,2742489,1507000,584000,-116000,2407615,3002938,2309942,2118767,2046758,2899783,1408377,131213,25697,26794,15000,16000
2,COGS,- -,- -,- -,- -,- -,- -,- -,693618,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,3415000,- -,- -,3384114,2048871,- -,584000,-116000,2407615,3002938,- -,2256000,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,1.5165,- -,- -,1.1614,0.7471,- -,1.0000,1.0000,1.0000,1.0000,- -,1.0648,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,3185363,6558309,8034949,5706864,24417499,40605280,49543699,55449000,23597000,10042000,7053871,1287953,998160,1192746,1460124,931764,1127148,2870775,5275214,19995101,23729000,59791000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,11788000,8566000,7692769,- -,4986782,4014952,2713506,2249782,1952236,2011133,2502882,6680089,9735000,14263000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,6661000,3709000,611902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,18449000,12275000,8304671,- -,4986782,4014952,2713506,2249782,1952236,2011133,2502882,6680089,9735000,14263000
9,Other Expenses,- -,1245654,675256,3024069,6246259,19994740,25999115,16182083,14714000,4193000,-1316000,1737722,3470127,-39203,- -,- -,-205377,-110855,-229821,-479431,-543532,-507000,-754000
10,Operating Expenses,- -,4431016,7233565,11059017,11953123,44412239,66604395,65725782,70163000,46239000,21001000,17096265,4758080,5945739,5207697,4173630,2976169,2968529,4652087,7298664,26131657,32957000,73300000
11,COGS and Expenses,- -,4431016,7233565,11059017,11953123,44412239,66604395,66419400,70163000,46239000,21001000,17096265,4758080,5945739,5207697,4173630,2976169,2968529,4652087,7298664,26131657,32957000,73300000
12,Interest Income ,- -,- -,- -,1144000,520417,- -,2081637,2355545,- -,907000,102000,151976,105779,137712,189712,170563,104490,74399,63618,265780,1163619,1045000,233000
13,Interest Expense (Gain),- -,- -,- -,232000,46374,- -,461682,151445,- -,271000,324000,526916,333007,220138,133362,89589,7927,8184,8748,3671,22966,39000,55000
14,Depreciation and Amortization,- -,224150,278824,585559,497674,1701828,2595406,335815,399000,1884000,693000,1465765,45054,- -,- -,- -,- -,- -,- -,- -,120955,179000,193000
15,EBITDA,- -,-3543868,-1496531,-8068033,-11455449,-41885947,-59252671,-64189101,-80674000,-46068000,-7210000,-18117101,3731636,-13103746,-685594,-1616043,134036,-1586935,-1433002,-6665786,-26241129,-31539000,-71175000
16,EBITDA ratio,- -,-29.8239,-0.2713,-3.5828,-Infinity,-381.4922,-20.3350,-23.4054,-53.5328,-78.8836,62.1552,-7.5249,1.2427,-5.6728,-0.3236,-0.7896,0.0462,-1.1268,-10.9212,-259.4000,-979.3714,-2102.6000,-4448.4375
17,Operating Income,- -,-4312190,-1717212,-8807122,-11953123,-44302443,-63690571,-63676911,-68656000,-45655000,-21117000,-14688650,-1755142,-3635797,-3088930,-2126871,-76386,-1560152,-4520875,-7272968,-26104863,-32942000,-73284000
18,Operating Income ratio,- -,-36.2898,-0.3113,-3.9110,-Infinity,-403.5013,-21.8581,-23.2187,-45.5581,-78.1764,182.0431,-6.1009,-0.5845,-1.5740,-1.4579,-1.0391,-0.0263,-1.1078,-34.4545,-283.0286,-974.2857,-2196.1333,-4580.2500
19,Total Other Income Expenses (Gains),- -,316646,- -,74514,-1346998,714668,1380812,-999449,-12417000,-2568000,12890000,-5046193,5335945,-9602646,2176996,389367,348781,-86303,3079125,603511,-280187,1185000,1861000
20,Income Before Tax,- -,- -,- -,- -,- -,-43587775,-62309759,-64676361,-81073000,-48223000,-8227000,- -,- -,-13238443,-911934,-1737505,272395,-1646455,-1441750,-6669457,-26385051,-31757000,-71423000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-396.9922,-21.3842,-23.5831,-53.7976,-82.5736,70.9224,- -,- -,-5.7311,-0.4304,-0.8489,0.0939,-1.1690,-10.9879,-259.5429,-984.7429,-2117.1333,-4463.9375
