,https://roic.ai/company/SLRX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,1010663,1274499,838142,3465055,5233301,- -
2,COGS,- -,- -,662747,506530,430750,- -,- -,- -
3,Gross Profit,- -,- -,347916,767969,407392,- -,5233301,- -
4,Gross Profit Ratio,- -,- -,0.3442,0.6026,0.4861,- -,1.0000,- -
5,Research and Development Exp.,- -,12749379,20378161,16989911,11908294,4018951,6913853,8548520
6,General and Administrative Exp.,- -,- -,19855987,18503684,10573321,7711181,6105793,6104627
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,16464279,19855987,18503684,10573321,7711181,6105793,6104627
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,29213658,40234148,35493595,22481615,11730132,13019646,14653147
11,COGS and Expenses,- -,29213658,40896895,36000125,22912365,11730132,13019646,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,49881,277231,324548,228158,127408,18058,19183
15,EBITDA,- -,-29163777,-39215892,-34109114,-21694059,-6808855,-7334196,19183
16,EBITDA ratio,- -,-Infinity,-38.8021,-26.7628,-25.8835,-1.9650,-1.4014,Infinity
17,Operating Income,- -,-29213658,-39886232,-34725626,-22074223,-8265077,-7786345,-12812935
18,Operating Income ratio,- -,-Infinity,-39.4654,-27.2465,-26.3371,-2.3853,-1.4878,-Infinity
19,Total Other Income Expenses (Gains),- -,72028,393109,291964,152006,1326981,434091,44697
20,Income Before Tax,- -,-29141630,-39493123,-34433662,-21922217,-6938096,-7352254,-12768238
21,Income Before Tax Ratio,- -,-Infinity,-39.0765,-27.0174,-26.1557,-2.0023,-1.4049,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-29141630,-39493123,-34433662,-21922217,-6936263,-7352254,-12768238
24,Net Income ratio,- -,-Infinity,-39.0765,-27.0174,-26.1557,-2.0018,-1.4049,-Infinity
25,EPS,- -,-52.00,-60.75,-49.75,-30.50,-2.12,-0.50,-0.31
26,EPS Diluted,- -,-52.00,-60.75,-49.75,-30.50,-2.12,-0.50,-0.31
27,Weighted Average Shares Outstanding,- -,561320,649360,690440,720680,3268637,15578611,41365955
28,Weighted Average Shares Outstanding Diluted,- -,561320,649360,690440,720680,3268637,15578611,41365955
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1615219/000161521917000021/0001615219-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521918000018/0001615219-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521919000008/0001615219-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521920000014/0001615219-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521921000026/0001615219-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1615219/000161521922000028/0001615219-22-000028-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,33854153,66686695,22416040,19186036,9829624,3738900,11118614,29214380
32,Short-Term Investments,- -,24652348,38658933,14129723,- -,- -,- -,- -
33,Cash and Short-Term Investments,33854153,91339043,61074973,33315759,9829624,3738900,11118614,29214380
34,Net Receivables,- -,- -,12181,10385,9939,- -,- -,- -
35,Inventory,- -,- -,454132,431891,186920,- -,- -,- -
36,Other Current Assets,370396,908574,925983,777102,288683,955899,4678046,949215
37,Total Current Assets,34224549,92247617,62467269,34535137,10315166,4694799,15796660,30163595
38,PP&E,85144,382437,556315,331040,74460,25016,22639,7880
39,Goodwill,- -,- -,- -,- -,- -,8865909,8865909,8865909
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,8865909,8865909,8865909
42,Investments,- -,2312949,- -,- -,- -,- -,- -,- -
43,Tax Assets,50103,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1251602,126835,191395,126595,- -,308674,- -,1796484
45,Total Non-Current Assets,1386849,2822221,747710,457635,74460,9199599,8888548,10670273
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35611398,95069838,63214979,34992772,10389626,13894398,24685208,40833868
48,Accounts Payable,578653,875646,1192183,2004440,342530,1790966,1853756,1543096
49,Short-Term Debt,- -,- -,- -,- -,- -,502332,477028,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,88344,72188,- -,541701,- -,- -
52,Other Current Liabilities,488508,1971755,2608668,3771042,764340,478545,-477028,- -
53,Total Current Liabilities,1067161,2847401,3889195,5847670,1106870,3313544,1853756,1543096
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,41082577,30029,8398,39214,- -,- -,- -,567787
58,Total Non-Current Liabilities,41082577,30029,8398,39214,- -,- -,- -,567787
59,Other Liabilities,- -,- -,- -,- -,- -,- -,919377,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,42149738,2877430,3897593,5886884,1106870,3313544,2773133,2110883
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,221,1574,1678,1780,1807,451,2381,4524
64,Retained Earnings,-8010860,-37152490,-76645613,-111079275,-132961275,-12076700,- -,-32197192
65,Other Comprehensive Income/Loss,- -,-24654,-323014,-622883,-801095,- -,- -,- -
66,Other Total Stockholders Equity,1472299,129367978,136284335,140806266,143043319,22657103,22156807,70915653
67,Total Stockholders Equity,-6538340,92192408,59317386,29105888,9282756,10580854,22159188,38722985
68,Total Liabilities And Stockholders Equity,35611398,95069838,63214979,34992772,10389626,13894398,24932321,40833868
