,https://roic.ai/company/ENV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,81469000,91842000,77924000,98052000,123178000,157266000,242535000,348748000,420919000,578164000,683679000,812363000,900127000,998230000,1186517000
2,COGS,34541000,34604000,24624000,31444000,42831000,56119000,98970000,150067000,161309000,180590000,219037000,263400000,278811000,305929000,423723000
3,Gross Profit,46928000,57238000,53300000,66608000,80347000,101147000,143565000,198681000,259610000,397574000,464642000,548963000,621316000,692301000,762794000
4,Gross Profit Ratio,0.5760,0.6232,0.6840,0.6793,0.6523,0.6432,0.5919,0.5697,0.6168,0.6876,0.6796,0.6758,0.6903,0.6935,0.6429
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35385000,43952000,44489000,58634000,62161000,85590000,122250000,158778000,211983000,357019000,385402000,457172000,536118000,559199000,604486000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35385000,43952000,44489000,58634000,62161000,85590000,122250000,158778000,211983000,357019000,385402000,457172000,536118000,559199000,604486000
9,Other Expenses,2914000,3538000,4499000,5703000,6376000,12400000,15329000,18651000,27962000,63999000,62820000,77626000,101271000,113661000,117767000
10,Operating Expenses,38299000,47490000,48988000,64337000,68537000,97990000,137579000,177429000,239945000,421018000,448222000,534798000,637389000,672860000,722253000
11,COGS and Expenses,72840000,82094000,73612000,95781000,111368000,154109000,236549000,327496000,401254000,601608000,667259000,798198000,916200000,978789000,1145976000
12,Interest Income ,1159000,816000,221000,149000,77000,29000,18000,139000,338000,37000,201000,2363000,3347000,1112000,827000
13,Interest Expense (Gain),- -,- -,- -,564000,786000,3000,- -,626000,7951000,13384000,12644000,21778000,28022000,27312000,9919000
14,Depreciation and Amortization,2914000,3538000,4517000,5703000,6376000,12400000,15329000,18651000,27962000,63999000,62820000,77626000,101271000,113661000,117767000
15,EBITDA,12702000,13401000,5461000,7174000,17742000,15471000,21041000,41979000,44901000,36893000,73775000,91987000,81618000,132462000,148649000
16,EBITDA ratio,0.1559,0.1459,0.0701,0.0732,0.1440,0.0984,0.0868,0.1204,0.1067,0.0638,0.1079,0.1132,0.0907,0.1327,0.1253
17,Operating Income,8629000,9748000,4312000,1310000,11376000,3042000,5512000,21252000,18992000,-23444000,16420000,14165000,-16073000,19441000,40541000
18,Operating Income ratio,0.1059,0.1061,0.0553,0.0134,0.0924,0.0193,0.0227,0.0609,0.0451,-0.0405,0.0240,0.0174,-0.0179,0.0195,0.0342
19,Total Other Income Expenses (Gains),1159000,115000,-3368000,-403000,-796000,26000,200000,1255000,-10004000,-17046000,-18109000,-23327000,-32022000,-27486000,-20180000
20,Income Before Tax,9788000,9863000,944000,907000,10580000,3068000,5712000,22507000,8988000,-40490000,-1689000,-9162000,-48095000,-8045000,20361000
21,Income Before Tax Ratio,0.1201,0.1074,0.0121,0.0093,0.0859,0.0195,0.0236,0.0645,0.0214,-0.0700,-0.0025,-0.0113,-0.0534,-0.0081,0.0172
22,Income Tax expense (Gain),-14150000,4608000,1816000,1533000,2975000,2603000,2052000,8528000,4552000,15077000,1591000,-13172000,-30893000,-5401000,7667000
23,Net Income,23938000,5255000,-872000,-626000,7605000,465000,3660000,14174000,4436000,-55567000,-3280000,5755000,-16782000,-3110000,13296000
24,Net Income ratio,0.2938,0.0572,-0.0112,-0.0064,0.0617,0.0030,0.0151,0.0406,0.0105,-0.0961,-0.0048,0.0071,-0.0186,-0.0031,0.0112
