,https://roic.ai/company/MEEC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,334110,840000,590000,110000,10000,80000,460000,790000,1670000,2794210,12631920,32345540,27499080,12295860,11417030,8158448,13012049
2,COGS,- -,- -,- -,- -,- -,212188,550000,200000,60000,- -,- -,440000,230000,370000,1483380,8629570,23030400,19016930,9147750,8335440,5440395,7938947
3,Gross Profit,- -,- -,- -,- -,- -,121922,290000,390000,50000,10000,- -,20000,560000,1300000,1310830,4002350,9315140,8482150,3148110,3081590,2718053,5073102
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.3649,0.3452,0.6610,0.4545,1.0000,- -,0.0435,0.7089,0.7784,0.4691,0.3168,0.2880,0.3085,0.2560,0.2699,0.3332,0.3899
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,340000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5112215,2900378,1640851,7410944,972269,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,10000,- -,2317,2774,478683,5289361,2602751,2533725,5389363,2221586,5112215,3314194,5005713,7410944,5965043,7257445,8471096,5894511,6428580,5935517,5934132
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,764046,7735,174773,387123,390828,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,10000,- -,2317,2774,478683,5289361,2602751,2533725,5389363,2221586,5876261,3731929,5520486,7798067,6355871,7257445,8471096,5894511,6428580,5935517,5934132
11,COGS and Expenses,- -,10000,- -,- -,- -,690871,5840000,2800000,2960000,9240000,4240000,9880000,4490000,5810000,9272170,16320840,44392930,27488030,15086290,14764020,11375912,16621732
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,274332,281044,148182,54257,261534,711647,2724506,6213897,4912855,2154570,1975097,2391395,2657554,2817895
14,Depreciation and Amortization,- -,- -,- -,- -,- -,125446,186606,269438,847384,145052,27007,22626,417735,176394,256144,131735,469748,1353973,658114,894369,713047,2656
15,EBITDA,- -,-10000,- -,- -,- -,-231315,-4893394,-2120562,-1858284,-8883904,-3944811,-9423117,-3200731,-3961959,-2026910,-7915898,-10707637,1145693,-2161319,-2797526,-2445021,-835132
16,EBITDA ratio,- -,-Infinity,- -,- -,- -,-0.6923,-5.8255,-3.5942,-16.8935,-888.3904,-49.3101,-20.4850,-4.0516,-2.3724,-0.7254,-0.6267,-0.3310,0.0417,-0.1758,-0.2450,-0.2997,-0.0642
17,Operating Income,- -,-10000,- -,-2317,-2774,-356761,-4999341,-2207281,-2481505,-5382363,-2139642,-9417410,-3976977,-4222649,-6487240,-3688916,2057691,11052,-2790430,-3346990,-3217464,-861030
18,Operating Income ratio,- -,-Infinity,- -,-Infinity,-Infinity,-1.0678,-5.9516,-3.7412,-22.5591,-538.2363,-26.7455,-20.4726,-5.0341,-2.5285,-2.3217,-0.2920,0.0636,0.0004,-0.2269,-0.2932,-0.3944,-0.0662
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-80659,-182719,-498495,-3927637,-1980358,-52590,-3023,-627351,1479680,-10572614,-18147931,-2373902,-2004100,-2736300,-2598158,-2748653
20,Income Before Tax,- -,-10000,- -,- -,- -,-356761,-5080000,-2390000,-2980000,-9310000,-4120000,-9470000,-3980000,-4850000,-5007560,-14261530,-16090240,-2362850,-4794530,-6083290,-5815622,-3609683
21,Income Before Tax Ratio,- -,-Infinity,- -,- -,- -,-1.0678,-6.0476,-4.0508,-27.0909,-931.0000,-51.5000,-20.5870,-5.0380,-2.9042,-1.7921,-1.1290,-0.4974,-0.0859,-0.3899,-0.5328,-0.7128,-0.2774
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-472670,540420,22150,14000,10000,-23000
23,Net Income,- -,-10000,- -,- -,- -,-357561,-5080000,-2390000,-2980000,-9310000,-4120000,-9500000,-3880000,-4850000,-5007560,-14261530,-15617570,-2903270,-4816680,-6097290,-5825622,-3632683
24,Net Income ratio,- -,-Infinity,- -,- -,- -,-1.0702,-6.0476,-4.0508,-27.0909,-931.0000,-51.5000,-20.6522,-4.9114,-2.9042,-1.7921,-1.1290,-0.4828,-0.1056,-0.3917,-0.5341,-0.7141,-0.2792
25,EPS,- -,-0.14,-0.04,-0.03,-0.03,-2.20,-15.40,-6.60,-6.60,-7.70,-3.30,-0.32,-0.12,-0.14,-0.13,-0.32,-0.34,-0.03,-0.06,-0.08,-0.07,-0.05
26,EPS Diluted,- -,-0.14,-0.04,-0.03,-0.03,-2.20,-15.40,-6.60,-6.60,-7.70,-3.30,-0.32,-0.12,-0.14,-0.13,-0.32,-0.34,-0.03,-0.06,-0.08,-0.07,-0.05
