,https://roic.ai/company/CIVI,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,292679000,195295000,1474510000,276657000,313220000,218090000,65132000
2,COGS,- -,339956000,183016000,1160528000,116227000,155996000,148866000,- -
3,Gross Profit,- -,-47277000,12279000,313982000,160430000,157224000,69224000,65132000
4,Gross Profit Ratio,- -,-0.1615,0.0629,0.2129,0.5799,0.5020,0.3174,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,70319000,77065000,166376000,42453000,39668000,34936000,65132000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,70319000,77065000,166376000,42453000,39668000,34936000,65132000
9,Other Expenses,- -,15827000,8632000,106715000,312000,797000,596000,543419000
10,Operating Expenses,- -,86146000,85697000,273091000,42765000,40465000,35532000,608551000
11,COGS and Expenses,- -,426102000,268713000,1433619000,158992000,196461000,184398000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,57052000,62058000,33406000,2603000,2650000,- -,-9700000
14,Depreciation and Amortization,- -,244921000,111215000,77634000,41883000,76453000,91242000,226931000
15,EBITDA,- -,-608468000,-25677000,119235000,212672000,146170000,134223000,469010000
16,EBITDA ratio,- -,-2.0790,-0.1315,0.0809,0.7687,0.4667,0.6154,7.2009
17,Operating Income,- -,- -,- -,40891000,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,0.0277,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-777018000,-125532000,-32696000,50521000,-49692000,9289000,- -
20,Income Before Tax,- -,-910441000,-198950000,8195000,168186000,67067000,42981000,251779000
21,Income Before Tax Ratio,- -,-3.1107,-1.0187,0.0056,0.6079,0.2141,0.1971,3.8657
22,Income Tax expense (Gain),- -,-164894000,- -,1864000,- -,- -,-60547000,72858000
23,Net Income,- -,-745547000,-198950000,6331000,168186000,67067000,103528000,178921000
24,Net Income ratio,- -,-2.5473,-1.0187,0.0043,0.6079,0.2141,0.4747,2.7471
25,EPS,- -,-35.78,-9.55,0.17,8.20,3.25,4.98,4.82
26,EPS Diluted,- -,-35.78,-9.55,0.17,8.16,3.24,4.95,4.74
27,Weighted Average Shares Outstanding,- -,20834427,20834427,37302941,20507000,20612000,20774000,37155000
28,Weighted Average Shares Outstanding Diluted,- -,20834427,20834427,37466325,20603000,20681000,20912000,37746000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1608638/000160863817000027/0001608638-17-000027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1509589/000150958921000015/0001509589-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1509589/000150958922000044/0001509589-22-000044-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,80565000,12711000,12916000,11008000,24743000,254454000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,80565000,12711000,12916000,11008000,24743000,254454000
34,Net Receivables,- -,- -,21263000,32380000,79376000,81850000,47421000,- -
35,Inventory,- -,- -,4685000,1019000,3478000,7726000,9185000,12386000
36,Other Current Assets,- -,- -,5915000,7043000,39041000,9932000,11056000,453097000
37,Total Current Assets,- -,- -,112428000,53153000,134811000,110516000,92405000,719937000
38,PP&E,- -,- -,1018968000,774082000,917974000,1092137000,1027016000,5984727000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,60520000,22284000
44,Other Non-Current Assets,- -,- -,3082000,3136000,8749000,3665000,2871000,14085000
45,Total Non-Current Assets,- -,- -,1022050000,777218000,926723000,1095802000,1090407000,6021096000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1134478000,830371000,1061534000,1206318000,1182812000,6741033000
48,Accounts Payable,- -,- -,24913000,21923000,31435000,46138000,20544000,- -
49,Short-Term Debt,- -,- -,988260000,5005000,2183000,13877000,12044000,18873000
50,Tax Payable,- -,- -,15902000,17952000,19104000,28321000,25397000,144408000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,57293000,62291000,65858000,44724000,41896000,1100633000
53,Total Current Liabilities,- -,- -,1070466000,89219000,99476000,104739000,74484000,1119506000
54,Long-Term Debt,- -,- -,- -,- -,50000000,107540000,17978000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,44951000,52818000,48145000,57349000,45098000,966529000
58,Total Non-Current Liabilities,- -,- -,44951000,52818000,98145000,164889000,63076000,966529000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,2895000,5005000,2183000,41417000,30022000,- -
61,Total Liabilities,- -,- -,1115417000,142037000,197621000,269628000,137560000,2086035000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,49000,4286000,4286000,4284000,4282000,4912000
64,Retained Earnings,- -,- -,-795978000,-5020000,163166000,230233000,333761000,450978000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,814990000,- -,696461000,702173000,707209000,4199108000
67,Total Stockholders Equity,- -,- -,19061000,688334000,863913000,936690000,1045252000,4654998000
68,Total Liabilities And Stockholders Equity,- -,- -,1134478000,830371000,1061534000,1206318000,1182812000,6741033000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1134478000,830371000,1061534000,1206318000,1182812000,6741033000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1509589/000150958921000015/0001509589-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1509589/000150958922000044/0001509589-22-000044-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-745547000,-198950000,6331000,168186000,67067000,103528000,178921000
74,Depreciation and Amortization,- -,- -,111215000,77634000,- -,76453000,91242000,226931000
75,Deferred Income Tax,- -,-165667000,- -,22545000,- -,- -,-60520000,72858000
76,Stock Based Compensation,- -,14552000,8892000,8441000,7156000,6886000,6156000,15558000
77,Change in Working Capital,- -,20019000,988778000,-66806000,71401000,-29558000,12144000,-417490000
78,Accounts Receivable,- -,35230000,35282000,-35083000,-46988000,-2688000,24945000,-100881000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,2608000,- -,- -,- -,47510000
81,Other Working Capital,- -,77354000,30740000,-36066000,35335000,5777000,17921000,-399569000
82,Other Non-Cash Items,- -,1102666000,-895372000,48775000,-130145000,103799000,6246000,197821000
