,https://roic.ai/company/ATHE,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,78758,516182,794393,1811086,2307120,2642336,762486,507044,491997,428193,215008,162920,2527515,150867,363775,176842,142657,132396,201174,108538,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,794393,- -,2307120,2642336,762486,507044,491997,428193,215008,162920,2527515,4488526,8209171,176842,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,29.7515,22.5666,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,421933,2376404,2481268,1855770,5200780,7656368,7617673,4491259,5769531,2215358,87992,2329491,4228719,7946005,14908098,12298167,9585371,5700339,6698016,12983185,10098439,12283848
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,4305049,6732240,- -,5265587,3921780,3964465,3461228,3115733,3090344,4060235,3587742,3947302,4319259,4278656,3333712,6862473
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,134832,215410,- -,222679,130090,110646,124970,136186,358597,87851,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,4439881,6947650,- -,5488266,4051870,4075111,3586198,3251919,3448941,4148086,3587742,3947302,4319259,4278656,3333712,6862473
9,Other Expenses,- -,- -,- -,1140658,3308668,3747790,5996055,6793285,118268,58570,7456286,1013065,975989,31577,19621,-3557683,-5947913,-5833870,-4685611,-2875274,-3045804,-4788506,33915,-4407629
10,Operating Expenses,- -,- -,421933,3517062,5789936,5603561,11196836,14449653,12175822,11497479,13225817,8716689,5115851,6436179,7834538,7640241,12409126,10612383,8487502,6772367,7971471,12473335,13466066,14738692
11,COGS and Expenses,- -,- -,421933,3517062,5789936,5603561,11196836,14449653,12175822,11497479,13225817,8716689,5115851,6436179,7834538,7640241,12409126,10612383,8487502,6772367,7971471,12473335,13466066,14738692
12,Interest Income ,- -,- -,- -,- -,226840,- -,210042,888511,- -,- -,- -,- -,- -,- -,- -,150867,- -,- -,- -,132396,201174,108538,17117,20676
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3758,11544,17676,29978,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,1140658,1161212,1182452,1187744,1160493,118268,58570,25404,34190,35290,31577,19621,23130,22384,31587,22810,21328,21799,29696,112427,75369
15,EBITDA,- -,- -,-1326288,-2998321,-4290161,-3388777,-8637789,-23746517,-11608164,-11081432,-13564394,-7488599,-4871632,-6395850,-5208304,-7746436,-13276877,-5853482,-7706741,-7520748,-8243938,-12308134,-13698710,-14432012
16,EBITDA ratio,- -,- -,-16.8400,-5.8087,-5.4006,-1.8711,-3.7440,-8.9869,-15.2241,-21.8550,-27.5701,-17.4888,-22.6579,-39.2576,-2.0606,-51.3461,-36.4975,-33.1001,-54.0229,-56.8049,-40.9791,-113.3993,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,- -,-4995543,-3792474,-8889716,-11807317,-11413336,-10990435,-12733820,-8288496,-4900843,-6277017,-5318567,-7801944,-12552408,-10435541,-8586798,-6881863,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,-6.2885,-2.0940,-3.8532,-4.4685,-14.9686,-21.6755,-25.8819,-19.3569,-22.7938,-38.5282,-2.1043,-51.7141,-34.5060,-59.0105,-60.1919,-51.9794,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-455830,-778756,-935818,-13099693,-313097,-149567,-855978,765707,-6079,-154168,79098,14702,-776831,4550472,857247,-660213,-495440,26967,9266,-570661
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-9825533,-24907010,-11726433,-11140002,-13589797,-7522789,-4906922,-6431185,-5239469,-7787242,-13329239,-5885069,-7729551,-7542076,-8265737,-12337830,-13456800,-15309353
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-4.2588,-9.4261,-15.3792,-21.9705,-27.6217,-17.5687,-22.8220,-39.4745,-2.0730,-51.6166,-36.6414,-33.2787,-54.1828,-56.9660,-41.0875,-113.6729,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-690,-80000,-1326288,-4138979,-5451373,-4571229,-9825533,-24907010,-11726433,-11140002,-13589797,-7522789,-4906922,-6431185,-5239469,-7787242,-13329239,-5885069,-7729551,-7542076,-8265737,-12337830,-13456800,-15309353
24,Net Income ratio,-Infinity,-Infinity,-16.8400,-8.0184,-6.8623,-2.5240,-4.2588,-9.4261,-15.3792,-21.9705,-27.6217,-17.5687,-22.8220,-39.4745,-2.0730,-51.6166,-36.6414,-33.2787,-54.1828,-56.9660,-41.0875,-113.6729,-Infinity,-Infinity
25,EPS,-0.00,-1.20,-2.40,-4.80,-5.98,-4.78,-7.77,-12.00,-5.41,-4.80,-4.81,-2.40,-1.30,-1.56,-1.09,-1.38,-1.87,-0.70,-0.87,-0.85,-0.93,-1.20,-0.67,-0.54
26,EPS Diluted,-0.00,-1.20,-2.40,-4.80,-5.98,-4.78,-7.77,-12.00,-5.41,-4.80,-4.81,-2.40,-1.30,-1.56,-1.09,-1.38,-1.87,-0.70,-0.87,-0.85,-0.93,-1.20,-0.67,-0.54
27,Weighted Average Shares Outstanding,911153,66667,552621,862289,911153,956814,1224768,2076275,2134231,2345913,2911908,3372638,3792131,4126318,4796106,5645011,7134133,8378600,8898191,8898191,8898191,10262871,14914537,28281272
28,Weighted Average Shares Outstanding Diluted,976881,66667,552621,862289,911153,956814,1224768,2076275,2134231,2345913,2911908,3372638,3792131,4126318,4796106,5645011,7134133,8378600,8898191,8898191,8898191,10262871,14914537,28281272
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131343/000121390020026557/0001213900-20-026557-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,3453501,29400621,21366159,10019865,7407715,11243126,4304977,5227298,8838245,5636469,13346760,34167018,34909574,28593538,21884957,15235556,14399904,9196892,28115516
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,42404,45626,- -,- -,- -,- -,- -,- -,- -,152603,- -,43988,9514,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,3453501,29400621,21366159,10062269,7453341,11243126,4304977,5227298,8838245,5636469,13346760,34167018,35062177,28593538,21928945,15245070,14399904,9196892,28115516
34,Net Receivables,- -,- -,- -,- -,- -,143396,92352,173767,194280,69987,120900,526,825,3373,1552048,3525807,7319521,6522053,4786765,3035573,3152410,4829497,61321,4277677
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,52208,72326,493153,68494,149370,254870,185433,1479603,90588,67463,110373,62771,159963,276504,285613,257111,631769,578136,1095753
37,Total Current Assets,- -,- -,- -,- -,- -,3649105,29565300,22033079,10325043,7672697,11618897,4490936,6707726,8932206,7255980,16982940,41549310,41744193,33656807,25250131,18654591,19861170,9836349,33488946
38,PP&E,- -,- -,- -,- -,- -,141190,179871,165539,102437,47882,69296,71150,58527,40909,48051,46893,47558,44728,24225,30815,71422,48748,71369,96808
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,12550983,11418522,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
