,https://roic.ai/company/FF,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,23043000,169788000,198330000,196711000,219183000,309885000,351829000,444919000,341838000,299611000,253193000,275026000,291018000,205226000,204505000,321386000
2,COGS,20099000,152555000,157913000,162274000,177899000,248130000,294576000,344754000,275865000,242565000,206335000,254765000,217620000,131087000,173198000,297849000
3,Gross Profit,2944000,17233000,40417000,34437000,41284000,61755000,57253000,100165000,65973000,57046000,46858000,20261000,73398000,74139000,31307000,23537000
4,Gross Profit Ratio,0.1278,0.1015,0.2038,0.1751,0.1884,0.1993,0.1627,0.2251,0.1930,0.1904,0.1851,0.0737,0.2522,0.3613,0.1531,0.0732
5,Research and Development Exp.,923000,3434000,3951000,4165000,3494000,3512000,3444000,3444000,3168000,2741000,2715000,3659000,3524000,3191000,2988000,3484000
6,General and Administrative Exp.,755000,2619000,2907000,5433000,5635000,6628000,7717000,6467000,6677000,7334000,7620000,6715000,6435000,5639000,5980000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",755000,2619000,2907000,5433000,5635000,6628000,7717000,6467000,6677000,7334000,7620000,6715000,6435000,5639000,5980000,7155000
9,Other Expenses,504000,1525000,1378000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2182000,7578000,8236000,9598000,9129000,10140000,11161000,9911000,9845000,10075000,10335000,10374000,9959000,8830000,8968000,10639000
11,COGS and Expenses,22281000,160133000,166149000,171872000,187028000,258270000,305737000,354665000,285710000,252640000,216670000,265139000,227579000,139917000,182166000,308488000
12,Interest Income ,3365000,3567000,2965000,403000,1135000,3495000,4776000,5875000,6877000,5106000,6152000,7809000,9183000,10050000,5648000,- -
13,Interest Expense (Gain),37000,24000,26000,27000,74000,184000,27000,24000,25000,134000,173000,172000,173000,173000,151000,- -
14,Depreciation and Amortization,630000,4712000,5800000,7517000,7564000,9098000,10454000,10316000,8981000,10187000,10819000,11617000,10969000,12087000,11150000,- -
15,EBITDA,4757000,17927000,40822000,32990000,41816000,62057000,65361000,107691000,76351000,62190000,51798000,28438000,71319000,92055000,43079000,15930000
16,EBITDA ratio,0.2064,0.1056,0.2058,0.1677,0.1908,0.2003,0.1858,0.2420,0.2234,0.2076,0.2046,0.1034,0.2451,0.4486,0.2107,0.0496
17,Operating Income,762000,9655000,32181000,24839000,32155000,51615000,46092000,90254000,56128000,46971000,36523000,9887000,63439000,65309000,22339000,12898000
18,Operating Income ratio,0.0331,0.0569,0.1623,0.1263,0.1467,0.1666,0.1310,0.2029,0.1642,0.1568,0.1442,0.0359,0.2180,0.3182,0.1092,0.0401
19,Total Other Income Expenses (Gains),3328000,3536000,2815000,607000,2023000,1160000,8788000,7097000,11217000,4898000,4283000,6762000,-3262000,14486000,9439000,3032000
20,Income Before Tax,4090000,13191000,34996000,25446000,34178000,52775000,54880000,97351000,67345000,51869000,40806000,16649000,60177000,79795000,31778000,15930000
21,Income Before Tax Ratio,0.1775,0.0777,0.1765,0.1294,0.1559,0.1703,0.1560,0.2188,0.1970,0.1731,0.1612,0.0605,0.2068,0.3888,0.1554,0.0496
22,Income Tax expense (Gain),1373000,4783000,12321000,8454000,11084000,18266000,20576000,23317000,14145000,5448000,-15535000,-6862000,7019000,-8386000,-14786000,-10325000
23,Net Income,2717000,8408000,22675000,16992000,23094000,34509000,34304000,74034000,53200000,46421000,56341000,23511000,53158000,88181000,46564000,26255000
24,Net Income ratio,0.1179,0.0495,0.1143,0.0864,0.1054,0.1114,0.0975,0.1664,0.1556,0.1549,0.2225,0.0855,0.1827,0.4297,0.2277,0.0817
25,EPS,0.10,0.31,0.84,0.60,0.63,0.85,0.83,1.71,1.22,1.06,1.29,0.54,1.22,2.02,1.06,0.60
26,EPS Diluted,0.09,0.26,0.82,0.58,0.62,0.84,0.83,1.71,1.22,1.06,1.29,0.54,1.22,2.02,1.06,0.60
27,Weighted Average Shares Outstanding,26700000,26700000,27029210,28190300,36526105,40708552,41366860,43237513,43357602,43432149,43542785,43542785,43542785,43743243,43743243,43756065
28,Weighted Average Shares Outstanding Diluted,31818772,32286996,27550441,29254272,37188328,40886693,41507660,43276931,43392011,43445730,43547538,43547538,43547538,43744676,43744150,43756113
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1337298/000106880010000022/0001068800-10-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000106880011000032/0001068800-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774912002346/0001437749-12-002346-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774913003131/0001437749-13-003131-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774914004351/0001437749-14-004351-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774915004958/0001437749-15-004958-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774916027311/0001437749-16-027311-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774917004710/0001437749-17-004710-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1337298/000143774919005063/0001437749-19-005063-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774920005193/0001437749-20-005193-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774921006178/0001437749-21-006178-index.htm,https://www.sec.gov/Archives/edgar/data/1337298/000143774922006298/0001437749-22-006298-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,63129000,54655000,27455000,65512000,91057000,89745000,58737000,86463000,124079000,154049000,199272000,114627000,214972000,243331000,198122000,137521000
32,Short-Term Investments,- -,15086000,46411000,6811000,28200000,56294000,87768000,104271000,87720000,74667000,106146000,120699000,79888000,73620000,64404000,47190000
33,Cash and Short-Term Investments,63129000,69741000,73866000,72323000,119257000,146039000,146505000,190734000,211799000,228716000,305418000,235326000,294860000,316951000,262526000,184711000
34,Net Receivables,23903000,17514000,20840000,22671000,35684000,35677000,22782000,47981000,71024000,60443000,45252000,29075000,24996000,122928000,40481000,29316000
35,Inventory,22582000,24192000,27585000,26444000,37372000,57439000,41992000,42164000,45353000,64957000,52093000,43754000,39296000,37573000,33889000,26920000
36,Other Current Assets,4379000,1741000,6045000,2148000,23341000,3370000,2657000,2409000,3289000,5708000,2519000,2203000,3178000,3437000,5709000,14886000
37,Total Current Assets,113993000,113188000,128336000,123586000,215654000,242525000,213936000,283288000,331465000,359824000,405282000,310358000,362330000,480889000,342605000,255833000
38,PP&E,82626000,95036000,106320000,119248000,125007000,140517000,138865000,128671000,127371000,124330000,118152000,109735000,103575000,98597000,91544000,82901000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,548000,435000,321000,208000,94000,- -,- -,- -,- -,1408000,1408000,1408000,1408000,1408000,1408000,- -
41,Intangible Assets,548000,435000,321000,208000,94000,- -,- -,- -,- -,1408000,1408000,1408000,1408000,1408000,1408000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5892000,7454000,3149000,2965000,2401000,2202000,2436000,2488000,2652000,3547000,4201000,4062000,3842000,5611000,5747000,5596000
45,Total Non-Current Assets,89066000,102925000,109790000,122421000,127502000,142719000,141301000,131159000,130023000,129285000,123761000,115205000,108825000,105616000,98699000,88497000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,203059000,216113000,238126000,246007000,343156000,385244000,355237000,414447000,461488000,489109000,529043000,425563000,471155000,586505000,441304000,344330000
48,Accounts Payable,13057000,12743000,13754000,14825000,15096000,18665000,16476000,15784000,33298000,34686000,24053000,19579000,21670000,62554000,13437000,7911000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537000,491000,29316000
50,Tax Payable,1916000,1231000,- -,- -,- -,1123000,2092000,- -,- -,1248000,- -,1387000,1225000,1226000,1730000,9760000
51,Deferred Revenue,- -,- -,- -,- -,1758000,3558000,6071000,6869000,1940000,2680000,5530000,2736000,4581000,5237000,3976000,6151000
52,Other Current Liabilities,8106000,9395000,8358000,6071000,27305000,13576000,13687000,17743000,16849000,11187000,114466000,12966000,13240000,14435000,15084000,-8322000
53,Total Current Liabilities,21163000,22138000,22112000,20896000,44159000,35799000,36234000,40396000,52087000,48553000,144049000,35281000,39491000,82763000,32988000,35056000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,1571000,9994000,9348000,17118000,29256000,27684000,13522000,15927000,15908000,16792000,16522000,20319000,21291000,21861000,16755000
56,Deferred Tax Liabilities,17658000,19667000,23140000,24118000,26364000,28506000,30037000,29249000,30441000,29117000,32064000,21049000,18026000,12965000,12332000,1870000
57,Other Non-Current Liabilities,3082000,3115000,1243000,1376000,3192000,3445000,948000,2690000,4024000,1239000,3325000,1115000,4241000,2388000,2240000,1721000
58,Total Non-Current Liabilities,20740000,24353000,34377000,34842000,46674000,61207000,58669000,45461000,50392000,46264000,52181000,38686000,42586000,36644000,36433000,20346000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537000,491000,- -
61,Total Liabilities,41903000,46491000,56489000,55738000,90833000,97006000,94903000,85857000,102479000,94817000,196230000,73967000,82077000,119407000,69421000,55402000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,3000,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
64,Retained Earnings,2717000,11125000,14095000,22630000,14671000,32926000,692000,44822000,77094000,113002000,48182000,61195000,106949000,184632000,89456000,6303000
65,Other Comprehensive Income/Loss,- -,58000,15000,38000,525000,1803000,2597000,7436000,4259000,2055000,3540000,8433000,-20000,296000,208000,178000
66,Other Total Stockholders Equity,158436000,158436000,167524000,167598000,237123000,253505000,257041000,276328000,277652000,279231000,281087000,281964000,282145000,282166000,282215000,282443000
67,Total Stockholders Equity,161156000,169622000,181637000,190269000,252323000,288238000,260334000,328590000,359009000,394292000,332813000,351596000,389078000,467098000,371883000,288928000
68,Total Liabilities And Stockholders Equity,203059000,216113000,238126000,246007000,343156000,385244000,355237000,414447000,461488000,489109000,529043000,425563000,471155000,586505000,441304000,344330000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,203059000,216113000,238126000,246007000,343156000,385244000,355237000,414447000,461488000,489109000,529043000,425563000,471155000,586505000,441304000,344330000
