,https://roic.ai/company/RXT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2144700000,2452800000,2438100000,2707100000,3009500000
2,COGS,1354100000,1445700000,1426900000,1722700000,2072700000
3,Gross Profit,790600000,1007100000,1011200000,984400000,936800000
4,Gross Profit Ratio,0.3686,0.4106,0.4147,0.3636,0.3113
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,942200000,949300000,911700000,959700000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",942200000,949300000,911700000,959700000,906800000
9,Other Expenses,-28800000,- -,- -,- -,- -
10,Operating Expenses,913400000,949300000,911700000,959700000,906800000
11,COGS and Expenses,2267500000,2395000000,2338600000,2682400000,2979500000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),223400000,281100000,329900000,268400000,205100000
14,Depreciation and Amortization,757900000,611000000,566500000,536900000,490700000
15,EBITDA,620600000,391600000,774100000,493300000,446700000
16,EBITDA ratio,0.2894,0.1597,0.3175,0.1822,0.1484
17,Operating Income,-117600000,-237200000,101600000,24700000,-2500000
18,Operating Income ratio,-0.0548,-0.0967,0.0417,0.0091,-0.0008
19,Total Other Income Expenses (Gains),-243100000,-263300000,-223900000,-336700000,-246600000
20,Income Before Tax,-360700000,-500500000,-122300000,-312000000,-249100000
21,Income Before Tax Ratio,-0.1682,-0.2041,-0.0502,-0.1153,-0.0828
22,Income Tax expense (Gain),-300800000,-29900000,-20000000,-66200000,-30800000
23,Net Income,-59900000,-470600000,-102300000,-245800000,-218300000
24,Net Income ratio,-0.0279,-0.1919,-0.0420,-0.0908,-0.0725
25,EPS,-3.65,-28.70,-5.64,-1.37,-1.04
26,EPS Diluted,-3.65,-28.70,-5.64,-1.37,-1.04
27,Weighted Average Shares Outstanding,16391601,16399934,16391601,179600000,209300000
28,Weighted Average Shares Outstanding Diluted,16391601,16399934,16391601,179600000,209300000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000023/0001810019-22-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1810019/000181001922000036/0001810019-22-000036-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,254300000,83800000,104700000,272800000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,254300000,83800000,104700000,272800000
34,Net Receivables,- -,260500000,350300000,483000000,554300000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,99500000,109600000,170800000,162400000
37,Total Current Assets,- -,614300000,543700000,758500000,989500000
38,PP&E,- -,927000000,1036100000,1055700000,988500000
39,Goodwill,- -,2474700000,2745800000,2761100000,2706800000
40,Intangible Assets,- -,1930900000,1817400000,1646300000,1466500000
41,Intangible Assets,- -,4405600000,4563200000,4407400000,4173300000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,236000000,- -
44,Other Non-Current Assets,- -,164500000,129400000,-79800000,177400000
45,Total Non-Current Assets,- -,5497100000,5728700000,5619300000,5339200000
46,Other Assets,- -,- -,- -,- -,- -
