,https://roic.ai/company/AWX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,74500000,80900000,84290000,77009000,66590000,53512000,30002000,34157000,39329000,45432000,48978000,36920000,43453000,53986000,48891000,59470000,51472000,53090000,61352000,55848000,62234000,68357000,58720000,70383000
2,COGS,62500000,66300000,72597000,69430000,60000000,47742000,24840000,28532000,33047000,38238000,41494000,30114000,35751000,44979000,40321000,49598000,42687000,44197000,50519000,44672000,49794000,56272000,47015000,56832000
3,Gross Profit,12000000,14600000,11693000,7579000,6590000,5770000,5162000,5625000,6282000,7194000,7484000,6806000,7702000,9007000,8570000,9872000,8785000,8893000,10833000,11176000,12440000,12085000,11705000,13551000
4,Gross Profit Ratio,0.1611,0.1805,0.1387,0.0984,0.0990,0.1078,0.1721,0.1647,0.1597,0.1583,0.1528,0.1843,0.1772,0.1668,0.1753,0.1660,0.1707,0.1675,0.1766,0.2001,0.1999,0.1768,0.1993,0.1925
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10900000,10500000,11132000,12537000,11996000,8201000,6377000,5577000,6271000,6348000,6958000,6096000,6783000,7266000,7436000,7965000,8026000,7635000,8203000,8451000,9000000,9430000,8672000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10900000,10500000,11132000,12537000,11996000,8201000,6377000,5577000,6271000,6348000,6958000,6096000,6783000,7266000,7436000,7965000,8026000,7635000,8203000,8451000,9000000,9430000,8672000,9878000
9,Other Expenses,2600000,3000000,3265000,486000,- -,- -,- -,- -,- -,- -,- -,1688000,1684000,1663000,1635000,1636000,2155000,2560000,2816000,2996000,2877000,2522000,2909000,3112000
10,Operating Expenses,13500000,13500000,14397000,13023000,11996000,8201000,6377000,5577000,6271000,6348000,6958000,7784000,8467000,8929000,9071000,9601000,10181000,10195000,11019000,11447000,11877000,11952000,11581000,12990000
11,COGS and Expenses,76000000,79800000,86994000,82453000,71996000,55943000,31217000,34109000,39318000,44586000,48452000,37898000,44218000,53908000,49392000,59199000,52868000,54392000,61538000,56119000,61671000,68224000,58596000,69822000
