,https://roic.ai/company/WARM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,110000,240000,490000,1518810,824710,251720,348420,501340,296800,19069
6,General and Administrative Exp.,- -,- -,10000,- -,10000,10000,10000,6010000,4830000,-190000,2390000,22041480,4224950,3706500,2030540,1758280,1458140,966714
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,10000,3876,6039,12272,12601,1617407,4830000,-190406,2492992,22041475,4224947,3706496,2030537,1758279,1458138,966714
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,4391521,180000,2717,-3840,-3,1,4,4,2,- -,- -
10,Operating Expenses,- -,- -,10000,3876,6039,12272,12601,6008928,5120000,52311,2979152,23560282,5049658,3958220,2378961,2259621,1754938,985783
11,COGS and Expenses,- -,- -,10000,- -,10000,10000,10000,6010000,5120000,-200000,2860000,23560280,6814110,4628940,2308880,2379640,1546610,985783
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,827319,182032,- -,- -,- -,- -,2336442,2027030,1472104
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6230,25850,25940,25940,27380,32570,1205709
