,https://roic.ai/company/COMM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,3188916000,3186446000,3321885000,3480117000,3829614000,3807828000,4923621000,4560582000,4568507000,8345100000,8435900000,8586700000
2,COGS,2251707000,2374357000,2261204000,2279177000,2432345000,2462008000,2890032000,2788688000,2880223000,5941000000,5688100000,5902400000
3,Gross Profit,937209000,812089000,1060681000,1200940000,1397269000,1345820000,2033589000,1771894000,1688284000,2404100000,2747800000,2684300000
4,Gross Profit Ratio,0.2939,0.2549,0.3193,0.3451,0.3649,0.3534,0.4130,0.3885,0.3695,0.2881,0.3257,0.3126
5,Research and Development Exp.,119698000,112904000,121718000,126431000,125301000,135964000,200715000,185222000,185696000,578500000,703300000,683200000
6,General and Administrative Exp.,449875000,517903000,461149000,502275000,484891000,687389000,879495000,794291000,729032000,1277100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",449875000,517903000,461149000,502275000,484891000,687389000,879495000,794291000,729032000,1277100000,- -,1233900000
9,Other Expenses,83056000,171229000,175676000,174887000,178265000,220602000,297202000,270989000,264563000,593200000,1801200000,613000000
10,Operating Expenses,652629000,802036000,758543000,803593000,788457000,1043955000,1377412000,1250502000,1179291000,2448800000,2504500000,2530100000
11,COGS and Expenses,2904336000,3176393000,3019747000,3082770000,3220802000,3505963000,4267444000,4039190000,4059514000,8389800000,8192600000,8432500000
12,Interest Income ,5161000,3741000,3417000,3107000,4954000,4128000,5524000,4221000,7017000,18100000,4400000,1900000
13,Interest Expense (Gain),103065000,187733000,188974000,208599000,178935000,234661000,277534000,257059000,242017000,577200000,577800000,561200000
14,Depreciation and Amortization,187207000,264144000,262279000,256616000,259504000,303500000,399053000,378012000,357458000,770900000,823300000,786300000
15,EBITDA,414466000,120242000,488555000,541400000,755502000,476160000,949156000,844803000,770187000,274100000,746600000,813000000
16,EBITDA ratio,0.1300,0.0377,0.1471,0.1556,0.1973,0.1250,0.1928,0.1852,0.1686,0.0328,0.0885,0.0947
17,Operating Income,224933000,-134719000,238238000,329714000,577449000,181593000,574750000,477610000,449968000,-508500000,-51800000,48600000
18,Operating Income ratio,0.0705,-0.0423,0.0717,0.0947,0.1508,0.0477,0.1167,0.1047,0.0985,-0.0609,-0.0061,0.0057
19,Total Other Income Expenses (Gains),-100739000,-196916000,-200936000,-253529000,-260386000,-243594000,-302181000,-267878000,-279256000,-565500000,-602700000,-583100000
20,Income Before Tax,124194000,-331635000,37302000,76185000,317063000,-62001000,272569000,209732000,170712000,-1074000000,-654500000,-534500000
21,Income Before Tax Ratio,0.0389,-0.1041,0.0112,0.0219,0.0828,-0.0163,0.0554,0.0460,0.0374,-0.1287,-0.0776,-0.0622
22,Income Tax expense (Gain),80095000,-79327000,31949000,56789000,80291000,8874000,49731000,15968000,30495000,-144500000,-81100000,-71900000
23,Net Income,44099000,-252308000,5353000,19396000,236772000,-70875000,222838000,193764000,140217000,-929500000,-573400000,-462600000
24,Net Income ratio,0.0138,-0.0792,0.0016,0.0056,0.0618,-0.0186,0.0453,0.0425,0.0307,-0.1114,-0.0680,-0.0539
25,EPS,0.24,-1.36,0.03,0.12,1.27,-0.37,1.16,1.01,0.73,-5.02,-3.20,-2.55
26,EPS Diluted,0.24,-1.36,0.03,0.12,1.24,-0.37,1.13,0.98,0.72,-5.02,-3.20,-2.55
27,Weighted Average Shares Outstanding,185653830,185653830,185653830,160641000,186905000,189876000,192470000,192430000,192022000,193700000,196800000,203600000
28,Weighted Average Shares Outstanding Diluted,185653830,185653830,185653830,164013000,191450000,189876000,196459000,196811000,195332000,193700000,196800000,203600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517228/000119312514060685/0001193125-14-060685-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000119312515054437/0001193125-15-054437-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000119312516468563/0001193125-16-468563-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459017002042/0001564590-17-002042-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459018002108/0001564590-18-002108-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459019003497/0001564590-19-003497-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459020005564/0001564590-20-005564-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459021006126/0001564590-21-006126-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000095017022001374/0000950170-22-001374-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,317102000,264375000,346320000,729321000,562884000,428228000,453977000,458195000,598200000,521900000,360300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,317102000,264375000,346320000,729321000,562884000,428228000,453977000,458195000,598200000,521900000,360300000
34,Net Receivables,- -,581782000,596050000,607489000,612007000,833041000,952367000,898829000,810359000,1698800000,1487400000,1532600000
35,Inventory,- -,338078000,311970000,372187000,367185000,441815000,473267000,444941000,473327000,975900000,1088900000,1435800000
36,Other Current Assets,- -,130366000,114862000,127427000,119105000,166900000,139902000,146112000,135944000,238900000,256300000,251000000
37,Total Current Assets,- -,1367328000,1287257000,1453423000,1827618000,2004640000,1993764000,1943859000,1877825000,3511800000,3354500000,3579700000
38,PP&E,- -,407557000,355212000,310143000,289371000,528706000,474990000,467289000,450861000,723800000,684500000,656300000
39,Goodwill,- -,1483871000,1473932000,1450506000,1451887000,2690636000,2768304000,2886630000,2852309000,5471700000,5286500000,5231700000
40,Intangible Assets,- -,1783626000,1578683000,1422200000,1260900000,2147500000,1799800000,1636100000,1352000000,4263600000,3650400000,3027300000
41,Intangible Assets,- -,3267497000,3052615000,2872706000,2712787000,4838136000,4568104000,4522730000,4204309000,9735300000,8936900000,8259000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,110807000,98180000,97783000,126082000,131149000,105128000,107788000,97545000,460700000,600900000,764500000
45,Total Non-Current Assets,- -,3785861000,3506007000,3280632000,3128240000,5497991000,5148222000,5097807000,4752715000,10919800000,10222300000,9679800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5153189000,4793264000,4734055000,4955858000,7502631000,7141986000,7041666000,6630540000,14431600000,13576800000,13259500000
48,Accounts Payable,- -,180740000,194301000,251639000,177806000,300829000,415921000,436737000,399237000,1148000000,1010800000,1160700000
49,Short-Term Debt,- -,12324000,10776000,9462000,9001000,12520000,12500000,- -,- -,93700000,94400000,78700000
50,Tax Payable,- -,- -,- -,- -,35302000,63297000,64869000,28787000,20118000,43100000,42300000,- -
51,Deferred Revenue,- -,35744000,37663000,21498000,25888000,23811000,25859000,12611000,7554000,82600000,90000000,94600000
52,Other Current Liabilities,- -,284895000,306879000,310782000,263118000,347932000,403538000,274369000,283831000,717700000,758200000,848500000
53,Total Current Liabilities,- -,513703000,549619000,593381000,475813000,685092000,857818000,723717000,690622000,2042000000,1953400000,2182500000
54,Long-Term Debt,- -,2550680000,2459994000,2505090000,2698724000,5231131000,4549510000,4369401000,3985904000,9800400000,9488600000,9478500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,492729000,429312000,386527000,339945000,202487000,199121000,134241000,83341000,215100000,206200000,208200000
57,Other Non-Current Liabilities,- -,230988000,172057000,161041000,133784000,161201000,141453000,166481000,113905000,537800000,531800000,490800000
58,Total Non-Current Liabilities,- -,3274397000,3061363000,3052658000,3172453000,5594819000,4890084000,4670123000,4183150000,10553300000,10226600000,10177500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,61700000,62400000,46700000
61,Total Liabilities,- -,3788100000,3610982000,3646039000,3648266000,6279911000,5747902000,5393840000,4873772000,12595300000,12180000000,12360000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000000,1041800000,1056100000
63,Common Stock,- -,1553000,1558000,1868000,1888000,1923000,1950000,1972000,1991000,2000000,2100000,2200000
64,Retained Earnings,- -,-252308000,-447687000,-978291000,-741519000,-812394000,-589556000,-395998000,-249777000,-1179300000,-1752700000,-2215300000
65,Other Comprehensive Income/Loss,- -,-26364000,-16646000,-26276000,-83548000,-171678000,-285113000,-86603000,-159205000,-197000000,-155900000,-206400000
66,Other Total Stockholders Equity,- -,1642208000,1645057000,2090715000,2130798000,2204869000,2266803000,2128455000,2163759000,2210600000,2261500000,2262900000
67,Total Stockholders Equity,- -,1365089000,1182282000,1088016000,1307619000,1222720000,1394084000,1647826000,1756768000,1836300000,1396800000,899500000
68,Total Liabilities And Stockholders Equity,- -,5153189000,4793264000,4734055000,4955885000,7502631000,7141986000,7041666000,6630540000,14431600000,13576800000,13259500000
69,Minority Interest,- -,- -,- -,- -,-27000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,5153189000,4793264000,4734055000,4955858000,7502631000,7141986000,7041666000,6630540000,14431600000,13576800000,13259500000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1517228/000119312514060685/0001193125-14-060685-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000119312515054437/0001193125-15-054437-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000119312516468563/0001193125-16-468563-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459017002042/0001564590-17-002042-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459018002108/0001564590-18-002108-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459019003497/0001564590-19-003497-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459020005564/0001564590-20-005564-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000156459021006126/0001564590-21-006126-index.htm,https://www.sec.gov/Archives/edgar/data/1517228/000095017022001374/0000950170-22-001374-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,44099000,-252308000,5353000,19396000,236772000,-70875000,222838000,193764000,140217000,-929500000,-573400000,-462600000
74,Depreciation and Amortization,187207000,264144000,262279000,256616000,259504000,303500000,399053000,378012000,357458000,770900000,823300000,786300000
75,Deferred Income Tax,-36693000,-141600000,-48713000,-40722000,-33278000,-101826000,-100878000,-71475000,-49247000,-260800000,-154700000,-147500000
76,Stock Based Compensation,34968000,5874000,7525000,16108000,21092000,28665000,35006000,41850000,44899000,90800000,115000000,79600000
77,Change in Working Capital,-22765000,850994000,-115987000,122404000,491763000,-32257000,-183602000,84196000,-32939000,282597000,-68700000,-197300000
78,Accounts Receivable,-25610000,30557000,-15889000,-11895000,-18824000,-6984000,-100867000,96745000,65070000,258800000,228400000,-59600000
79,Inventory,-42214000,137978000,18186000,-62141000,-4324000,162164000,-31996000,53658000,-48456000,489100000,-100500000,-359800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256000000
81,Other Working Capital,2631000,853625000,737638000,860042000,1351805000,1319548000,1135946000,1220142000,1187203000,1469800000,1401100000,- -
82,Other Non-Cash Items,19471000,-591355000,175678000,-136101000,-686435000,174853000,233808000,-40061000,33756000,642403000,294700000,63800000
83,Cash Provided by Operating Activities,226287000,135749000,286135000,237701000,289418000,302060000,606225000,586286000,494144000,596400000,436200000,122300000
84,CAPEX,-35399000,-38792000,-27957000,-36780000,-36935000,-56501000,-68314000,-68721000,-82347000,-104100000,-121200000,-131400000
85,Acquisitions Net,- -,-3141774000,-12214000,-55770000,-29033000,-2998174000,7390000,-95351000,- -,-5064400000,-3500000,- -
86,Purchases of Investments,- -,- -,- -,- -,-15000000,- -,- -,-7558000,- -,- -,- -,-18000000
87,Sales/Maturities of Investments,40465000,- -,- -,- -,- -,- -,- -,- -,5134000,12000000,- -,- -
88,Other Investing Activites,9459000,7831000,4646000,29139000,5016000,4063000,6337000,5424000,12908000,1600000,4500000,12600000
