,https://roic.ai/company/CLSH,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,8459050,11917629,19292087
2,COGS,- -,- -,- -,- -,- -,- -,- -,4836170,5959286,9644761
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,3622880,5958343,9647326
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.4283,0.5000,0.5001
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,30000,1503350,2270040,1610960,3116040,26472060,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,30000,1503350,2270040,1610960,3116040,26472060,- -,- -
9,Other Expenses,- -,1430,-2708,-2,-5,-141744,- -,-3,8776876,10800944
10,Operating Expenses,- -,1430,27292,1503348,2270035,1469216,3116040,26472057,8776876,10800944
11,COGS and Expenses,- -,- -,30000,1503350,2270040,2605530,4130740,31630110,14736162,20445705
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,631,12239,402021,2571171,4709940,4447993,2941131,3657105
14,Depreciation and Amortization,- -,- -,- -,5556,1288,1324,1322,288351,449192,685292
15,EBITDA,- -,- -,-29369,-1497794,-2268750,-2604210,-4129420,-22882716,-27267650,-9057822
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.7051,-2.2880,-0.4695
17,Operating Income,- -,-1430,-27292,-1503348,-2270035,-1610955,-3116040,-22849175,-28003536,-3652324
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.7012,-2.3498,-0.1893
19,Total Other Income Expenses (Gains),- -,- -,-2708,-12242,-340265,-3254765,-6461440,-4769885,-2654437,-9747895
20,Income Before Tax,- -,- -,-30000,-1515590,-2610300,-4865720,-9577480,-27619060,-30657973,-13400219
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.2650,-2.5725,-0.6946
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2490295
23,Net Income,- -,- -,-30000,-1515590,-2610300,-4865720,-9577480,-27619060,-30657973,-15890514
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.2650,-2.5725,-0.8237
25,EPS,- -,- -,-0.00,-0.24,-0.13,-0.23,-0.24,-0.27,-0.24,-0.13
26,EPS Diluted,- -,- -,-0.00,-0.24,-0.13,-0.23,-0.24,-0.27,-0.24,-0.13
27,Weighted Average Shares Outstanding,- -,11250000,11250000,6356167,20350003,20778785,39224613,102869612,126390105,126664839
28,Weighted Average Shares Outstanding Diluted,- -,11250000,11250000,6356167,20350003,20778785,39224613,102869612,126390105,126664839
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1522222/000118518514002351/0001185185-14-002351-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518515002316/0001185185-15-002316-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518516005361/0001185185-16-005361-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518517001877/0001185185-17-001877-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518518001595/0001185185-18-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518519001214/0001185185-19-001214-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518520001268/0001185185-20-001268-index.htm,https://www.sec.gov/Archives/edgar/data/1522222/000118518521001218/0001185185-21-001218-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,208821,88244,78310,52964,10525791,2925568,1665263
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,208821,88244,78310,52964,10525791,2925568,1665263
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1014529,4206906,694935
35,Inventory,- -,- -,- -,- -,- -,- -,- -,746833,575242,1228052
36,Other Current Assets,- -,- -,- -,31800,6742,1410,1410,390413,234092,252313
37,Total Current Assets,- -,- -,- -,240621,94986,79720,54374,12677566,7941808,3840563
38,PP&E,- -,- -,- -,- -,108508,890,- -,1910301,5178938,5725677
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,25742899,557896,557896
40,Intangible Assets,- -,- -,- -,2158,1762,1330,898,1525087,1421204,1305190
41,Intangible Assets,- -,- -,- -,2158,1762,1330,898,27267986,1979100,1863086
42,Investments,- -,- -,- -,- -,- -,- -,2050000,2709,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,50000,50000,50000,- -,4644755,167455,167455
45,Total Non-Current Assets,- -,- -,- -,52158,160270,52220,2050898,33825751,7325493,7756218
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,292779,255256,131940,2105272,46503317,15267301,11596781
48,Accounts Payable,- -,- -,11382,145024,431017,581765,726457,510210,591060,771843
49,Short-Term Debt,- -,225,5210,600000,95203,951564,428538,3932616,336900,617620
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2490295
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2611,13896,130672,813224,293149,1534153,2481717,954256,3595022
53,Total Current Liabilities,- -,2836,30488,875696,1339444,1826478,2689148,6924543,1882216,4984485
54,Long-Term Debt,- -,- -,- -,5556,346780,192000,43904,14541220,18780633,21709116
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,5556,346780,192000,43904,14541220,18780633,21709116
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,1473051,2266419
61,Total Liabilities,- -,2836,30488,881252,1686224,2018478,2733052,21465763,20662849,26693601
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,18000,18000,2000,2035,3286,5013,12585,12653,12723
64,Retained Earnings,- -,-20836,-48759,-1515587,-4125886,-8991610,-18569094,-46188151,-76846124,-92736638
