,https://roic.ai/company/RLGY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,3932000000,4090000000,4093000000,4672000000,5289000000,5328000000,5706000000,5810000000,6114000000,6079000000,5598000000,6221000000,7983000000
2,COGS,1850000000,1932000000,1932000000,2319000000,2691000000,2755000000,2931000000,2945000000,3230000000,3282000000,3156000000,3527000000,4753000000
3,Gross Profit,2082000000,2158000000,2161000000,2353000000,2598000000,2573000000,2775000000,2865000000,2884000000,2797000000,2442000000,2694000000,3230000000
4,Gross Profit Ratio,0.5295,0.5276,0.5280,0.5036,0.4912,0.4829,0.4863,0.4931,0.4717,0.4601,0.4362,0.4330,0.4046
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1513000000,1479000000,1524000000,327000000,327000000,293000000,337000000,321000000,364000000,328000000,288000000,412000000,441000000
7,Selling and Marketing Exp.,161000000,179000000,185000000,190000000,199000000,214000000,226000000,241000000,261000000,258000000,262000000,215000000,263000000
8,"Selling, General and Administrative Exp.",1674000000,1658000000,1709000000,517000000,526000000,507000000,563000000,562000000,625000000,586000000,550000000,627000000,704000000
9,Other Expenses,88000000,-132000000,207000000,1486000000,1547000000,1540000000,1659000000,1744000000,1742000000,1743000000,1514000000,1659000000,1873000000
10,Operating Expenses,1762000000,1526000000,1916000000,2003000000,2073000000,2047000000,2222000000,2306000000,2367000000,2329000000,2064000000,2286000000,2577000000
11,COGS and Expenses,3612000000,3458000000,3848000000,4322000000,4764000000,4802000000,5153000000,5251000000,5597000000,5611000000,5220000000,5813000000,7330000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,528000000,281000000,267000000,231000000,174000000,158000000,190000000,249000000,246000000,190000000
14,Depreciation and Amortization,194000000,197000000,186000000,173000000,176000000,190000000,201000000,202000000,198000000,195000000,169000000,186000000,204000000
15,EBITDA,-118000000,231000000,-223000000,197000000,653000000,687000000,726000000,733000000,722000000,587000000,208000000,-32000000,870000000
16,EBITDA ratio,-0.0300,0.0565,-0.0545,0.0422,0.1235,0.1289,0.1272,0.1262,0.1181,0.0966,0.0372,-0.0051,0.1090
17,Operating Income,320000000,632000000,245000000,350000000,525000000,526000000,553000000,559000000,517000000,468000000,378000000,408000000,435000000
18,Operating Income ratio,0.0814,0.1545,0.0599,0.0749,0.0993,0.0987,0.0969,0.0962,0.0846,0.0770,0.0675,0.0656,0.0545
19,Total Other Income Expenses (Gains),-630000000,-596000000,-678000000,-913000000,-350000000,-301000000,-271000000,-210000000,-166000000,-259000000,-536000000,-999000000,- -
20,Income Before Tax,-310000000,36000000,-433000000,-563000000,175000000,225000000,282000000,349000000,351000000,209000000,-158000000,-591000000,435000000
21,Income Before Tax Ratio,-0.0788,0.0088,-0.1058,-0.1205,0.0331,0.0422,0.0494,0.0601,0.0574,0.0344,-0.0282,-0.0950,0.0545
22,Income Tax expense (Gain),-50000000,133000000,32000000,39000000,-242000000,87000000,110000000,144000000,-65000000,65000000,-22000000,-104000000,133000000
23,Net Income,-262000000,-99000000,-441000000,-543000000,438000000,143000000,184000000,213000000,431000000,137000000,-188000000,-360000000,343000000
24,Net Income ratio,-0.0666,-0.0242,-0.1077,-0.1162,0.0828,0.0268,0.0322,0.0367,0.0705,0.0225,-0.0336,-0.0579,0.0430
25,EPS,-32.75,-12.38,-2.85,-14.41,3.01,0.98,1.26,1.47,3.15,1.10,-1.65,-3.13,3.00
