,https://roic.ai/company/GDOT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,168126000,234816000,363888000,467398000,546285000,573621000,601552000,694700000,718774000,890151000,1041758000,1108595000,1253760000,1433197000
2,COGS,- -,- -,- -,- -,- -,192375000,217143000,202136000,270370000,267012000,355665000,402787000,399086000,526866000,654120000
3,Gross Profit,- -,168126000,234816000,363888000,467398000,353910000,356478000,399416000,424330000,451762000,534486000,638971000,709509000,726894000,779077000
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,0.6478,0.6215,0.6640,0.6108,0.6285,0.6004,0.6134,0.6400,0.5798,0.5436
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,69371000,95360000,171679000,215202000,71900000,88976000,105200000,134560000,139350000,155601000,206040000,199751000,281710000,330590000
7,Selling and Marketing Exp.,- -,69577000,75786000,122890000,168747000,209870000,218370000,235227000,230441000,249096000,280561000,326333000,386840000,415111000,382163000
8,"Selling, General and Administrative Exp.",- -,138948000,171146000,294569000,383949000,281770000,307346000,340427000,365001000,388446000,436162000,532373000,586591000,696821000,712753000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,138948000,171146000,294569000,383949000,281770000,307346000,340427000,365001000,388446000,436162000,532373000,586591000,696821000,712753000
11,COGS and Expenses,- -,138948000,171146000,294569000,383949000,474145000,524489000,542563000,635371000,655458000,791827000,935160000,985677000,1223687000,1366873000
12,Interest Income ,- -,665000,396000,365000,910000,4074000,3440000,4064000,4737000,7367000,11243000,23701000,- -,- -,- -
13,Interest Expense (Gain),- -,247000,1000,52000,346000,76000,72000,1276000,5944000,9122000,6109000,6482000,1837000,761000,- -
14,Depreciation and Amortization,- -,4407000,4593000,7588000,12330000,18131000,27099000,36984000,61714000,62481000,64580000,71342000,82105000,86124000,84799000
15,EBITDA,- -,34250000,68659000,77272000,96689000,94345000,79671000,107166000,125780000,133164000,174147000,201641000,205023000,114980000,148499000
16,EBITDA ratio,- -,0.2037,0.2924,0.2124,0.2069,0.1727,0.1389,0.1781,0.1811,0.1853,0.1956,0.1936,0.1849,0.0917,0.1036
17,Operating Income,- -,29178000,63670000,69319000,83449000,72140000,49132000,58989000,59329000,63316000,98324000,106598000,122918000,30073000,66474000
18,Operating Income ratio,- -,0.1735,0.2711,0.1905,0.1785,0.1321,0.0857,0.0981,0.0854,0.0881,0.1105,0.1023,0.1109,0.0240,0.0464
19,Total Other Income Expenses (Gains),- -,418000,395000,313000,564000,3998000,3368000,9917000,-1207000,-1755000,5134000,17219000,-1837000,-1978000,-2774000
20,Income Before Tax,- -,29596000,64065000,69632000,84013000,76138000,52500000,68906000,58122000,61561000,103458000,123817000,121081000,28095000,63700000
21,Income Before Tax Ratio,- -,0.1760,0.2728,0.1914,0.1797,0.1394,0.0915,0.1145,0.0837,0.0856,0.1162,0.1189,0.1092,0.0224,0.0444
22,Income Tax expense (Gain),- -,12261000,26902000,27400000,31930000,28919000,18460000,26213000,19707000,19961000,17571000,5114000,21184000,4964000,16220000
