,https://roic.ai/company/FSR,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,106000
2,COGS,- -,- -,- -,87000
3,Gross Profit,- -,- -,- -,19000
4,Gross Profit Ratio,- -,- -,- -,0.1792
5,Research and Development Exp.,1939000,6962000,21052000,286857000
6,General and Administrative Exp.,1476000,3626000,22272000,42413000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1476000,3626000,22272000,42413000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,3415000,10588000,43324000,329270000
11,COGS and Expenses,3415000,10588000,43324000,329270000
12,Interest Income ,7000,9000,79000,- -
13,Interest Expense (Gain),1000,179000,1610000,-6546000
14,Depreciation and Amortization,17000,155000,305000,699000
15,EBITDA,-3412000,-10423000,- -,-328552000
16,EBITDA ratio,-Infinity,-Infinity,- -,-3099.5472
17,Operating Income,-3415000,-10588000,-43324000,-329251000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-3106.1415
19,Total Other Income Expenses (Gains),-16000,-291000,-11317000,- -
20,Income Before Tax,-3431000,-10879000,-54641000,- -
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-3431000,-10879000,-54641000,- -
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -
25,EPS,-0.02,-0.04,-0.40,-1.61
26,EPS Diluted,-0.02,-0.04,-0.40,-1.61
27,Weighted Average Shares Outstanding,277258103,277258103,135034921,296133530
28,Weighted Average Shares Outstanding Diluted,277258103,277258103,135034921,296133530
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1720990/000119312521163712/0001193125-21-163712-index.htm,https://www.sec.gov/Archives/edgar/data/1720990/000172099022000010/0001720990-22-000010-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,1858000,991158000,- -
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1858000,991158000,- -
34,Net Receivables,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,18000,9872000,1232862000
37,Total Current Assets,- -,1876000,1001030000,1232862000
38,PP&E,- -,200000,3493000,103928000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,58041000,231525000
41,Intangible Assets,- -,- -,58041000,231525000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1329000,24637000
45,Total Non-Current Assets,- -,200000,62863000,360090000
