,https://roic.ai/company/UXIN,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1951372000,3315449000,1588031000,- -,657408000
2,COGS,747788000,1138995000,689292000,- -,673711000
3,Gross Profit,1203584000,2176454000,898739000,- -,-16303000
4,Gross Profit Ratio,0.6168,0.6565,0.5659,- -,-0.0248
5,Research and Development Exp.,226010000,329430000,140006000,- -,74137000
6,General and Administrative Exp.,599905000,1724060000,402040000,- -,277925000
7,Selling and Marketing Exp.,2203139000,2686956000,1184997000,- -,339013000
8,"Selling, General and Administrative Exp.",2803044000,4411016000,1587037000,- -,616938000
9,Other Expenses,- -,- -,269447000,- -,-154753000
10,Operating Expenses,3029054000,4740446000,1996490000,- -,536322000
11,COGS and Expenses,3776842000,5879441000,2685782000,- -,1210033000
12,Interest Income ,- -,- -,14958000,- -,45140000
13,Interest Expense (Gain),30183000,120453000,112587000,- -,95953000
14,Depreciation and Amortization,71863000,94422000,171755000,- -,57452000
15,EBITDA,-2619980000,-1293054000,-1706888000,- -,-267784000
16,EBITDA ratio,-1.3426,-0.3900,-1.0748,- -,-0.4073
17,Operating Income,-1823186000,-2565923000,-1292136000,- -,-552625000
18,Operating Income ratio,-0.9343,-0.7739,-0.8137,- -,-0.8406
19,Total Other Income Expenses (Gains),-927639000,1039592000,-68327000,- -,-179974000
20,Income Before Tax,-2750825000,-1526331000,-1360463000,- -,-732599000
21,Income Before Tax Ratio,-1.4097,-0.4604,-0.8567,- -,-1.1144
22,Income Tax expense (Gain),570000,14585000,-2554000,- -,33000
23,Net Income,-2722596000,-1522514000,-1988676000,- -,-421222000
24,Net Income ratio,-1.3952,-0.4592,-1.2523,- -,-0.6407
25,EPS,-7.50,-14.97,-6.75,- -,-1.14
26,EPS Diluted,-7.50,-14.97,-6.75,- -,-1.29
27,Weighted Average Shares Outstanding,244660598,159282921,295537866,- -,366883403
28,Weighted Average Shares Outstanding Diluted,244660598,159282921,295537866,- -,443637678
29,SEC Link,- -,- -,- -,undefined,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,291973000,800997000,478200000,- -,192605000
32,Short-Term Investments,1000000,596078000,- -,- -,- -
33,Cash and Short-Term Investments,292973000,1397075000,478200000,- -,192605000
34,Net Receivables,1517894000,1035346000,1900677000,- -,412711000
35,Inventory,77941000,19380000,13792000,- -,69587000
36,Other Current Assets,3014152000,4216833000,2552200000,- -,158040000
37,Total Current Assets,4902960000,6668634000,4944869000,- -,832943000
38,PP&E,156625000,199271000,155560000,- -,76135000
39,Goodwill,75849000,110424000,9541000,- -,- -
40,Intangible Assets,9949000,21179000,190000,- -,27000
41,Intangible Assets,85798000,131603000,9731000,- -,27000
42,Investments,40628000,349882000,272936000,- -,288428000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,112902000,- -,- -,- -,36000000
45,Total Non-Current Assets,395953000,680756000,438227000,- -,400590000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,5298913000,7349390000,5383096000,- -,1233533000
48,Accounts Payable,65694000,156320000,127836000,- -,101205000
49,Short-Term Debt,426783000,1812780000,620961000,- -,91217000
50,Tax Payable,50637000,102324000,104496000,- -,77862000
51,Deferred Revenue,986762000,983494000,271414000,- -,32417000
52,Other Current Liabilities,2861075000,1508851000,1973603000,- -,922366000
53,Total Current Liabilities,4340314000,4461445000,2993814000,- -,1147205000
54,Long-Term Debt,374104000,481801000,1923897000,- -,1881405000
55,Deferred Revenue,343823000,29742000,265000,- -,- -
56,Deferred Tax Liabilities,1653000,4759000,- -,- -,- -
57,Other Non-Current Liabilities,8420644000,- -,- -,- -,200778000
58,Total Non-Current Liabilities,9140224000,516302000,1924162000,- -,2082183000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,42967000,- -,46022000
61,Total Liabilities,13480538000,4977747000,4917976000,- -,3229388000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,30000,575000,581000,- -,733000
64,Retained Earnings,-8207801000,-10680489000,-12669165000,- -,-15910049000
65,Other Comprehensive Income/Loss,76607000,86061000,68192000,- -,217747000
66,Other Total Stockholders Equity,- -,12967986000,13069560000,- -,- -
67,Total Stockholders Equity,-8131164000,2374133000,469168000,- -,-1995692000
68,Total Liabilities And Stockholders Equity,5349374000,7351880000,5387144000,- -,1233696000
69,Minority Interest,-50461000,-2490000,-4048000,- -,-163000
70,Total Liabilities & Equity,5298913000,7349390000,5383096000,- -,1233533000
71,SEC Link,- -,- -,- -,undefined,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-2722596000,-1522514000,-1988676000,- -,-421222000
74,Depreciation and Amortization,71863000,94422000,171755000,- -,57452000
75,Deferred Income Tax,-620000,-1107000,-1678000,- -,- -
76,Stock Based Compensation,165873000,1052032000,100295000,- -,-19122000
77,Change in Working Capital,-206645000,-726268000,-96111000,- -,-94530000
78,Accounts Receivable,-222391000,-595277000,315726000,- -,48250000
79,Inventory,-67252000,58561000,5588000,- -,-75552000
80,Accounts Payable,911641000,654281000,674946000,- -,-354669000
81,Other Working Capital,635397000,-475965000,-530998000,- -,-45084000
