,https://roic.ai/company/MLKN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,531600000,573500000,713600000,793300000,865000000,878700000,804700000,855700000,953200000,1083100000,1283900000,1495900000,1718600000,1766200000,1938000000,2236200000,1468700000,1336500000,1338300000,1515600000,1737200000,1918900000,2012100000,1630000000,1318800000,1649200000,1724100000,1774900000,1882000000,2142200000,2264900000,2278200000,2381200000,2567200000,2486600000,2465100000
2,COGS,306300000,326700000,431800000,486200000,523800000,531800000,497100000,525600000,582900000,665100000,804000000,914000000,1029000000,1034500000,1128500000,1480500000,1028400000,912900000,922700000,1025800000,1162400000,1273000000,1313400000,1102300000,890300000,1111100000,1133500000,1169700000,1251000000,1350800000,1390700000,1414000000,1508200000,1637300000,1575900000,1515900000
3,Gross Profit,225300000,246800000,281800000,307100000,341200000,346900000,307600000,330100000,370300000,418000000,479900000,581900000,689600000,731700000,809500000,755700000,440300000,423600000,415600000,489800000,574800000,645900000,698700000,527700000,428500000,538100000,590600000,605200000,631000000,791400000,874200000,864200000,873000000,929900000,910700000,949200000
4,Gross Profit Ratio,0.4238,0.4303,0.3949,0.3871,0.3945,0.3948,0.3823,0.3858,0.3885,0.3859,0.3738,0.3890,0.4013,0.4143,0.4177,0.3379,0.2998,0.3169,0.3105,0.3232,0.3309,0.3366,0.3472,0.3237,0.3249,0.3263,0.3426,0.3410,0.3353,0.3694,0.3860,0.3793,0.3666,0.3622,0.3662,0.3851
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,30200000,33700000,27500000,29100000,33800000,37900000,41300000,44300000,38900000,39100000,40000000,40200000,43000000,52000000,51200000,45700000,40500000,45800000,52700000,59900000,65900000,71400000,77100000,73100000,73100000,76900000,74000000,72100000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,370400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",136800000,159300000,187600000,214900000,230500000,275000000,250100000,254700000,245200000,303600000,316000000,359600000,396700000,407400000,456400000,475400000,399700000,319800000,304100000,326700000,373600000,395800000,395800000,330800000,317700000,366000000,394900000,429200000,564300000,543900000,585600000,587800000,616700000,639300000,643300000,643800000
9,Other Expenses,16900000,19300000,21500000,23000000,28000000,32800000,30500000,31600000,33200000,39700000,45000000,48000000,50700000,62100000,77100000,- -,81600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
