,https://roic.ai/company/VERI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,13928000,8911000,14413000,27047000,49648000,57708000,115305000
2,COGS,1860000,1577000,1070000,6479000,17289000,15663000,22129000
3,Gross Profit,12068000,7334000,13343000,20568000,32359000,42045000,93176000
4,Gross Profit Ratio,0.8665,0.8230,0.9258,0.7605,0.6518,0.7286,0.8081
5,Research and Development Exp.,4633000,7900000,13970000,22095000,23801000,14379000,25075000
6,General and Administrative Exp.,7990000,14935000,31436000,37993000,47324000,50080000,97918000
7,Selling and Marketing Exp.,5735000,8279000,14699000,22470000,25305000,19877000,28935000
8,"Selling, General and Administrative Exp.",13725000,23214000,46135000,60463000,72629000,69957000,126853000
9,Other Expenses,- -,- -,- -,- -,- -,5382000,8497000
10,Operating Expenses,18358000,31114000,60105000,82558000,96430000,89718000,160425000
11,COGS and Expenses,20218000,32691000,61175000,89037000,113719000,105381000,182554000
12,Interest Income ,- -,-3890000,211000,803000,549000,85000,- -
13,Interest Expense (Gain),- -,3890000,4236000,- -,- -,- -,- -
14,Depreciation and Amortization,57000,151000,253000,3701000,5947000,6407000,9035000
15,EBITDA,-6148000,-22932000,-55106000,-57381000,-57583000,-41393000,-58814000
16,EBITDA ratio,-0.4414,-2.5734,-3.8234,-2.1215,-1.1598,-0.7173,-0.5101
17,Operating Income,-6290000,-23780000,-46762000,-61990000,-64071000,-47673000,-67249000
18,Operating Income ratio,-0.4516,-2.6686,-3.2444,-2.2919,-1.2905,-0.8261,-0.5832
19,Total Other Income Expenses (Gains),85000,-3193000,-12833000,908000,541000,-127000,-600000
20,Income Before Tax,-6205000,-26973000,-59595000,-61082000,-63530000,-47800000,-67849000
21,Income Before Tax Ratio,-0.4455,-3.0269,-4.1348,-2.2584,-1.2796,-0.8283,-0.5884
22,Income Tax expense (Gain),5000,6000,6000,22000,-1452000,76000,2744000
23,Net Income,-6210000,-26979000,-59601000,-61104000,-62078000,-47876000,-70593000
