,https://roic.ai/company/MFH,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,27815399,36253309,30073452,11477550,73201160,88736550,- -,1738000,1481589
2,COGS,7185148,6583501,7040383,13220390,72856810,88187780,- -,257020,154266
3,Gross Profit,20630251,29669808,23033069,-1742840,344350,548770,- -,1480980,1327323
4,Gross Profit Ratio,0.7417,0.8184,0.7659,-0.1518,0.0047,0.0062,- -,0.8521,0.8959
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,47010505,49280231,55447030,18271820,27936450,21903260,1808780,1025150,2123784
7,Selling and Marketing Exp.,12487068,10426400,11254481,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",59497573,59706631,66701511,18271820,27936450,21903260,1808780,1025150,2123784
9,Other Expenses,- -,- -,- -,-3,3,-1,8287084,-5,- -
10,Operating Expenses,59497573,59706631,66701511,18271817,27936453,21903259,10095864,1025145,2123784
11,COGS and Expenses,66682721,66290132,73741894,117426970,100793260,257109470,1808780,1282170,2278050
12,Interest Income ,20560,43865,6703,7392,26147,- -,- -,279,8181
13,Interest Expense (Gain),223801,136655,11798,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2768122,2352797,1864739,4949040,8900190,8626840,1508860,- -,- -
15,EBITDA,-36087219,-29763411,-41979810,-89870850,-18626420,-160129320,-299920,-1225300,-1651273
16,EBITDA ratio,-1.2974,-0.8210,-1.3959,-7.8301,-0.2545,-1.8045,-Infinity,-0.7050,-1.1145
17,Operating Income,-38867322,-32071614,-43668442,-105949421,-27592100,-168372916,-124398490,455832,-1631805
18,Operating Income ratio,-1.3973,-0.8847,-1.4521,-9.2310,-0.3769,-1.8974,-Infinity,0.2623,-1.1014
19,Total Other Income Expenses (Gains),-211820,-181249,-201383,53601,65500,-383244,122589740,27138,-19468
20,Income Before Tax,-39079142,-32252863,-43869825,-105895820,-27526600,-168756160,-1808750,482970,-1651273
21,Income Before Tax Ratio,-1.4049,-0.8897,-1.4588,-9.2263,-0.3760,-1.9018,-Infinity,0.2779,-1.1145
22,Income Tax expense (Gain),-68666,-80519,- -,-1249700,-2233460,-6857180,- -,- -,- -
23,Net Income,-39010476,-32172344,-43856347,-93570190,-25293150,-161898980,-123239790,-1225300,-1651273
24,Net Income ratio,-1.4025,-0.8874,-1.4583,-8.1525,-0.3455,-1.8245,-Infinity,-0.7050,-1.1145
25,EPS,-30.61,-37.80,-100.30,-32.40,-7.20,-39.60,-28.80,-0.26,-0.22
26,EPS Diluted,-30.61,-37.80,-100.30,-32.40,-7.20,-39.60,-28.80,-0.26,-0.22
27,Weighted Average Shares Outstanding,1848508,1848508,844129,2782651,4094686,4100401,4102225,4786203,7433005
28,Weighted Average Shares Outstanding Diluted,1848508,1848508,844129,2782651,4094686,4100401,4102225,4786203,7433005
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,4247374,419305,1646172,11151900,2604890,4912170,356670,435210,174783
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4247374,419305,1646172,11151900,2604890,4912170,356670,435210,174783
34,Net Receivables,1293517,1725800,1225386,7030570,9268600,7835750,3014180,1693420,2284823
35,Inventory,- -,- -,- -,94410,224150,538660,585760,- -,- -
36,Other Current Assets,6211853,9494511,7433994,22805680,1267070,768650,662150,5150,11189
37,Total Current Assets,11752744,11639616,10305552,41082560,13364710,14055230,4618760,2133780,2470795
38,PP&E,5347138,4085945,2574081,478080,2697810,2563720,406020,- -,- -
39,Goodwill,7433142,7649731,7463706,250650500,221337160,108940430,- -,5529180,8107014
40,Intangible Assets,2457702,- -,- -,50562950,36274240,10263940,- -,1208340,383289
41,Intangible Assets,9890844,7649731,7463706,301213450,257611400,119204370,- -,6737520,8490303
42,Investments,- -,- -,- -,- -,720150,768486,- -,- -,- -
43,Tax Assets,- -,- -,- -,12640740,9068560,2565990,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-12640750,-9417570,-3015966,- -,-10,- -
45,Total Non-Current Assets,15237982,11735676,10037787,301691520,260680350,122086600,406020,6737510,8490303
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26990726,23375292,20343339,342774080,274045060,136141830,5024780,8871290,10961098
48,Accounts Payable,17273124,13437234,22679754,3831220,2200450,3980830,542730,- -,16000
49,Short-Term Debt,- -,- -,- -,- -,- -,7684859,7272198,- -,- -
