,https://roic.ai/company/NM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,21454000,26759000,179734000,336930000,235006000,205965000,758420000,1246062000,598676000,679918000,689355000,616494000,512279000,569016000,480820000,419782000,463049000,517739000,482449000,416718000
2,COGS,7439000,8192000,10447000,188250000,8787000,19863000,27892000,1092860000,385292000,383667000,390581000,495275000,456610000,498058000,496360000,416293000,434754000,410715000,360406000,342359000
3,Gross Profit,14015000,18567000,169287000,148680000,226219000,186102000,730528000,153202000,213384000,296251000,298774000,121219000,55669000,70958000,-15540000,3489000,28295000,107024000,122043000,74359000
4,Gross Profit Ratio,0.6533,0.6939,0.9419,0.4413,0.9626,0.9036,0.9632,0.1229,0.3564,0.4357,0.4334,0.1966,0.1087,0.1247,-0.0323,0.0083,0.0611,0.2067,0.2530,0.1784
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,40001000,43897000,58604000,- -,51331000,44634000,45590000,34183000,25295000,27521000,27513000,36194000,33702000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1234000,2263000,11628000,12722000,14546000,14565000,22551000,40001000,43897000,58604000,52852000,51331000,44634000,45590000,34183000,25295000,27521000,27513000,36194000,33702000
9,Other Expenses,- -,- -,- -,5925000,17454000,37719000,31900000,59730000,76122000,106453000,107634000,17136000,630000,792000,59000,1304000,269000,575000,999000,541000
10,Operating Expenses,1234000,2263000,11628000,18647000,32000000,52284000,54451000,99731000,120019000,165057000,160486000,68467000,45264000,46382000,34242000,26599000,27790000,28088000,37193000,34243000
11,COGS and Expenses,8673000,10455000,22075000,206897000,40787000,72147000,82343000,1192591000,505311000,548724000,551067000,563742000,501874000,544440000,530602000,442892000,462544000,438803000,397599000,376602000
