,https://roic.ai/company/U,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,380755000,541779000,772445000,1110526000
2,COGS,81267000,118597000,172347000,253630000
3,Gross Profit,299488000,423182000,600098000,856896000
4,Gross Profit Ratio,0.7866,0.7811,0.7769,0.7716
5,Research and Development Exp.,204071000,255928000,403515000,695710000
6,General and Administrative Exp.,91260000,143788000,254979000,347912000
7,Selling and Marketing Exp.,134458000,174135000,216416000,344939000
8,"Selling, General and Administrative Exp.",225718000,317923000,471395000,692851000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,429789000,573851000,874910000,1388561000
11,COGS and Expenses,511056000,692448000,1047257000,1642191000
12,Interest Income ,- -,- -,- -,1566000
13,Interest Expense (Gain),2327000,2573000,5405000,1131000
14,Depreciation and Amortization,20518000,31113000,42974000,64567000
15,EBITDA,-109783000,-119556000,-231838000,-465532000
16,EBITDA ratio,-0.2883,-0.2207,-0.3001,-0.4192
17,Operating Income,-130301000,-150669000,-274812000,-531665000
18,Operating Income ratio,-0.3422,-0.2781,-0.3558,-0.4788
19,Total Other Income Expenses (Gains),-2327000,-2573000,-5405000,435000
20,Income Before Tax,-132628000,-153242000,-280217000,-531230000
21,Income Before Tax Ratio,-0.3483,-0.2828,-0.3628,-0.4784
22,Income Tax expense (Gain),-1026000,9948000,2091000,1377000
23,Net Income,-131602000,-163190000,-282308000,-532607000
24,Net Income ratio,-0.3456,-0.3012,-0.3655,-0.4796
25,EPS,-0.58,-0.78,-1.66,-3.13
26,EPS Diluted,-0.58,-0.78,-1.66,-3.13
27,Weighted Average Shares Outstanding,228210000,213438000,169973000,169973000
28,Weighted Average Shares Outstanding Diluted,228210000,213438000,169973000,169973000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810806/000181080621000052/0001810806-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1810806/000181080622000004/0001810806-22-000004-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,258731000,129959000,1272578000,1055776000
32,Short-Term Investments,- -,- -,479406000,681323000
33,Cash and Short-Term Investments,258731000,129959000,1751984000,1737099000
34,Net Receivables,152481000,204898000,274255000,340491000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,27414000,32560000,54421000,73520000
37,Total Current Assets,438626000,367417000,2080660000,2151110000
38,PP&E,67866000,78976000,199153000,204499000
39,Goodwill,45407000,218305000,286251000,1620127000
40,Intangible Assets,9104000,62034000,57459000,814386000
41,Intangible Assets,54511000,280339000,343710000,2434513000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,28298000,36128000,47702000,51224000
45,Total Non-Current Assets,150675000,395443000,590565000,2690236000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,589301000,762860000,2671225000,4841346000
48,Accounts Payable,9336000,10706000,11303000,14009000
49,Short-Term Debt,- -,- -,25375000,23729000
50,Tax Payable,22558000,35715000,64116000,64759000
51,Deferred Revenue,54967000,85980000,113853000,140528000
52,Other Current Liabilities,189433000,239842000,352691000,447269000
53,Total Current Liabilities,253736000,336528000,503222000,625535000
54,Long-Term Debt,- -,- -,- -,1795574000
55,Deferred Revenue,10542000,10596000,20523000,15945000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,8896000,21825000,110337000,9901000
58,Total Non-Current Liabilities,19438000,32421000,130860000,1821420000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,123907000,116268000
61,Total Liabilities,273174000,368949000,634082000,2446955000
62,Preferred Stock,600114000,686559000,- -,- -
63,Common Stock,1000,1000,2000,2000
64,Retained Earnings,-352000000,-515190000,-797498000,-1331627000
65,Other Comprehensive Income/Loss,-3477000,-3632000,-3418000,-3858000
66,Other Total Stockholders Equity,71489000,226173000,2838057000,3729874000
67,Total Stockholders Equity,316127000,393911000,2037143000,2394391000
68,Total Liabilities And Stockholders Equity,589301000,762860000,2671225000,4841346000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,589301000,762860000,2671225000,4841346000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810806/000181080621000052/0001810806-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1810806/000181080622000004/0001810806-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-131602000,-163190000,-282308000,-532607000
74,Depreciation and Amortization,20518000,31113000,42974000,64567000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,20913000,44480000,134629000,347159000
77,Change in Working Capital,8323000,-154001000,1546549000,-4411000
78,Accounts Receivable,-30974000,-49420000,-63294000,-65151000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-488000,473000,-2526000,2022000
81,Other Working Capital,184890000,30889000,1577438000,2720000
82,Other Non-Cash Items,789000,173662000,-1421931000,13843000
83,Cash Provided by Operating Activities,-81059000,-67936000,19913000,-111449000
84,CAPEX,-38019000,-27035000,-40906000,-41938000
85,Acquisitions Net,-2024000,-192506000,-52475000,-1580081000
86,Purchases of Investments,- -,- -,-483453000,-524298000
87,Sales/Maturities of Investments,- -,- -,1644000,308957000
88,Other Investing Activites,- -,- -,-750000,- -
89,Cash Used for Investing Activites,-40043000,-219541000,-575190000,-1837360000
90,Debt Repayment,- -,- -,-125000000,- -
91,Common Stock Issued,- -,460200000,1517582000,- -
92,Common Stock Repurchased,- -,-435089000,-110000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,148251000,136361000,308983000,1721002000
95,Cash Used/Provided by Financing Activities,148251000,161472000,1701455000,1721002000
96,Effect of Forex Changes on Cash,-8000,-172000,673000,459000
97,Net Change In Cash,27141000,-126177000,1146851000,-227348000
98,Cash at the End of Period,273273000,147096000,1293947000,1066599000
99,Cash at the Beginning of Period,246132000,273273000,147096000,1293947000
100,Free Cash Flow,-119078000,-94971000,-20993000,-153387000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810806/000181080621000052/0001810806-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1810806/000181080622000004/0001810806-22-000004-index.htm
102,false,,,,
