,https://roic.ai/company/CNLHN,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,3792148000,3834806000,3767714000,4471251000,5876620000,5968220000,5216321000,6069156000,6686699000,7397390000,6884388000,5822226000,3558361000,3424538000,2999102000,2548387000,2407449000,2442341000,2692582000,2802675000,2805955000,2887359000,3096174000,3232551000,- -,9863085000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1845367000,1690671000,1253329000,929865000,858231000,872769000,982876000,1054313000,919723000,930780000,1601635000,1737369000,- -,3372344000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1712994000,1733867000,1745773000,1618522000,1549218000,1569572000,1709706000,1748362000,1886232000,1956579000,1494539000,1495182000,- -,6490741000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4814,0.5063,0.5821,0.6351,0.6435,0.6427,0.6350,0.6238,0.6722,0.6776,0.4827,0.4625,- -,0.6581
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89299000,89858000,156335000,153725000,154015000,114713000,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,3520576000,3649770000,3542987000,4126714000,5411857000,5429046000,4749666000,5635790000,6273747000,7507112000,6650164000,5282589000,3184970000,1268761000,1258123000,1155339000,1032930000,940138000,998121000,983576000,1059042000,1156763000,858702000,813533000,- -,4497420000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,3520576000,3649770000,3542987000,4126714000,5411857000,5429046000,4749666000,5635790000,6273747000,7507112000,6650164000,5282589000,3184970000,1268761000,1258123000,1155339000,1122229000,1029996000,1154456000,1137301000,1213057000,1271476000,858702000,813533000,- -,4497420000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,3520576000,3649770000,3542987000,4126714000,5411857000,5429046000,4749666000,5635790000,6273747000,7507112000,6650164000,5282589000,5030337000,2959432000,2511452000,2085204000,1980460000,1902765000,2137332000,2191614000,2132780000,2202256000,2460337000,2550902000,- -,7869764000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,277993000,- -,269089000,- -,299302000,192042000,154720000,246358000,154615000,269801000,238038000,240245000,- -,155817000,137738000,131918000,133127000,133650000,147421000,145795000,144110000,142973000,151727000,151357000,- -,582334000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,359507000,354329000,332807000,302305000,239798000,1184050000,667190000,387063000,363126000,438170000,260114000,305971000,469865000,232743000,256073000,222936000,181225000,177603000,188837000,215289000,269254000,332518000,278557000,301188000,- -,- -
15,EBITDA,- -,- -,- -,- -,- -,- -,- -,641078000,207919000,378750000,254249000,442208000,1793554000,1056323000,809694000,686085000,291718000,887301000,902119000,738875000,723723000,770392000,695051000,618514000,732328000,757463000,837840000,955926000,1038863000,937057000,1000368000,- -,2640367000
16,EBITDA ratio,- -,- -,- -,- -,- -,- -,- -,0.1691,0.0542,0.1005,0.0569,0.0752,0.3005,0.2025,0.1334,0.1026,0.0394,0.1289,0.1549,0.2076,0.2113,0.2569,0.2727,0.2569,0.2998,0.2813,0.2989,0.3407,0.3598,0.3026,0.3095,- -,0.2677
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,271572000,185036000,224727000,344537000,464763000,539174000,466655000,433366000,412952000,-153865000,223924000,539481000,373391000,465106000,487650000,463183000,426989000,539576000,555250000,611061000,673175000,685103000,635837000,681649000,- -,1993300000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,0.0716,0.0483,0.0596,0.0771,0.0791,0.0903,0.0895,0.0714,0.0618,-0.0208,0.0325,0.0927,0.1049,0.1358,0.1626,0.1818,0.1774,0.2209,0.2062,0.2180,0.2399,0.2373,0.2054,0.2109,- -,0.2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-258694000,-322146000,-438573000,-383293000,-327774000,-92031000,-226683000,-246793000,-239049000,-232564000,-173644000,-178606000,-104381000,-129943000,-111069000,-122986000,-122827000,-118501000,-134045000,-134305000,-130613000,-121731000,-129064000,-133826000,- -,-421031000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,12878000,-137110000,-213846000,-38756000,136989000,447143000,239972000,186573000,173903000,-386429000,50280000,360875000,269010000,335163000,376581000,340197000,304162000,421075000,421205000,476756000,542562000,563372000,506773000,547823000,- -,1572269000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.0034,-0.0358,-0.0568,-0.0087,0.0233,0.0749,0.0460,0.0307,0.0260,-0.0522,0.0073,0.0620,0.0756,0.0979,0.1256,0.1335,0.1263,0.1724,0.1564,0.1701,0.1934,0.1951,0.1637,0.1695,- -,0.1594
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,1747000,-10702000,-76393000,-82272000,-68306000,173952000,82304000,59862000,51756000,-162765000,-81429000,109420000,77852000,118847000,132438000,90033000,94437000,141663000,133451000,177396000,208308000,186646000,129056000,136971000,- -,829987000
23,Net Income,- -,- -,- -,- -,- -,- -,- -,1831000,-135708000,-146753000,34216000,-28586000,243510000,152109000,116411000,116588000,-253488000,470578000,246483000,191158000,216316000,244143000,250164000,209725000,279412000,287754000,299360000,334254000,376726000,377717000,410852000,- -,1228046000
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,0.0005,-0.0354,-0.0390,0.0077,-0.0049,0.0408,0.0292,0.0192,0.0174,-0.0343,0.0684,0.0423,0.0537,0.0632,0.0814,0.0982,0.0871,0.1144,0.1069,0.1068,0.1191,0.1305,0.1220,0.1271,- -,0.1245
25,EPS,- -,- -,- -,- -,- -,- -,- -,0.30,-22.49,-24.32,5.67,-4.74,40.35,25.20,19.29,19.32,-42.00,77.97,40.84,31.67,35.84,40.45,41.45,34.75,46.30,47.68,49.60,55.38,62.42,62.59,68.08,- -,203.48
26,EPS Diluted,- -,- -,- -,- -,- -,- -,- -,0.30,-22.49,-24.32,5.67,-4.74,40.35,25.20,19.29,19.32,-42.00,77.97,40.84,31.67,35.84,40.45,41.45,34.75,46.30,47.68,49.60,55.38,62.42,62.59,68.08,- -,203.48
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,- -,- -,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,- -,6035200
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,- -,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,6035200,- -,6035200
29,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23426/000007274112000020/0000072741-12-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/23426/000007274114000011/0000072741-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274115000013/0000072741-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274116000063/0000072741-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274117000007/0000072741-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/23426/000007274118000028/0000072741-18-000028-index.htm,- -,https://www.sec.gov/Archives/edgar/data/13372/000007274120000008/0000072741-20-000008-index.html,undefined,https://www.sec.gov/Archives/edgar/data/23426/000007274122000015/0000072741-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
