,https://roic.ai/company/INBX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,8391000,8595000,13211000,12888000,7125000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,25510000,33454000,47907000,73495000,71440000
6,General and Administrative Exp.,2609000,4654000,9018000,6836000,12355000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2609000,4654000,9018000,6836000,12355000
9,Other Expenses,- -,- -,- -,- -,-106000
10,Operating Expenses,28119000,38108000,56925000,80331000,83689000
11,COGS and Expenses,28119000,38108000,56925000,80331000,83689000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2126000,1480000,5719000,10816000,- -
14,Depreciation and Amortization,399000,676000,1163000,1019000,1195000
15,EBITDA,-16667000,-28911000,-43620000,-64286000,-80571000
16,EBITDA ratio,-1.9863,-3.3637,-3.3018,-4.9881,-11.3082
17,Operating Income,-19728000,-29513000,-43714000,-67443000,-76564000
18,Operating Income ratio,-2.3511,-3.4337,-3.3089,-5.2330,-10.7458
19,Total Other Income Expenses (Gains),-2102000,-1412000,-6788000,-8191000,-5202000
20,Income Before Tax,-21830000,-30925000,-50502000,-75634000,-81766000
21,Income Before Tax Ratio,-2.6016,-3.5980,-3.8227,-5.8686,-11.4759
22,Income Tax expense (Gain),250000,96000,898000,3000,2000
23,Net Income,-19442000,-31163000,-51400000,-76124000,-81768000
24,Net Income ratio,-2.3170,-3.6257,-3.8907,-5.9066,-11.4762
25,EPS,-0.68,-1.08,-1.67,-3.01,-2.15
26,EPS Diluted,-0.68,-1.08,-1.67,-3.01,-2.15
27,Weighted Average Shares Outstanding,28789000,28789000,27077000,25261000,38010000
28,Weighted Average Shares Outstanding Diluted,28789000,28789000,27077000,25261000,38010000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739614/000173961421000047/0001739614-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1739614/000173961422000023/0001739614-22-000023-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,13470000,2103000,11540000,128664000,131301000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13470000,2103000,11540000,128664000,131301000
34,Net Receivables,696000,690000,438000,615000,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,1275000,2864000,3583000,2893000,7811000
37,Total Current Assets,15441000,5657000,15561000,132172000,139112000
38,PP&E,1805000,2593000,10683000,11323000,- -
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1734000,245000,245000,11338000
45,Total Non-Current Assets,1805000,4327000,10928000,11568000,11338000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,17246000,9984000,26489000,143740000,150450000
48,Accounts Payable,775000,6530000,3115000,13458000,- -
