,https://roic.ai/company/DDI,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,266880000,273610000,358342000,363205000
2,COGS,104047000,99620000,126255000,126612000
3,Gross Profit,162833000,173990000,232087000,236593000
4,Gross Profit Ratio,0.6101,0.6359,0.6477,0.6514
5,Research and Development Exp.,20057000,19245000,18784000,18490000
6,General and Administrative Exp.,17800000,17198000,21721000,22631000
7,Selling and Marketing Exp.,39932000,35827000,71225000,78821000
8,"Selling, General and Administrative Exp.",57732000,53025000,92946000,101452000
9,Other Expenses,30100000,33422000,31574000,17918000
10,Operating Expenses,107889000,105692000,143304000,137860000
11,COGS and Expenses,211936000,205312000,269559000,264472000
12,Interest Income ,272000,524000,197000,208000
13,Interest Expense (Gain),30392000,26566000,10786000,2011000
14,Depreciation and Amortization,30100000,33422000,31574000,17918000
15,EBITDA,94750000,109855000,117577000,120655000
16,EBITDA ratio,0.3550,0.4015,0.3281,0.3322
17,Operating Income,54944000,68298000,88783000,98733000
18,Operating Income ratio,0.2059,0.2496,0.2478,0.2718
19,Total Other Income Expenses (Gains),-20686000,-18431000,-13566000,1993000
20,Income Before Tax,34258000,49867000,75217000,100726000
21,Income Before Tax Ratio,0.1284,0.1823,0.2099,0.2773
22,Income Tax expense (Gain),9206000,13542000,21594000,22506000
23,Net Income,25052000,36325000,53623000,78220000
24,Net Income ratio,0.0939,0.1328,0.1496,0.2154
25,EPS,0.51,0.73,1.08,1.58
26,EPS Diluted,0.51,0.73,1.08,1.58
27,Weighted Average Shares Outstanding,49553440,49553440,49553440,49553440
28,Weighted Average Shares Outstanding Diluted,49553440,49553440,49553440,49553440
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,30964000,42418000,63188000,242060000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,30964000,42418000,63188000,242060000
34,Net Receivables,16092000,19811000,23299000,21875000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,2817000,3635000,4020000,6817000
37,Total Current Assets,49873000,65864000,90507000,270752000
38,PP&E,499000,12763000,10364000,7322000
39,Goodwill,633965000,633965000,633965000,633965000
40,Intangible Assets,135803000,102697000,71364000,53679000
41,Intangible Assets,769768000,736662000,705329000,687644000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,560000,2616000
44,Other Non-Current Assets,176000,113000,71000,1582000
45,Total Non-Current Assets,770443000,749538000,716324000,699164000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,820316000,815402000,806831000,969916000
48,Accounts Payable,14296000,10915000,16646000,14752000
49,Short-Term Debt,123424000,37343000,3033000,3076000
50,Tax Payable,1771000,171000,2838000,- -
51,Deferred Revenue,1916000,1804000,2415000,2246000
52,Other Current Liabilities,2968000,432000,3555000,730000
53,Total Current Liabilities,142604000,50494000,25649000,20804000
54,Long-Term Debt,323356000,352928000,53787000,46864000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,21752000,24008000,20154000,28309000
57,Other Non-Current Liabilities,2742000,7304000,7730000,9953000
58,Total Non-Current Liabilities,347850000,384240000,81671000,85126000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,13219000,10864000,7764000
61,Total Liabilities,490454000,434734000,107320000,105930000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,10603000,10603000,18924000,21198000
64,Retained Earnings,-20240000,16085000,69708000,147928000
65,Other Comprehensive Income/Loss,76000,9433000,22815000,23029000
66,Other Total Stockholders Equity,339423000,344547000,588064000,671831000
67,Total Stockholders Equity,329862000,380668000,699511000,863986000
68,Total Liabilities And Stockholders Equity,820316000,815402000,806831000,969916000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,820316000,815402000,806831000,969916000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,25052000,36325000,53623000,78220000
74,Depreciation and Amortization,30100000,33422000,31574000,17918000
75,Deferred Income Tax,3192000,2706000,4422000,5976000
76,Stock Based Compensation,- -,- -,- -,- -
77,Change in Working Capital,11306000,-5459000,4884000,-3950000
78,Accounts Receivable,3485000,-3680000,-4099000,1638000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,3157000,-1630000,5835000,-2052000
81,Other Working Capital,-405000,-112000,609000,-168000
82,Other Non-Cash Items,4876000,9668000,5347000,-2059000
83,Cash Provided by Operating Activities,74526000,76662000,99850000,96105000
84,CAPEX,-3182000,-200000,-223000,-1809000
85,Acquisitions Net,- -,- -,-1952000,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-2888000,- -,-6000,-1599000
89,Cash Used for Investing Activites,-3182000,-200000,-2175000,-1806000
90,Debt Repayment,-327563000,-152704000,-76268000,- -
91,Common Stock Issued,- -,- -,- -,86041000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,280883000,90913000,- -,- -
95,Cash Used/Provided by Financing Activities,-46680000,-61791000,-76268000,86041000
96,Effect of Forex Changes on Cash,-1768000,-3217000,-637000,-1468000
97,Net Change In Cash,22896000,11454000,20770000,178872000
98,Cash at the End of Period,30964000,42418000,63188000,242060000
99,Cash at the Beginning of Period,8068000,30964000,42418000,63188000
100,Free Cash Flow,71344000,76462000,99627000,94296000
101,SEC Link,- -,- -,- -,- -
102,false,,,,
