,https://roic.ai/company/FORTY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,258800000,335494000,405735000,376920000,283310000,366830000,456610000,506371000,492735000,493350000,590807000,469390000,549694000,640617000,744731000,796674000,742981000,185636000,750555000,1355139000,1492988000,1701115000,1933918000,2405510000
2,COGS,155000000,178976000,244521000,253590000,186908000,230500000,284961000,333536000,340047000,369110000,452263000,352283000,412463000,492886000,564803000,603080000,564803000,111192000,601749000,1058316000,1159676000,1315066000,1486485000,1841651000
3,Gross Profit,103800000,156518000,161214000,123330000,96402000,136330000,171649000,172835000,152688000,124240000,138544000,117107000,137231000,147731000,179928000,193594000,178178000,74444000,148806000,296823000,333312000,386049000,447433000,563859000
4,Gross Profit Ratio,0.4011,0.4665,0.3973,0.3272,0.3403,0.3716,0.3759,0.3413,0.3099,0.2518,0.2345,0.2495,0.2496,0.2306,0.2416,0.2430,0.2398,0.4010,0.1983,0.2190,0.2233,0.2269,0.2314,0.2344
5,Research and Development Exp.,8400000,12944000,18152000,21085000,15967000,17368000,25036000,22429000,16388000,6547000,6564000,4430000,5503000,5148000,12349000,14168000,12349000,10235000,7488000,39853000,41223000,46690000,52604000,65858000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,107103000,128537000,- -,- -,- -,- -,77322000,84510000,93340000,110758000,117877000,110758000,39859000,94722000,184424000,182472000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",57900000,92774000,127821000,129801000,85292000,107103000,128537000,133049000,113664000,90458000,98607000,77322000,84510000,93340000,110758000,117877000,70517000,94722000,147953000,184424000,182472000,200870000,224188000,289986000
9,Other Expenses,12000000,18487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1972000,231000,-207000,-152000,- -,-11567000,-2745000,14840000,-308000,- -,- -,- -,- -
10,Operating Expenses,78300000,124205000,145973000,150886000,101259000,124471000,153573000,155478000,130052000,97005000,105171000,79780000,90244000,98281000,122955000,132045000,71299000,102212000,170281000,223969000,223695000,247560000,276792000,355844000
11,COGS and Expenses,233300000,303181000,390494000,404476000,288167000,354971000,438534000,489014000,470099000,466115000,557434000,434035000,502476000,591374000,687910000,735139000,687736000,161286000,703959000,1282593000,1383371000,1562626000,1763277000,2197495000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8969000,4160000,1062000,1030000,- -,- -,- -,- -,5143000,8611000,6730000,3044000,2559000,- -
13,Interest Expense (Gain),4900000,- -,- -,- -,- -,3676000,14041000,23123000,15332000,3810000,13496000,8572000,7556000,6619000,7972000,8206000,8662000,9904000,8020000,10532000,12370000,16203000,18776000,24005000
14,Depreciation and Amortization,12000000,18487000,- -,68382000,13336000,19003000,20791000,25264000,44946000,15806000,13082000,14605000,17179000,14363000,25650000,24349000,8962000,17561000,32370000,43646000,48734000,86932000,95507000,- -
15,EBITDA,48000000,84064000,54237000,16358000,12944000,25799000,42931000,53770000,73790000,58808000,41991000,59969000,59737000,84113000,81106000,139611000,63796000,47765000,132108000,93618000,138499000,169156000,192328000,121203000
16,EBITDA ratio,0.1855,0.2506,0.1337,0.0434,0.0457,0.0703,0.0940,0.1062,0.1498,0.1192,0.0711,0.1278,0.1087,0.1313,0.1089,0.1752,0.0859,0.2573,0.1760,0.0691,0.0928,0.0994,0.0994,0.0504
17,Operating Income,25500000,32313000,12775000,-38430000,-6686000,11859000,18076000,15902000,19484000,27235000,33373000,37327000,46987000,49450000,56995000,61535000,35035000,46594000,88500000,72854000,109617000,138489000,170641000,208015000
18,Operating Income ratio,0.0985,0.0963,0.0315,-0.1020,-0.0236,0.0323,0.0396,0.0314,0.0395,0.0552,0.0565,0.0795,0.0855,0.0772,0.0765,0.0772,0.0472,0.2510,0.1179,0.0538,0.0734,0.0814,0.0882,0.0865
19,Total Other Income Expenses (Gains),5600000,33264000,41462000,-13594000,6173000,-1010000,-343000,-5919000,-5162000,-2521000,-6925000,-535000,-4371000,-6500000,-6672000,-6236000,13538000,-22081000,14206000,-20043000,-8290000,-18652000,-26885000,-24005000
20,Income Before Tax,31100000,65577000,54237000,-52024000,-513000,10849000,17733000,9983000,14322000,24714000,26448000,36792000,42616000,42950000,50323000,55299000,48573000,24513000,102706000,52811000,101327000,119837000,143756000,184010000
21,Income Before Tax Ratio,0.1202,0.1955,0.1337,-0.1380,-0.0018,0.0296,0.0388,0.0197,0.0291,0.0501,0.0448,0.0784,0.0775,0.0670,0.0676,0.0694,0.0654,0.1320,0.1368,0.0390,0.0679,0.0704,0.0743,0.0765
22,Income Tax expense (Gain),4500000,19389000,14215000,4058000,2014000,- -,- -,5200000,3497000,1933000,3544000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27201000,31269000,42614000
23,Net Income,26600000,46188000,40022000,-56082000,-2406000,3120000,8099000,183000,10015000,37259000,11869000,36792000,35002000,63131000,47484000,107056000,46172000,20300000,91718000,39440000,77395000,38820000,46776000,54584000
24,Net Income ratio,0.1028,0.1377,0.0986,-0.1488,-0.0085,0.0085,0.0177,0.0004,0.0203,0.0755,0.0201,0.0784,0.0637,0.0985,0.0638,0.1344,0.0621,0.1094,0.1222,0.0291,0.0518,0.0228,0.0242,0.0227
25,EPS,3.12,4.93,4.27,-6.02,-0.24,0.29,0.73,0.01,0.80,2.82,0.88,1.40,1.37,3.17,1.78,5.57,5.38,1.38,1.58,0.78,2.18,2.56,3.05,3.57
26,EPS Diluted,3.12,4.93,4.27,-6.02,-0.24,0.24,0.65,0.01,0.73,2.79,0.88,1.36,1.36,3.11,1.72,5.38,5.19,1.31,1.49,0.74,2.13,2.44,3.01,3.50
