,https://roic.ai/company/AORT,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15300000,19600000,21200000,23600000,29000000,37000000,50900000,60700000,66722000,77096000,87671000,77795000,59532000,62384000,69282000,81311000,94763000,105059000,111685000,116645000,119626000,131718000,140763000,144641000,145898000,180380000,189702000,262841000,276222000,253227000,298836000
2,COGS,7100000,8800000,8100000,8000000,9500000,11200000,15100000,21800000,27016000,30125000,36629000,65633000,31482000,37625000,32422000,37421000,35541000,37265000,41917000,48277000,43782000,46700000,50377000,53350000,55179000,61481000,61060000,89857000,93209000,85443000,101322000
3,Gross Profit,8200000,10800000,13100000,15600000,19500000,25800000,35800000,38900000,39706000,46971000,51042000,12162000,28050000,24759000,36860000,43890000,59222000,67794000,69768000,68368000,75844000,85018000,90386000,91291000,90719000,118899000,128642000,172984000,183013000,167784000,197514000
4,Gross Profit Ratio,0.5359,0.5510,0.6179,0.6610,0.6724,0.6973,0.7033,0.6409,0.5951,0.6093,0.5822,0.1563,0.4712,0.3969,0.5320,0.5398,0.6249,0.6453,0.6247,0.5861,0.6340,0.6455,0.6421,0.6312,0.6218,0.6592,0.6781,0.6581,0.6626,0.6626,0.6609
5,Research and Development Exp.,- -,- -,- -,- -,2600000,2800000,3900000,4700000,4396000,5207000,4737000,4597000,3644000,3938000,3724000,3547000,4453000,5309000,5247000,5923000,6899000,7257000,8454000,8699000,10436000,13446000,19461000,23098000,22960000,24207000,35546000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65149000,68112000,73754000,74929000,91548000,101211000,140574000,143011000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8200000,9000000,11700000,13100000,12800000,15700000,20500000,23900000,24693000,28731000,33844000,47530000,53630000,42640000,53225000,41545000,46470000,48831000,50025000,49064000,57302000,65149000,68112000,73754000,74929000,91548000,101211000,140574000,143011000,141136000,169774000
9,Other Expenses,600000,700000,700000,1000000,1000000,1400000,2700000,3500000,3154000,3222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
