,https://roic.ai/company/QD,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,235007431,1442846339,4775366052,7692342304,8840043542,3687973887,1654043000
2,COGS,148416681,267862006,880845857,2735428296,901787168,862353992,298726000
3,Gross Profit,86590750,1174984333,3894520195,4956914008,7938256374,2825619895,1355317000
4,Gross Profit Ratio,0.3685,0.8144,0.8155,0.6444,0.8980,0.7662,0.8194
5,Research and Development Exp.,37529908,52275077,153257564,199560164,204780905,170690876,141264000
6,General and Administrative Exp.,42425953,108786166,183673832,255867298,286059239,285905509,443276000
7,Selling and Marketing Exp.,192602650,182457597,431749549,540550282,280615518,293282118,127376000
8,"Selling, General and Administrative Exp.",235028603,291243763,615423381,796417580,566674757,579187627,570652000
9,Other Expenses,45110717,118391283,704613447,1271568118,3318045629,1210143255,-63394000
10,Operating Expenses,317669228,461910123,1473294392,2267545862,4089501291,1960021758,648522000
11,COGS and Expenses,466085909,729772129,2354140249,5002974158,4991288459,2822375750,947248000
12,Interest Income ,2124373,3256345,21360670,35776919,44117299,649514265,- -
13,Interest Expense (Gain),- -,- -,- -,- -,23934289,27107232,- -
14,Depreciation and Amortization,681004,1503467,5790986,12065648,46203367,43950037,- -
15,EBITDA,-232482740,704996535,2425795809,2661112379,3960659427,1291855522,849556000
16,EBITDA ratio,-0.9893,0.4886,0.5080,0.3459,0.4480,0.3503,0.5136
17,Operating Income,-231078478,713074210,2421225803,2689368146,3848755083,865598137,706795000
18,Operating Income ratio,-0.9833,0.4942,0.5070,0.3496,0.4354,0.2347,0.4273
19,Total Other Income Expenses (Gains),-2085266,-9581142,-1220980,-40321415,41766688,355200116,139614000
20,Income Before Tax,-233163744,703493068,2420004823,2649046731,3890521771,1220798253,846409000
21,Income Before Tax Ratio,-0.9922,0.4876,0.5068,0.3444,0.4401,0.3310,0.5117
22,Income Tax expense (Gain),- -,126840450,255546003,157730518,626233846,261979592,260482000
23,Net Income,-233163744,576652618,2164458820,2491316213,3264287925,958818661,589074000
24,Net Income ratio,-0.9922,0.3997,0.4533,0.3239,0.3693,0.2600,0.3561
25,EPS,-0.71,1.75,17.12,7.82,11.72,3.78,2.32
26,EPS Diluted,-0.71,1.75,7.09,7.74,10.94,3.59,2.27
27,Weighted Average Shares Outstanding,329863070,329863070,126410744,318685836,278531382,253658448,253438807
28,Weighted Average Shares Outstanding Diluted,329863070,329863070,305241992,321955142,300457711,274333161,266292869
