,https://roic.ai/company/TEF,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4629058750,5471674156,6512580900,9116908619,- -,- -,10732676790,11150295279,12283610054,14182894908,17458895628,23024329453,29749900340,31946017840,29187480000,29032844633,31187835689,37852950230,52901158110,56441000000,57946000000,56731000000,60737000000,62837000000,62356000000,57061000000,50377000000,47219000000,52036000000,52008000000,48693000000,48422000000,43076000000,39277000000
2,COGS,443023750,2498007797,2242813650,2842977683,- -,- -,1681967796,1781236449,2789406799,3916541538,2935111518,4570364682,11966612860,7184032720,6953590000,6265654205,7553106258,18354455090,16629022430,17907000000,17818000000,16717000000,17606000000,18256000000,18074000000,17041000000,15182000000,12910000000,15242000000,15022000000,14013000000,13635000000,13014000000,12258000000
3,Gross Profit,4186035000,2973666359,4269767250,6273930936,- -,- -,9050708994,9369058830,9494203255,10266353370,14523784110,18453964771,17783287480,24761985120,22233890000,22767190429,23634729431,19498495140,36272135680,38534000000,40128000000,40014000000,43131000000,44581000000,44282000000,40020000000,35195000000,34309000000,36794000000,36986000000,34680000000,34787000000,30062000000,27019000000
4,Gross Profit Ratio,0.9043,0.5435,0.6556,0.6882,- -,- -,0.8433,0.8403,0.7729,0.7239,0.8319,0.8015,0.5978,0.7751,0.7618,0.7842,0.7578,0.5151,0.6857,0.6827,0.6925,0.7053,0.7101,0.7095,0.7101,0.7014,0.6986,0.7266,0.7071,0.7112,0.7122,0.7184,0.6979,0.6879
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10416060000,- -,- -,- -,16646449300,8831000000,7676000000,7843000000,9492000000,12113000000,9728000000,8155000000,8137000000,10804000000,9174000000,7931000000,7403000000,8189000000,5369000000,6813000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070766770,2198000000,1626000000,1123000000,1419000000,1457000000,1528000000,1290000000,1226000000,1166000000,1256000000,1211000000,1029000000,892000000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10416060000,- -,- -,- -,18717216070,11029000000,9302000000,8966000000,10911000000,13570000000,11256000000,9445000000,9363000000,11970000000,10430000000,9142000000,8432000000,9081000000,5369000000,6813000000
9,Other Expenses,3366689375,2031195170,2977744875,3905666947,- -,- -,6372004440,6871942992,6996295372,7275992724,10644692706,14733284577,12214697280,19330128090,6786080000,16450335582,16404823650,10945634840,8133044460,11379000000,11191000000,11236000000,11888000000,21765000000,22446000000,21247000000,19179000000,19701000000,20967000000,21188000000,19603000000,22065000000,19962000000,17646000000
10,Operating Expenses,3366689375,2031195170,2977744875,3905666947,- -,- -,6372004440,6871942992,6996295372,7275992724,10644692706,14733284577,12214697280,19330128090,17202140000,16450335582,16404823650,10945634840,26850260530,22408000000,20493000000,20202000000,22799000000,35335000000,33702000000,30692000000,28542000000,31671000000,31397000000,30330000000,28035000000,31146000000,25331000000,24459000000
11,COGS and Expenses,3809713125,4529202967,5220558525,6748644630,- -,- -,8053972236,8653179441,9785702171,11192534262,13579804224,19303649258,24181310140,26514160810,24155730000,22715989786,23957929907,29300089930,43479282960,40315000000,38311000000,36919000000,40405000000,53591000000,51776000000,47733000000,43724000000,44581000000,46639000000,45352000000,42048000000,44781000000,38345000000,36717000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703000000,827000000,814000000,792000000,827000000,963000000,933000000,992000000,2090000000,1770000000,1073000000,1458000000,842000000,677000000,614000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1589300000,- -,- -,- -,- -,3554000000,3648000000,3581000000,3329000000,3609000000,4025000000,3629000000,3511000000,4400000000,4476000000,3363000000,2690000000,2795000000,2417000000,2028000000
14,Depreciation and Amortization,1513678750,1692437983,1914426150,2273530441,- -,- -,2815864926,3212605272,3222236088,3616996383,4513982040,6321586637,6844148720,7686420490,6692420000,6706602885,6408002643,6713108810,9703735830,9436000000,9046000000,8956000000,9303000000,10146000000,10433000000,9627000000,8548000000,8517000000,9649000000,9396000000,9049000000,10582000000,9359000000,8397000000
15,EBITDA,2149187500,2408874471,2626224300,3267709718,- -,- -,3703003860,4318127697,4552219979,5199085710,6373207170,8308496823,9591177920,9449835280,-523730000,9818172216,10421036431,13123110330,17717822960,23461000000,23375000000,22763000000,26628000000,19459000000,19847000000,19160000000,15443000000,15675000000,17340000000,17110000000,16691000000,15573000000,13984000000,19940000000
16,EBITDA ratio,0.4643,0.4402,0.4033,0.3584,- -,- -,0.3450,0.3873,0.3706,0.3666,0.3650,0.3609,0.3224,0.2958,-0.0179,0.3382,0.3341,0.3467,0.3349,0.4157,0.4034,0.4012,0.4384,0.3097,0.3183,0.3358,0.3065,0.3320,0.3332,0.3290,0.3428,0.3216,0.3246,0.5077
17,Operating Income,819345625,942471189,1292022375,2368263989,- -,- -,2678704554,2497115838,2497907883,2990360646,3879091404,3720680195,5568590200,5431857030,5031750000,6316854847,7229905782,8552860300,9421875150,13388000000,13873000000,13647000000,16474000000,10064000000,10798000000,9450000000,6967000000,2897000000,5469000000,6791000000,6522000000,4537000000,4139000000,13586000000
18,Operating Income ratio,0.1770,0.1722,0.1984,0.2598,- -,- -,0.2496,0.2240,0.2034,0.2108,0.2222,0.1616,0.1872,0.1700,0.1724,0.2176,0.2318,0.2259,0.1781,0.2372,0.2394,0.2406,0.2712,0.1602,0.1732,0.1656,0.1383,0.0614,0.1051,0.1306,0.1339,0.0937,0.0961,0.3459
19,Total Other Income Expenses (Gains),-183836875,-226034701,-580224225,-1374084712,- -,- -,-1791565620,-1391593413,-1167923992,-1408271319,-2019866274,-1733770009,-2821561000,-3668442240,-19632810000,-2960224037,-2836143542,-1762074970,-2657976520,-2704000000,-2958000000,-3260000000,-2573000000,-3576000000,-4934000000,-3170000000,-3332000000,-2586000000,-2224000000,-2194000000,-951000000,-1819000000,-1556000000,-1491000000
20,Income Before Tax,635508750,716436488,711798150,994179277,- -,- -,887138934,1105522425,1329983891,1582089327,1859225130,1986910186,2747029200,1763414790,-14601060000,3356630810,4393762239,6790785330,6763898630,10684000000,10915000000,10387000000,13901000000,6488000000,5864000000,6280000000,3635000000,311000000,3245000000,4597000000,5571000000,2718000000,2583000000,12095000000
21,Income Before Tax Ratio,0.1373,0.1309,0.1093,0.1090,- -,- -,0.0827,0.0991,0.1083,0.1115,0.1065,0.0863,0.0923,0.0552,-0.5003,0.1156,0.1409,0.1794,0.1279,0.1893,0.1884,0.1831,0.2289,0.1033,0.0940,0.1101,0.0722,0.0066,0.0624,0.0884,0.1144,0.0561,0.0600,0.3079
22,Income Tax expense (Gain),160546875,186101623,132887475,187748743,- -,- -,189512904,252144903,348545286,441363195,552012084,176917477,241695980,-343916460,-3228650000,911835467,1137869187,1967242300,1781329190,1565000000,3089000000,2450000000,3829000000,301000000,1461000000,1311000000,383000000,13000000,846000000,1219000000,1621000000,1054000000,626000000,1378000000
23,Net Income,474961875,530334865,578910675,806430534,- -,- -,697626030,853377522,981438605,1140726132,1307213046,1809992708,2505333220,2107331250,-5576800000,2199733864,2875164601,4442759220,6232757940,8906000000,7592000000,7776000000,10167000000,5403000000,3928000000,4593000000,3001000000,2745000000,2369000000,3132000000,3331000000,1142000000,1582000000,8137000000
24,Net Income ratio,0.1026,0.0969,0.0889,0.0885,- -,- -,0.0650,0.0765,0.0799,0.0804,0.0749,0.0786,0.0842,0.0660,-0.1911,0.0758,0.0922,0.1174,0.1178,0.1578,0.1310,0.1371,0.1674,0.0860,0.0630,0.0805,0.0596,0.0581,0.0455,0.0602,0.0684,0.0236,0.0367,0.2072
25,EPS,0.14,0.16,0.17,0.24,- -,- -,0.20,0.25,0.28,0.30,0.35,0.47,0.47,0.42,-1.04,0.34,0.58,0.91,1.30,1.87,1.63,1.71,2.25,1.20,0.87,1.01,0.61,0.51,0.42,0.56,0.57,0.17,0.24,1.49
26,EPS Diluted,0.14,0.16,0.17,0.24,- -,- -,0.20,0.25,0.28,0.30,0.35,0.47,0.47,0.42,-1.04,0.34,0.58,0.91,1.30,1.87,1.63,1.71,2.25,1.20,0.87,1.01,0.61,0.51,0.42,0.56,0.57,0.17,0.24,1.49
27,Weighted Average Shares Outstanding,3357382368,3341170976,3421077598,3354861970,- -,- -,3472292687,3431783041,3447111714,3764369885,3698708793,3819999026,4891943928,5059371921,5357403133,6548078727,4970241040,4886111446,4783884833,4758707000,4801226994,4547368421,4522228000,4511165000,4495914000,4551024586,4606000000,4928000000,5061000000,5110188000,5126575000,5119000000,5471000000,5471000000
28,Weighted Average Shares Outstanding Diluted,3357382368,3341170976,3421077598,3354861970,- -,- -,3472292687,3431783041,3447111714,3764369885,3698708793,3819999026,4891943928,5059371921,5357403133,6548078727,5151663201,4890699000,4798605569,4758707000,4801226994,4547368421,4528245000,4511165000,4595215000,4551024586,4606000000,4928000000,5061000000,5110188000,5127238000,5119000000,5471000000,5471000000
29,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814052/000119312503014800/0001193125-03-014800-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000119312504116233/0001193125-04-116233-index.htm,- -,https://www.sec.gov/Archives/edgar/data/814052/000095010306001082/0000950103-06-001082-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095012307007683/0000950123-07-007683-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010308001328/0000950103-08-001328-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010309000984/0000950103-09-000984-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010310000881/0000950103-10-000881-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010311001602/0000950103-11-001602-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010312001609/0000950103-12-001609-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010313001873/0000950103-13-001873-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010314002020/0000950103-14-002020-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010315001606/0000950103-15-001606-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010316011426/0000950103-16-011426-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000095010317001636/0000950103-17-001636-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405218000019/0000814052-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405219000029/0000814052-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/814052/000081405220000023/0000814052-20-000023-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15412500,7245242,19557300,51924145,- -,- -,111147198,513648726,296882165,62636301,142991082,186645687,765548060,622646140,543910000,335832606,854388353,2211247890,3792238450,5065000000,4277000000,9113000000,4220000000,4135000000,9847000000,9977000000,6529000000,2599000000,3736000000,5192000000,5692000000,6042000000,5604000000,8580000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392053068,773361415,6091377540,2307387230,3366230000,133227118,689670310,352921580,1679798730,1622000000,2216000000,1906000000,1574000000,2625000000,1872000000,2117000000,2932000000,2971000000,2954000000,2154000000,2209000000,3123000000,2495000000,3835000000
33,Cash and Short-Term Investments,15412500,7245242,19557300,51924145,- -,- -,111147198,513648726,296882165,62636301,535044150,960007103,6856925600,2930033370,3910140000,469059724,1544058663,2564169470,5472037180,6687000000,6493000000,11019000000,5794000000,6760000000,11719000000,12094000000,9461000000,5570000000,6690000000,7346000000,7901000000,9165000000,8099000000,12415000000
