,https://roic.ai/company/MBT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9782337850,15306625763,27217209293,43480882698,74888189950,107672960005,144011746522,168033692965,202741204277,302738982480,296023596982,345464606534,394059307573,377753788169,398443000000,410758000000,431232000000,435692000000,442911000000,480293000000,476106000000,494926000000,534403000000
2,COGS,2486623233,6644589694,9692223227,16467200197,13946443687,19381910640,28379006296,37715930660,46333161241,71436762492,70935490595,91421551728,113116215221,147372262622,106413000000,114682000000,167172000000,175732000000,169402000000,176270000000,178884000000,185425000000,205756000000
3,Gross Profit,7295714617,8662036068,17524986065,27013682500,60941746264,88291049365,115632740226,130317762306,156408043035,231302219988,225088106387,254043054806,280943092352,230381525547,292030000000,296076000000,264060000000,259960000000,273509000000,304023000000,297222000000,309501000000,328647000000
4,Gross Profit Ratio,0.7458,0.5659,0.6439,0.6213,0.8138,0.8200,0.8029,0.7755,0.7715,0.7640,0.7604,0.7354,0.7129,0.6099,0.7329,0.7208,0.6123,0.5967,0.6175,0.6330,0.6243,0.6253,0.6150
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,44091837016,59309724681,69575448158,77932631802,22819167141,85458000000,77826000000,57872000000,60617000000,62337000000,63883000000,67981000000,66201000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,26077299493,22778426458,26019704794,28093215220,21619167169,22861000000,21908000000,22100000000,20531000000,19592000000,17201000000,17516000000,17682000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,70169136509,82088151140,95595152952,106025847023,44438334310,108319000000,99734000000,79972000000,81148000000,81929000000,81084000000,85497000000,83883000000,96239000000
9,Other Expenses,4139503549,4689117051,7339362614,12186311827,33806506085,47750136737,68729768676,74157788111,89243980707,66472842092,63969330430,70884900821,84456287483,105276759362,81953000000,93636000000,96170000000,94258000000,94915000000,111450000000,94512000000,103838000000,119704000000
10,Operating Expenses,4139503549,4689117051,7339362614,12186311827,33806506085,47750136737,68729768676,74157788111,89243980707,136641978601,146057481570,166480053773,190482134506,149715093672,190272000000,193370000000,176142000000,175406000000,176844000000,192534000000,180009000000,187721000000,215943000000
11,COGS and Expenses,6626126781,11333706746,17031585841,28653512024,47752949772,67132047378,97108774973,111873718770,135577141949,208078741093,216992972165,257901605501,303598349727,297087356294,296685000000,308052000000,343314000000,351138000000,346246000000,368804000000,358893000000,373146000000,421699000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,980024787,3270845616,2581707398,2001183586,2562545505,2793000000,4519000000,7915000000,4787000000,5148000000,5539000000,3413000000,2299000000,2518000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,4531085476,17228237518,23777520245,21013339329,17259537867,15498000000,16453000000,25286000000,23543000000,22869000000,39293000000,43084000000,40163000000,41352000000
