,https://roic.ai/company/SAIL,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,95356000,132412000,186056000,248920000,288515000,365254000,- -
2,COGS,29259000,37038000,44590000,54670000,65475000,85747000,- -
3,Gross Profit,66097000,95374000,141466000,194250000,223040000,279507000,- -
4,Gross Profit Ratio,0.6932,0.7203,0.7603,0.7804,0.7731,0.7652,- -
5,Research and Development Exp.,19965000,24358000,33331000,43154000,56120000,71191000,- -
6,General and Administrative Exp.,7474000,9680000,17678000,34781000,39816000,37783000,- -
7,Selling and Marketing Exp.,46831000,58607000,80514000,105402000,136537000,169656000,- -
8,"Selling, General and Administrative Exp.",54305000,68287000,98192000,140183000,176353000,207439000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,74270000,92645000,131523000,183337000,232473000,278630000,- -
11,COGS and Expenses,103529000,129683000,176113000,238007000,297948000,364377000,- -
12,Interest Income ,- -,- -,- -,- -,- -,2019000,775000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,18612000,- -
14,Depreciation and Amortization,9620000,9982000,10220000,10736000,14992000,18290000,- -
15,EBITDA,-3801000,4824000,4921000,15496000,1904000,31059000,-36392000
16,EBITDA ratio,-0.0399,0.0364,0.0264,0.0623,0.0066,0.0850,-Infinity
17,Operating Income,-8173000,2729000,9943000,10913000,-9433000,877000,-59076000
18,Operating Income ratio,-0.0857,0.0206,0.0534,0.0438,-0.0327,0.0024,-Infinity
19,Total Other Income Expenses (Gains),-5248000,-7887000,-15242000,-6153000,-3655000,-16560000,-2372000
20,Income Before Tax,-13421000,-5158000,-5299000,4760000,-13088000,-15683000,-61448000
21,Income Before Tax Ratio,-0.1407,-0.0390,-0.0285,0.0191,-0.0454,-0.0429,-Infinity
22,Income Tax expense (Gain),-2614000,-1985000,2293000,1090000,-4588000,4920000,- -
23,Net Income,-10807000,-3173000,-7592000,3670000,-8500000,-10763000,- -
24,Net Income ratio,-0.1133,-0.0240,-0.0408,0.0147,-0.0295,-0.0295,- -
25,EPS,-0.45,-0.05,-0.55,0.04,-0.10,-0.12,-0.66
26,EPS Diluted,-0.45,-0.05,-0.55,0.04,-0.10,-0.12,-0.66
27,Weighted Average Shares Outstanding,72244789,68888451,52339804,86495301,88907000,90512000,93032000
28,Weighted Average Shares Outstanding Diluted,72244789,68888451,52339804,90002752,88907000,90512000,93032000
