,https://roic.ai/company/HRI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1608300000,1735600000,1770400000,1678200000,1554800000,1754500000,1976700000,1999000000,1781300000,2073000000
2,COGS,- -,1260600000,1322000000,1269700000,1198900000,1332000000,1458400000,1456700000,1317200000,113000000
3,Gross Profit,678800000,475000000,448400000,408500000,355900000,422500000,518300000,542300000,464100000,1960000000
4,Gross Profit Ratio,0.4221,0.2737,0.2533,0.2434,0.2289,0.2408,0.2622,0.2713,0.2605,0.9455
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,270500000,275000000,320600000,312600000,294800000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,270500000,275000000,320600000,312600000,294800000,- -,310000000
9,Other Expenses,502400000,204300000,251400000,- -,- -,- -,- -,- -,257400000,- -
10,Operating Expenses,502400000,204300000,251400000,270500000,275000000,320600000,312600000,294800000,257400000,310000000
11,COGS and Expenses,1431900000,1464900000,1573400000,1540200000,1473900000,1652600000,1771000000,1751500000,1574600000,423000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,72900000,41400000,32900000,84200000,140000000,137000000,173500000,92600000,86000000
14,Depreciation and Amortization,361300000,394200000,415100000,420900000,395300000,430400000,444800000,470100000,466400000,432000000
15,EBITDA,422700000,620200000,601000000,610700000,474600000,506000000,650600000,707200000,653100000,676000000
16,EBITDA ratio,0.2628,0.3573,0.3395,0.3639,0.3052,0.2884,0.3291,0.3538,0.3666,0.3261
17,Operating Income,176400000,270700000,197000000,138000000,80900000,101900000,205700000,247500000,206700000,1650000000
18,Operating Income ratio,0.1097,0.1560,0.1113,0.0822,0.0520,0.0581,0.1041,0.1238,0.1160,0.7959
19,Total Other Income Expenses (Gains),-87800000,-117600000,-52500000,18900000,-85800000,-166300000,-136900000,-183900000,-112600000,-1360000000
20,Income Before Tax,88600000,153100000,144500000,156900000,-4900000,-64400000,68800000,63600000,94100000,290000000
21,Income Before Tax Ratio,0.0551,0.0882,0.0816,0.0935,-0.0032,-0.0367,0.0348,0.0318,0.0528,0.1399
22,Income Tax expense (Gain),- -,55000000,54800000,45600000,14800000,-224700000,-300000,16100000,20400000,-66000000
23,Net Income,61400000,98100000,89700000,111300000,-19700000,160300000,69100000,47500000,73700000,224000000
24,Net Income ratio,0.0382,0.0565,0.0507,0.0663,-0.0127,0.0914,0.0350,0.0238,0.0414,0.1081
25,EPS,2.17,3.47,3.17,3.93,-0.72,5.66,2.43,1.66,2.53,7.57
26,EPS Diluted,2.17,3.47,3.17,3.93,-0.72,5.60,2.39,1.63,2.51,7.34
27,Weighted Average Shares Outstanding,28300000,28306528,28306528,28306528,28300000,28300000,28400000,28700000,29100000,29600000
28,Weighted Average Shares Outstanding Diluted,28300000,28306528,28306528,28306528,28300000,28600000,28900000,29100000,29400000,30500000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1364479/000144530513000446/0001445305-13-000446-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447914000008/0001364479-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447915000013/0001364479-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447916000045/0001364479-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447917000008/0001364479-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447918000005/0001364479-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447919000004/0001364479-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447920000005/0001364479-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447921000008/0001364479-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1364479/000136447922000006/0001364479-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15400000,18900000,15700000,11600000,41500000,27800000,33000000,33000000,35000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15400000,18900000,15700000,11600000,41500000,27800000,33000000,33000000,35000000
34,Net Receivables,- -,831500000,374100000,296500000,300700000,386300000,332400000,306700000,301200000,388000000
35,Inventory,- -,39200000,29300000,22300000,24100000,23700000,17900000,- -,- -,- -
36,Other Current Assets,- -,103900000,59100000,36800000,35300000,23000000,22300000,60000000,32900000,46000000
37,Total Current Assets,- -,990000000,481400000,371300000,371700000,474500000,400400000,399700000,367100000,469000000
38,PP&E,- -,2673100000,2693400000,2629100000,2662000000,2660900000,2787200000,3009100000,2806700000,721000000
39,Goodwill,- -,95500000,95100000,91000000,91000000,91000000,91000000,93600000,100500000,231000000
40,Intangible Assets,- -,361300000,329400000,300500000,303900000,283900000,293500000,291500000,295900000,388000000
41,Intangible Assets,- -,456800000,424500000,391500000,394900000,374900000,384500000,385100000,396400000,620000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1300000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,12200000,12000000,14900000,34700000,38100000,38100000,23100000,18200000,2680000000
45,Total Non-Current Assets,- -,3142100000,3129900000,3035500000,3091600000,3075200000,3209800000,3417300000,3221300000,4021000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4132100000,3611300000,3406800000,3463300000,3549700000,3610200000,3817000000,3588400000,4490000000
48,Accounts Payable,- -,246200000,173300000,109500000,139000000,152000000,147000000,126500000,125800000,280000000
49,Short-Term Debt,- -,810300000,482900000,83400000,15700000,25400000,29900000,60900000,47900000,38000000
50,Tax Payable,- -,41800000,40400000,41600000,10000000,21900000,21200000,16000000,29100000,- -
