,https://roic.ai/company/EVTC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,321122000,341684000,357240000,361129000,373528000,389507000,407144000,453869000,487374000,510588000,589796000
2,COGS,155377000,158860000,162303000,156517000,167916000,175809000,200650000,196957000,213379000,226870000,250164000
3,Gross Profit,165745000,182824000,194937000,204612000,205612000,213698000,206494000,256912000,273995000,283718000,339632000
4,Gross Profit Ratio,0.5161,0.5351,0.5457,0.5666,0.5505,0.5486,0.5072,0.5660,0.5622,0.5557,0.5758
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,38810000,41276000,37278000,46986000,56161000,68717000,61411000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,38810000,41276000,37278000,46986000,56161000,68717000,61411000,- -,68048000
9,Other Expenses,103230000,103178000,70366000,65988000,64974000,59567000,64250000,63067000,68082000,142326000,75070000
10,Operating Expenses,103230000,103178000,109176000,107264000,102252000,106553000,120411000,131784000,129493000,142326000,143118000
11,COGS and Expenses,258607000,262038000,271479000,263781000,270168000,282362000,321061000,328741000,342872000,369196000,393282000
12,Interest Income ,797000,320000,236000,328000,495000,377000,716000,787000,1217000,1502000,1889000
13,Interest Expense (Gain),50957000,54331000,37861000,26081000,24266000,24617000,29861000,30044000,28811000,25074000,22810000
14,Depreciation and Amortization,69891000,71492000,70366000,65988000,64974000,59567000,64250000,63067000,74243000,77395000,80930000
15,EBITDA,115835000,143531000,81616000,167179000,171282000,167491000,153945000,191977000,219498000,225907000,285432000
16,EBITDA ratio,0.3607,0.4201,0.2285,0.4629,0.4586,0.4300,0.3781,0.4230,0.4504,0.4424,0.4840
17,Operating Income,62515000,79646000,85761000,97348000,103360000,107145000,86083000,125128000,144502000,141392000,196514000
18,Operating Income ratio,0.1947,0.2331,0.2401,0.2696,0.2767,0.2751,0.2114,0.2757,0.2965,0.2769,0.3332
19,Total Other Income Expenses (Gains),-67528000,-61938000,-112372000,-22238000,-21318000,-23748000,-25884000,-25963000,-27827000,-17539000,-14809000
20,Income Before Tax,-5013000,17708000,-26611000,75110000,82042000,83397000,60199000,99165000,116675000,123853000,181705000
21,Income Before Tax Ratio,-0.0156,0.0518,-0.0745,0.2080,0.2196,0.2141,0.1479,0.2185,0.2394,0.2426,0.3081
22,Income Tax expense (Gain),-29227000,-59658000,-1990000,7578000,-3335000,8271000,4780000,12596000,12975000,19002000,20562000
23,Net Income,24214000,77366000,-24621000,67532000,85377000,75036000,55054000,86270000,103469000,104436000,161130000
24,Net Income ratio,0.0754,0.2264,-0.0689,0.1870,0.2286,0.1926,0.1352,0.1901,0.2123,0.2045,0.2732
25,EPS,0.33,0.98,-0.31,0.86,0.97,1.01,0.76,1.19,1.44,1.45,2.24
26,EPS Diluted,0.31,0.94,-0.31,0.86,0.97,1.01,0.76,1.16,1.41,1.43,2.21
27,Weighted Average Shares Outstanding,72736107,79096144,78914310,78337152,77066459,74132863,72479807,72607321,72099755,71943965,72053795
28,Weighted Average Shares Outstanding Diluted,76879263,82304255,78914310,78891139,77181123,74473369,72872188,74420110,73475763,73051205,72870585
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1559865/000119312514102676/d634177d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312515073450/d827106d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312516604225/d55579d10k.htm,https://www.sec.gov/Archives/edgar/data/1559865/000119312517056193/0001193125-17-056193-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986518000005/0001559865-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986519000018/0001559865-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986520000006/0001559865-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1559865/000155986521000009/0001559865-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1559865/000155986522000007/0001559865-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,56200000,25634000,22485000,32114000,28747000,51920000,50423000,69973000,111030000,202649000,266351000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,56200000,25634000,22485000,32114000,28747000,51920000,50423000,69973000,111030000,202649000,266351000
34,Net Receivables,63473000,80825000,69293000,76912000,74466000,79161000,84879000,102033000,108940000,100778000,117367000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,32565000,23514000,24635000,25580000,31510000,27184000,33404000,44187000,56048000,55619000,52632000
37,Total Current Assets,152238000,129973000,116413000,134606000,134723000,158265000,168706000,216193000,276018000,359046000,436350000
38,PP&E,36685000,36737000,33240000,29535000,34128000,38930000,37924000,36763000,73770000,71076000,69762000
39,Goodwill,371712000,372307000,373119000,368837000,368133000,370986000,398575000,394644000,399487000,397670000,393318000
40,Intangible Assets,448914000,403170000,367780000,334584000,312059000,299119000,279961000,259269000,241937000,219909000,213288000
41,Intangible Assets,820626000,775477000,740899000,703421000,680192000,670105000,678536000,653913000,641424000,617579000,606606000
42,Investments,12267000,11080000,10639000,11756000,12264000,12252000,13073000,12149000,12288000,12835000,15095000
43,Tax Assets,2150000,- -,- -,- -,- -,805000,- -,1917000,2131000,5730000,6910000
44,Other Non-Current Assets,22894000,24478000,18162000,10917000,8795000,5305000,4549000,6357000,6045000,6313000,10033000
45,Total Non-Current Assets,894622000,847772000,802940000,755629000,735379000,727397000,734082000,711099000,735658000,713533000,708406000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1046860000,977745000,919353000,890235000,870102000,885662000,902788000,927292000,1011676000,1072579000,1144756000
48,Accounts Payable,21786000,24482000,18630000,22879000,21216000,40845000,41135000,47272000,39165000,43348000,28484000
49,Short-Term Debt,- -,33047000,70200000,42000000,39750000,47789000,58487000,14250000,20023000,20080000,25330000
50,Tax Payable,3383000,2959000,259000,1956000,1350000,1755000,1406000,6650000,6298000,6573000,7132000
51,Deferred Revenue,900000,1166000,5595000,9825000,2877000,4531000,7737000,11527000,20668000,24958000,17398000
52,Other Current Liabilities,42285000,38200000,27373000,29807000,38658000,35998000,39857000,63656000,64458000,64606000,81672000
53,Total Current Liabilities,64971000,96895000,121798000,104511000,102501000,129163000,147216000,136705000,144314000,152992000,152884000
