,https://roic.ai/company/GMRE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,380405,2061667,8210330,30344000,53192000,70726000,93730000,115936000
2,COGS,- -,- -,- -,- -,- -,- -,1860000,3720000,5958000,10867000,15488000
3,Gross Profit,- -,- -,- -,380405,- -,- -,28484000,49472000,64768000,82863000,100448000
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,- -,0.9387,0.9301,0.9158,0.8841,0.8664
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,45338,604866,865141,5725716,8612000,9959000,12802000,15959000,16453000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,45338,604866,865141,5725716,8612000,9959000,12802000,15959000,16453000
9,Other Expenses,- -,50108,- -,129081,659671,2376986,10001000,17269000,24635000,-5092000,46875000
10,Operating Expenses,- -,50108,45338,733947,1524812,8102702,18613000,27228000,37437000,10867000,63328000
11,COGS and Expenses,- -,50108,45338,733947,1524812,8102702,20473000,30948000,43395000,63179000,78816000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,298664,1519102,4138608,7435000,14975000,17472000,18680000,19696000
14,Depreciation and Amortization,- -,- -,- -,129081,659671,2376986,10001000,17269000,24635000,36314000,46875000
15,EBITDA,- -,-50108,-45338,-224461,569526,162144,17398000,45734000,51341000,53069000,84193000
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.5901,0.2762,0.0197,0.5734,0.8598,0.7259,0.5662,0.7262
17,Operating Income,- -,-50108,-45338,-652206,536855,-2214842,7348000,22244000,27331000,30551000,18342000
18,Operating Income ratio,- -,-Infinity,-Infinity,-1.7145,0.2604,-0.2698,0.2422,0.4182,0.3864,0.3259,0.1582
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-2146102,-4138608,-7435000,-7683000,-17743000,-33050000,- -
20,Income Before Tax,- -,- -,-45338,-652206,-1609247,-6353450,-87000,14561000,9588000,-2499000,18342000
21,Income Before Tax Ratio,- -,- -,-Infinity,-1.7145,-0.7806,-0.7738,-0.0029,0.2737,0.1356,-0.0267,0.1582
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-50108,-45338,-652206,-1609247,-6353450,-38000,13490000,9234000,-1925000,17622000
24,Net Income ratio,- -,-Infinity,-Infinity,-1.7145,-0.7806,-0.7738,-0.0013,0.2536,0.1306,-0.0205,0.1520
25,EPS,- -,-4.00,-4.00,-13.49,-6.44,-0.68,-0.09,0.35,0.10,-0.17,0.19
26,EPS Diluted,- -,-4.00,-4.00,-13.49,-6.44,-0.68,-0.09,0.35,0.10,-0.17,0.19
27,Weighted Average Shares Outstanding,- -,13750,19571,48356,250000,9302244,19617000,21971000,33865000,46256000,60640000
28,Weighted Average Shares Outstanding Diluted,- -,13750,19571,48356,250000,9302244,19617000,21971000,33865000,46256000,60640000
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1533615/000107878212003029/0001078782-12-003029-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000107878213002376/0001078782-13-002376-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000107878214002308/f10k083114_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1533615/000114420417016702/0001144204-17-016702-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000114420418014101/0001144204-18-014101-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000114420419013170/0001144204-19-013170-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000110465920030832/0001104659-20-030832-index.html,https://www.sec.gov/Archives/edgar/data/1533615/000155837021002560/0001558370-21-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1533615/000155837022002518/0001558370-22-002518-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,47421,12313,3519,162985,9184270,19671131,5109000,3631000,2765000,5507000,7213000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,47421,12313,3519,162985,9184270,19671131,5109000,3631000,2765000,5507000,7213000
34,Net Receivables,- -,- -,- -,- -,- -,212435,704000,2905000,5007000,5699000,6233000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7500,- -,- -,34247,901937,2153521,3786000,3147000,8130000,10063000,11503000
37,Total Current Assets,54921,12313,3519,197232,10086207,22037087,9599000,9683000,15902000,21269000,24949000
38,PP&E,- -,- -,- -,21737984,- -,196365771,316000,139000,3077000,3598000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5903000,5903000
40,Intangible Assets,- -,- -,- -,- -,- -,7144276,29309000,36288000,59119000,73684000,127931000
41,Intangible Assets,- -,- -,- -,- -,- -,7144276,29309000,36288000,59119000,79587000,133834000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,309543,55242518,1771996,435347000,589989000,806836000,996452000,1104702000
45,Total Non-Current Assets,- -,- -,- -,22047527,55242518,205282043,464972000,626416000,869032000,1079637000,1238536000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
