,https://roic.ai/company/MVST,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,107518000,151976000
2,COGS,- -,- -,90378000,194719000
3,Gross Profit,- -,- -,17140000,-42743000
4,Gross Profit Ratio,- -,- -,0.1594,-0.2812
5,Research and Development Exp.,- -,- -,-16637000,-34385000
6,General and Administrative Exp.,- -,778815,921665,101632000
7,Selling and Marketing Exp.,- -,- -,-13761000,-21431000
8,"Selling, General and Administrative Exp.",- -,778815,-12839335,80201000
9,Other Expenses,- -,- -,17927335,- -
10,Operating Expenses,- -,778815,-11549000,45816000
11,COGS and Expenses,- -,778815,921665,240535000
12,Interest Income ,- -,- -,- -,446000
13,Interest Expense (Gain),- -,- -,- -,5411000
14,Depreciation and Amortization,- -,- -,16792000,20713
15,EBITDA,- -,-907714,18534225,-201051287
16,EBITDA ratio,- -,-Infinity,0.1724,-1.3229
17,Operating Income,- -,-778815,-921665,-194064000
18,Operating Income ratio,- -,-Infinity,-0.0086,-1.2769
19,Total Other Income Expenses (Gains),- -,5041245,2663890,-12419000
20,Income Before Tax,- -,4262430,1742225,-206483000
21,Income Before Tax Ratio,- -,Infinity,0.0162,-1.3587
22,Income Tax expense (Gain),- -,895251,366764,27620000
23,Net Income,- -,3367179,1375461,-234103000
24,Net Income ratio,- -,Infinity,0.0128,-1.5404
25,EPS,- -,-0.07,0.17,-29.53
26,EPS Diluted,- -,-0.07,0.17,-29.53
27,Weighted Average Shares Outstanding,7927608,7927608,7927608,7927608
28,Weighted Average Shares Outstanding Diluted,7927608,7927608,7927608,7927608
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1760689/000121390020006365/0001213900-20-006365-index.html,https://www.sec.gov/Archives/edgar/data/1760689/000121390021030047/0001213900-21-030047-index.htm,https://www.sec.gov/Archives/edgar/data/1760689/000121390022015871/0001213900-22-015871-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,17500,140303,135961,480931000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,17500,140303,135961,480931000
34,Net Receivables,- -,- -,76298000,88717000
35,Inventory,- -,- -,44968000,53424000
36,Other Current Assets,- -,256065,-121243501,83534000
37,Total Current Assets,17500,396368,158460,706606000
38,PP&E,- -,- -,198017000,253057000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2279000,1882000
41,Intangible Assets,- -,- -,2279000,1882000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,32500,280103245,81958978,33746000
