,https://roic.ai/company/VNCE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,586574000,175255000,707995000,288200000,340396000,302457000,268199000,272582000,361679000,375187000,219870000
2,COGS,430801000,89545000,507905000,155200000,173567000,169941000,145380000,150793000,192273000,196757000,131273000
3,Gross Profit,155773000,85710000,200090000,133000000,166829000,132516000,122819000,121789000,169406000,178430000,88597000
4,Gross Profit Ratio,0.2656,0.4891,0.2826,0.4615,0.4901,0.4381,0.4579,0.4468,0.4684,0.4756,0.4030
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,73900000,96579000,113490000,131750000,134396000,159829000,176915000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,73900000,96579000,113490000,131750000,134396000,159829000,176915000,- -
9,Other Expenses,141521000,42793000,179654000,9700000,- -,3300000,55741000,5710000,4220000,21905000,122803000
10,Operating Expenses,141521000,42793000,179654000,83600000,96579000,116790000,187491000,140106000,164049000,198820000,122803000
11,COGS and Expenses,572322000,132338000,687559000,238800000,270146000,286731000,332871000,290899000,356322000,395577000,254076000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),103074000,81364000,122383000,18011000,9698000,5680000,3932000,5540000,5882000,4958000,5007000
14,Depreciation and Amortization,10293000,1701000,8390000,2785000,5267000,8350000,8684000,10098000,8138000,9602000,6898000
15,EBITDA,12396000,-61804000,23772000,664000,74682000,22343000,-56317000,73663000,12116000,45054000,-51878000
16,EBITDA ratio,0.0211,-0.3527,0.0336,0.0023,0.2194,0.0739,-0.2100,0.2702,0.0335,0.1201,-0.2359
17,Operating Income,4085000,42917000,20158000,49353000,70250000,15726000,-64672000,-18317000,4139000,-20390000,-61080000
18,Operating Income ratio,0.0070,0.2449,0.0285,0.1712,0.2064,0.0520,-0.2411,-0.0672,0.0114,-0.0543,-0.2778
19,Total Other Income Expenses (Gains),-88665000,-81842000,-125106000,-18653000,-10533000,-7413000,-4261000,76342000,-5941000,50884000,-2703000
