,https://roic.ai/company/DREM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,400,107,568312,2939634,2574953,3103011,3166165
2,COGS,- -,- -,- -,- -,- -,- -,- -,415028,1969821,1506629,2090966,2381062
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,153284,969813,1068324,1012045,785103
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.2697,0.3299,0.4149,0.3261,0.2480
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,680000,130000,80000,- -,110000,- -,40000,104618,66864,- -,990210,974077
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,880355,- -,- -,- -
8,"Selling, General and Administrative Exp.",680000,130000,80000,- -,110000,16469,75841,104618,947219,922462,990210,974077
9,Other Expenses,- -,- -,- -,110000,40000,32800,31800,51334,2656,4913,6230,8445
10,Operating Expenses,680000,130000,80000,110000,150000,49269,107641,155952,949875,927375,996440,982522
11,COGS and Expenses,680000,130000,80000,110000,150000,49269,107641,570980,2919696,2434004,3087406,3363584
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,956,6916,7500,- -,- -,8301,6317
14,Depreciation and Amortization,- -,- -,- -,- -,- -,32800,31800,51334,2656,4913,6230,8445
15,EBITDA,-680000,-130000,-80000,-110000,-140000,83581,-121568,47058,22594,145862,31835,-188974
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,208.9525,-1136.1495,0.0828,0.0077,0.0566,0.0103,-0.0597
17,Operating Income,-680000,-130000,-80000,-110000,-140000,48869,-107534,-2668,19938,140949,15605,-197419
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,122.1725,-1004.9907,-0.0047,0.0068,0.0547,0.0050,-0.0624
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-956,-52750,-9108,- -,- -,1699,-6317
