,https://roic.ai/company/NTLA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,6044000,16479000,26117000,30434000,43103000,57994000,33053000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,11170000,31840000,67647000,89115000,108413000,150408000,229807000
6,General and Administrative Exp.,- -,8283000,16798000,28025000,32189000,41058000,44169000,71096000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,8283000,16798000,28025000,32189000,41058000,44169000,71096000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,19453000,48638000,95672000,121304000,149471000,194577000,300903000
11,COGS and Expenses,- -,19453000,48638000,95672000,121304000,149471000,194577000,300903000
12,Interest Income ,- -,- -,525000,2012000,5527000,6835000,2352000,1283000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,328000,1104000,2994000,4464000,5587000,6311000,6891000
15,EBITDA,- -,-13081000,-30530000,-64549000,-80879000,-93946000,-127920000,-261001000
16,EBITDA ratio,- -,-2.1643,-1.8527,-2.4715,-2.6575,-2.1796,-2.2057,-7.8964
17,Operating Income,- -,-13409000,-32159000,-69555000,-90870000,-106368000,-136583000,-267850000
18,Operating Income ratio,- -,-2.2186,-1.9515,-2.6632,-2.9858,-2.4678,-2.3551,-8.1037
19,Total Other Income Expenses (Gains),- -,- -,525000,2012000,5527000,6835000,2352000,-42000
20,Income Before Tax,- -,-13409000,-31634000,-67543000,-85343000,-99533000,-134231000,-267892000
21,Income Before Tax Ratio,- -,-2.2186,-1.9197,-2.5862,-2.8042,-2.3092,-2.3146,-8.1049
22,Income Tax expense (Gain),- -,-1012000,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-12397000,-31634000,-67543000,-85343000,-99533000,-134231000,-267892000
24,Net Income ratio,- -,-2.0511,-1.9197,-2.5862,-2.8042,-2.3092,-2.3146,-8.1049
25,EPS,- -,-0.70,-1.42,-1.88,-1.98,-2.11,-2.40,-3.78
26,EPS Diluted,- -,-0.70,-1.42,-1.88,-1.98,-2.11,-2.40,-3.78
27,Weighted Average Shares Outstanding,- -,17664000,22222000,36006000,43069000,47247000,55987000,70894000
28,Weighted Average Shares Outstanding Diluted,- -,17664000,22222000,36006000,43069000,47247000,55987000,70894000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1652130/000119312517082186/0001193125-17-082186-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459018005544/0001564590-18-005544-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459019004680/0001564590-19-004680-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459020007409/0001564590-20-007409-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459021009011/0001564590-21-009011-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000095017022001981/0000950170-22-001981-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,9845000,75816000,273064000,340678000,58856000,57226000,160020000,123406000
32,Short-Term Investments,- -,- -,- -,- -,255203000,222500000,437351000,625282000
33,Cash and Short-Term Investments,9845000,75816000,273064000,340678000,314059000,279726000,597371000,748688000
34,Net Receivables,- -,1000000,6454000,10471000,7547000,4620000,2130000,2031000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,285000,810000,1788000,3681000,3371000,5135000,17016000,18584000
37,Total Current Assets,10130000,77626000,281306000,354830000,324977000,289481000,616517000,769303000
38,PP&E,308000,2708000,10628000,15272000,17061000,37133000,55057000,100111000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,4746000,- -,425050000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,256000,1805000,7035000,6133000,5277000,2920000,4748000,- -
45,Total Non-Current Assets,564000,4513000,17663000,21405000,22338000,44799000,59805000,525161000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10694000,82139000,298969000,376235000,347315000,334280000,676322000,1294464000
48,Accounts Payable,199000,1360000,4652000,2172000,2708000,3941000,10460000,9653000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,5696000,9112000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,6547000,20178000,21188000,27122000,12674000,22544000,63759000
52,Other Current Liabilities,2156000,2788000,5900000,7999000,10742000,19018000,25554000,43309000
53,Total Current Liabilities,2355000,10695000,30730000,31359000,40572000,35633000,64254000,125833000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,64911000
55,Deferred Revenue,- -,3765000,58109000,44111000,28810000,16136000,51387000,63476000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,773000,323000,293000,168000,13000,12630000,33609000,- -
58,Total Non-Current Liabilities,773000,4088000,58402000,44279000,28823000,28766000,84996000,128387000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,18375000,39305000,74023000
61,Total Liabilities,3128000,14783000,89132000,75638000,69395000,64399000,149250000,254220000
62,Preferred Stock,16448000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,657000,3000,4000,4000,5000,5000,7000,7000
64,Retained Earnings,-9539000,-21936000,-53570000,-121113000,-201025000,-300878000,-435109000,-703001000
65,Other Comprehensive Income/Loss,-3000,-331000,-1430000,-4329000,-8612000,-13868000,-19331000,-2632000
66,Other Total Stockholders Equity,3000,89620000,264833000,426035000,487552000,584622000,981505000,- -
67,Total Stockholders Equity,7566000,67356000,209837000,300597000,277920000,269881000,527072000,1040244000
68,Total Liabilities And Stockholders Equity,10694000,82139000,298969000,376235000,347315000,334280000,676322000,1294464000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10694000,82139000,298969000,376235000,347315000,334280000,676322000,1294464000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1652130/000119312517082186/0001193125-17-082186-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459018005544/0001564590-18-005544-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459019004680/0001564590-19-004680-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459020007409/0001564590-20-007409-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000156459021009011/0001564590-21-009011-index.htm,https://www.sec.gov/Archives/edgar/data/1652130/000095017022001981/0000950170-22-001981-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-12397000,-31634000,-67543000,-85343000,-99533000,-134231000,-267892000
74,Depreciation and Amortization,- -,328000,1104000,2994000,4464000,5587000,6311000,6891000
75,Deferred Income Tax,- -,-1012000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1308000,6715000,15322000,17046000,15091000,19903000,47009000
77,Change in Working Capital,- -,10001000,183645000,72895000,-39066000,-30557000,298415000,-22904000
78,Accounts Receivable,- -,- -,-5454000,-4017000,2924000,2927000,2490000,99000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,335000,1784000,-488000,232000,1880000,5060000,529000
81,Other Working Capital,- -,66931000,250576000,323471000,284405000,253848000,552263000,-31355000
82,Other Non-Cash Items,- -,9000,-123721000,-88944000,41642000,6172000,-240310000,11866000
83,Cash Provided by Operating Activities,- -,-1763000,36109000,-65276000,-61257000,-103240000,-49912000,-225030000
84,CAPEX,- -,-2554000,-6165000,-10091000,-6358000,-6794000,-3585000,-12756000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3000000
86,Purchases of Investments,- -,- -,- -,- -,-254555000,-297030000,-473702000,-1020620000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,329000000,262800000,485598000
88,Other Investing Activites,- -,- -,- -,- -,131000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-2554000,-6165000,-10091000,-260782000,25176000,-214487000,-550778000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,170507000,141000000,28971000,72256000,358648000,693570000
92,Common Stock Repurchased,- -,-2671000,-100000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,72959000,-3103000,1981000,11246000,4178000,13131000,43118000
