,https://roic.ai/company/HQY,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,46088000,62015000,87855000,126786000,178370000,229525000,287243000,531993000,733570000,756556000
2,COGS,21968000,29213000,39882000,54188000,72015000,94609000,106050000,206084000,318236000,332850000
3,Gross Profit,24120000,32802000,47973000,72598000,106355000,134916000,181193000,325909000,415334000,423706000
4,Gross Profit Ratio,0.5233,0.5289,0.5460,0.5726,0.5963,0.5878,0.6308,0.6126,0.5662,0.5600
5,Research and Development Exp.,4229000,7142000,10501000,16832000,22375000,27385000,35057000,77576000,124809000,157364000
6,General and Administrative Exp.,3367000,3897000,8343000,14113000,20151000,25111000,33039000,60561000,84493000,84379000
7,Selling and Marketing Exp.,7795000,8602000,10619000,13302000,18320000,23139000,29498000,43951000,49964000,58605000
8,"Selling, General and Administrative Exp.",11162000,12499000,18962000,27415000,38471000,48250000,62537000,104512000,134457000,142984000
9,Other Expenses,1637000,1637000,1637000,2208000,4297000,4863000,5929000,34704000,76064000,147596000
10,Operating Expenses,17028000,21278000,31100000,46455000,65143000,80498000,103523000,216792000,335330000,447944000
11,COGS and Expenses,38996000,50491000,70982000,100643000,137158000,175107000,209573000,422876000,653566000,780794000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,5905000,1045000,- -
13,Interest Expense (Gain),326000,44000,- -,- -,- -,- -,- -,24772000,34881000,-36572000
14,Depreciation and Amortization,3365000,4270000,5890000,8601000,13186000,15952000,18185000,55352000,115904000,137188000
15,EBITDA,10193000,9688000,21654000,34155000,53306000,68141000,94003000,123279000,154925000,33875000
16,EBITDA ratio,0.2212,0.1562,0.2465,0.2694,0.2989,0.2969,0.3273,0.2317,0.2112,0.0448
17,Operating Income,7092000,11524000,16873000,26143000,41212000,54418000,77670000,77006000,34014000,-24238000
18,Operating Income ratio,0.1539,0.1858,0.1921,0.2062,0.2310,0.2371,0.2704,0.1448,0.0464,-0.0320
19,Total Other Income Expenses (Gains),-590000,-6150000,-1109000,-589000,-1092000,-2229000,-1852000,-33851000,-29874000,-42503000
20,Income Before Tax,6502000,5374000,15764000,25554000,40120000,52189000,75818000,43155000,4140000,-66741000
21,Income Before Tax Ratio,0.1411,0.0867,0.1794,0.2016,0.2249,0.2274,0.2640,0.0811,0.0056,-0.0882
22,Income Tax expense (Gain),-4667000,4141000,5598000,8941000,13744000,4827000,1919000,3491000,-4694000,-22452000
23,Net Income,11169000,1233000,10166000,16613000,26376000,47362000,73899000,39664000,8834000,-44289000
24,Net Income ratio,0.2423,0.0199,0.1157,0.1310,0.1479,0.2063,0.2573,0.0746,0.0120,-0.0585
25,EPS,0.51,0.14,0.39,0.29,0.45,0.79,1.20,0.59,0.12,-0.60
26,EPS Diluted,0.21,0.13,0.21,0.28,0.44,0.77,1.17,0.58,0.12,-0.59
