,https://roic.ai/company/BRG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,3407989,8884746,30363000,44255000,77051000,123184000,184716000,209971000,219848000,220651000
2,COGS,- -,- -,- -,1115247,3425460,13213000,17851000,29870000,47954000,67997000,74449000,76301000,- -
3,Gross Profit,- -,- -,- -,2292742,5459286,17150000,26404000,47181000,75230000,116719000,135522000,143547000,- -
4,Gross Profit Ratio,- -,- -,- -,0.6728,0.6145,0.5648,0.5966,0.6123,0.6107,0.6319,0.6454,0.6529,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,100000,538127,3895104,2227529,2832623,3698000,8293000,12436000,67006000,23944000,27452000,29129000,27787000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",100000,538127,3895104,2227529,2832623,3698000,8293000,12436000,67006000,23944000,27452000,29129000,27787000
9,Other Expenses,300000,- -,- -,2051671,4104689,13047000,16226000,31187000,48624000,62683000,70452000,95821000,- -
10,Operating Expenses,400000,538127,3895104,4279200,6937312,16745000,24519000,43623000,115630000,86627000,97904000,124950000,27787000
11,COGS and Expenses,400000,538127,3895104,5394447,10362772,29958000,42370000,73493000,163584000,154624000,172353000,201251000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,258753,346562,956977,3889142,8019000,11366000,19915000,31520000,52998000,59554000,55994000,-52701000
14,Depreciation and Amortization,- -,- -,- -,2836042,5812776,13231000,16747000,32435000,51146000,67004000,74055000,82993000,75877000
15,EBITDA,-400000,-1685351,-3968769,7713860,6730917,16078000,29901000,48021000,67021000,118850000,170352000,169627000,128330000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,2.2635,0.7576,0.5295,0.6757,0.6232,0.5441,0.6434,0.8113,0.7716,0.5816
17,Operating Income,-400000,-2048117,-3968769,-5223882,-1772242,-3973000,-1623000,-1032000,-44647000,29688000,36707000,30814000,29972000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-1.5328,-0.1995,-0.1309,-0.0367,-0.0134,-0.3624,0.1607,0.1748,0.1402,0.1358
19,Total Other Income Expenses (Gains),- -,-258753,-346562,11984599,-2284765,-2701000,9266000,-1942000,37619000,-44963000,-7588000,-16091000,75182000
20,Income Before Tax,-400000,-2306870,-4315331,6760717,-4057007,-6674000,7643000,-2974000,-7028000,-15275000,29119000,14723000,105154000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,1.9838,-0.4566,-0.2198,0.1727,-0.0386,-0.0571,-0.0827,0.1387,0.0670,0.4766
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-400000,-2306870,-4315331,3920841,-2971001,-5172000,1788000,-4329000,-15645000,-1152000,36743000,30640000,105154000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,1.1505,-0.3344,-0.1703,0.0404,-0.0562,-0.1270,-0.0062,0.1750,0.1394,0.4766
25,EPS,-0.07,-0.42,-0.78,0.60,-0.94,-0.60,0.03,-0.97,-1.79,-1.82,-0.91,-1.91,0.08
26,EPS Diluted,-0.07,-0.42,-0.78,0.60,-0.94,-0.60,0.03,-0.97,-1.79,-1.82,-0.91,-1.91,0.07
27,Weighted Average Shares Outstanding,5400000,5556633,5556633,5556633,5556633,8592077,19555741,19567506,25561673,23845800,22649222,24084347,26024935
28,Weighted Average Shares Outstanding Diluted,5400000,5556633,5556633,5556633,5556633,8592077,19555741,19567506,25561673,23845800,22649222,24084347,26249999
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1442626/000089180410001306/0000891804-10-001306-index.html,https://www.sec.gov/Archives/edgar/data/1442626/000089180411001390/0000891804-11-001390-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420412014550/0001144204-12-014550-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420413014747/0001144204-13-014747-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420414009657/0001144204-14-009657-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420415013992/0001144204-15-013992-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420416084083/0001144204-16-084083-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420417010274/0001144204-17-010274-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420418014420/0001144204-18-014420-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000114420419010607/0001144204-19-010607-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000110465920024324/0001104659-20-024324-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000110465921026811/0001104659-21-026811-index.htm,https://www.sec.gov/Archives/edgar/data/1442626/000141057822000341/0001410578-22-000341-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,100000,420570,2789163,2983785,23059000,68960000,82047000,35015000,24775000,31683000,83868000,166492000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2271421000
33,Cash and Short-Term Investments,200000,100000,420570,2789163,2983785,23059000,68960000,82047000,35015000,24775000,31683000,83868000,2437913000
34,Net Receivables,- -,- -,109165,552624,1777021,1323000,7603000,30825000,152595000,181333000,213067000,187575000,173489000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,466714,25237,- -,2290387,46526421,26957000,11669000,45402000,29575000,27469000,19085000,71451000,- -
37,Total Current Assets,666714,125237,529735,5632174,51287227,51339000,88232000,158274000,217185000,233577000,263835000,342894000,2611402000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1195490,- -,745000,2389000,4839000,4635000,1768000,3098000,2594000,2530000
41,Intangible Assets,- -,- -,- -,1195490,- -,745000,2389000,4839000,4635000,1768000,3098000,2594000,2530000
42,Investments,2300000,6300000,5387147,2398902,1254307,18331000,75223000,91132000,71145000,89033000,126444000,83485000,-224123000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,500000,- -,147404865,119984558,275671000,536918000,987077000,1397582000,1693757000,1947320000,2060964000,224123000
