,https://roic.ai/company/BLCM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1470330,1940657,1780523,282000,388000,185000,1120000,7143000,500,6200
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,1470330,1940657,1780523,282000,- -,- -,- -,- -,500,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,5796233,7049420,11008347,33561000,51263000,65663000,71152000,64535000,39052,23578
6,General and Administrative Exp.,1943206,2813190,5398050,15856000,17505000,21909000,25434000,29972000,15531000,7010
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1943206,2813190,5398050,15856000,17505000,21909000,25434000,29972000,15531000,7010
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-15515469,- -
10,Operating Expenses,7739439,9862610,16406397,49417000,68768000,87572000,96586000,94507000,54583,30588
11,COGS and Expenses,7739439,9862610,16406397,49417000,68768000,87572000,96586000,94507000,54583,- -
12,Interest Income ,7545,3921,34975,641000,909000,1055000,1639000,1351000,387000,32
13,Interest Expense (Gain),1405,50719,1791173,12000,1760000,3672000,4199000,4280000,2659,-4
14,Depreciation and Amortization,115282,587248,666607,1199000,2306000,3564000,6698000,8506000,1472000,138
15,EBITDA,-6146282,-7330784,-81507009,-47337000,-65175000,-84543000,-87139000,-99691000,1466937,-9571
16,EBITDA ratio,-4.1802,-3.7775,-45.7770,-167.8617,-167.9768,-456.9892,-77.8027,-13.9565,2933.8740,-1.5437
17,Operating Income,-6269109,-7921953,-57837696,-49135000,-68380000,-87387000,-95466000,-87364000,-51692000,-24866000
18,Operating Income ratio,-4.2637,-4.0821,-32.4835,-174.2376,-176.2371,-472.3622,-85.2375,-12.2307,-103384.0000,-4010.6452
19,Total Other Income Expenses (Gains),6140,-46798,-26127093,587000,-861000,-4392000,-2570000,-25113000,51684278,24856295
20,Income Before Tax,-6262969,-7968751,-83964789,-48548000,-69241000,-91779000,-98036000,-112477000,-7722,-9705
21,Income Before Tax Ratio,-4.2596,-4.1062,-47.1574,-172.1560,-178.4562,-496.1027,-87.5321,-15.7465,-15.4440,-1.5653
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6262969,-7968751,-83964789,-48548000,-69241000,-91779000,-98036000,-112477000,-7722,-9705
24,Net Income ratio,-4.2596,-4.1062,-47.1574,-172.1560,-178.4562,-496.1027,-87.5321,-15.7465,-15.4440,-1.5653
25,EPS,-7.14,-13.20,-34.04,-18.40,-25.70,-28.90,-24.40,-24.01,-1.34,-0.84
26,EPS Diluted,-7.14,-13.20,-34.04,-18.40,-25.70,-28.90,-24.40,-24.01,-1.34,-0.84
27,Weighted Average Shares Outstanding,982776,605161,2508960,2634660,2695090,3171416,4023058,4684711,5760159,11504294
28,Weighted Average Shares Outstanding Diluted,982776,605161,2508960,2634660,2695090,3171416,4023058,4684711,5760159,11504294
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1358403/000156459015001868/0001564590-15-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840316000158/0001358403-16-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840317000050/0001358403-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840318000037/0001358403-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840319000038/0001358403-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840320000007/0001358403-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000162828021006164/0001628280-21-006164-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000162828022007196/0001628280-22-007196-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1632084,11167585,191601611,70241000,33140000,38839000,43695000,91028000,35495000,46156000
32,Short-Term Investments,- -,- -,- -,23820000,70632000,60057000,49304000,- -,- -,- -
33,Cash and Short-Term Investments,1632084,11167585,191601611,94061000,103772000,98896000,92999000,91028000,35495000,46156000
34,Net Receivables,- -,745541,297903,440000,334000,320000,909000,303000,2000,205000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,845578,254068,1322268,2389000,1504000,2434000,1387000,20523000,3946000,2770000
37,Total Current Assets,2477662,12167194,193221782,96890000,105610000,101650000,95295000,111854000,39443000,49131000
38,PP&E,2510829,2289919,2427435,6882000,16504000,25942000,20878000,3571000,189000,12000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,56304000,- -,1368000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,197738,484525,145023,330000,9923000,6568000,5328000,825000,- -,- -
45,Total Non-Current Assets,2708567,2774444,2572458,63516000,26427000,33878000,26206000,4396000,189000,12000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5186229,14941638,195794240,160406000,132037000,135528000,121501000,116250000,39632000,49143000
48,Accounts Payable,550847,549594,1209006,2106000,3623000,3287000,3774000,2643000,891000,90000
49,Short-Term Debt,89955,400000,- -,13000,1808000,31000,40000,11454000,825000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1038763,- -,13122,- -,- -,2049000,2983000,- -,- -,- -
52,Other Current Liabilities,542353,1254847,2413965,5326000,9682000,6789000,9007000,80321000,22985000,6622000
53,Total Current Liabilities,2221918,2204441,3636093,7445000,15113000,12156000,15804000,94418000,24701000,6712000
54,Long-Term Debt,359822,400000,- -,- -,18436000,34946000,35832000,25717000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,2054000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,22077929,40489094,522331,944000,1914000,1724000,1387000,22332000,- -,- -
58,Total Non-Current Liabilities,22437751,40889094,522331,944000,20350000,38724000,37219000,48049000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,344000,- -
60,Capital Lease Obligations,- -,- -,- -,131000,162000,162000,131000,1318000,1169000,- -
61,Total Liabilities,24659669,43093535,4158424,8389000,35463000,50880000,53023000,142467000,25045000,6712000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,17260,17260,270500,276000,278000,340000,442000,507000,84000,85000
64,Retained Earnings,-21010073,-28978824,-112943613,-161492000,-230733000,-322512000,-420548000,-533025000,- -,-550452000
65,Other Comprehensive Income/Loss,-156806,-744054,-1410661,-302000,17000,-46000,-144000,-327000,-339000,-338000
66,Other Total Stockholders Equity,1676179,1553721,305719590,313535000,327012000,406866000,488728000,506628000,-2242000,575100000
67,Total Stockholders Equity,-19473440,-28151897,191635816,152017000,96574000,84648000,68478000,-26217000,-2497000,24395000
68,Total Liabilities And Stockholders Equity,5186229,14941638,195794240,160406000,132037000,135528000,121501000,116250000,22548000,31107000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,17084000,18036000
70,Total Liabilities & Equity,5186229,14941638,195794240,160406000,132037000,135528000,121501000,116250000,39632000,49143000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1358403/000156459015001868/0001564590-15-001868-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840316000158/0001358403-16-000158-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840317000050/0001358403-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840318000037/0001358403-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840319000038/0001358403-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000135840320000007/0001358403-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000162828021006164/0001628280-21-006164-index.htm,https://www.sec.gov/Archives/edgar/data/1358403/000162828022007196/0001628280-22-007196-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-6262969,-7968751,-83964789,-48548000,-69241000,-91779000,-98036000,-112477000,-7722,-9705
74,Depreciation and Amortization,115282,587248,666607,1199000,2306000,3564000,6698000,8506000,1472000,138
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,91503,390595,911645,8409000,12337000,13569000,13824000,7338000,5031000,3439
77,Change in Working Capital,-1947878,9707009,179622936,-100140689,1052000,-1003000,-10003000,-62055000,-2694000,27677000
78,Accounts Receivable,- -,-745541,447639,-142000,106000,14000,-589000,- -,301000,170
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,59016,-1253,659412,897000,931000,-512000,460000,-1131000,-1917000,-801
81,Other Working Capital,255744,9962753,189585689,89445000,90497000,89494000,79491000,17436000,14742000,42419000
82,Other Non-Cash Items,260439,-10328671,-154544177,103354689,3105000,2665000,12735000,81119000,-60451278,-27693978
83,Cash Provided by Operating Activities,-7743623,-7612570,-57307778,-35726000,-50441000,-72984000,-74782000,-77569000,-56650000,-23106
