,https://roic.ai/company/CVAT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,589926,187216,1259623,1855707,489255,1798217,1063054,1303000,1090000,1663000,558000
2,COGS,- -,- -,- -,- -,- -,91144,40564,31175,120170,73253,121505,69441,122000,69000,40000,20000
3,Gross Profit,- -,- -,- -,- -,- -,498782,146652,1228448,1735537,416002,1676712,993613,1181000,1021000,1623000,538000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.8455,0.7833,0.9753,0.9352,0.8503,0.9324,0.9347,0.9064,0.9367,0.9759,0.9642
5,Research and Development Exp.,- -,- -,- -,311793,2184902,664994,152002,140326,40820,22310,29371,27105,25000,25000,18000,21000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,3029912,- -,1927657,2444163,1772618,1214561,2033453,1507000,1719000,1469000,1264000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5000,58200,19000,2086293,5675627,3029912,1720315,1927657,2444163,1772618,1214561,2033453,1507000,1719000,1469000,1264000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,2398086,7860529,3694906,1872317,2067983,2484983,1794928,1243932,2060558,1532000,1744000,1487000,1285000
11,COGS and Expenses,5000,58200,- -,2398086,7860529,3786050,1912881,2099158,2605153,1868181,1365437,2129999,1654000,1813000,1527000,1305000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,97905,335933,99304,202463,148591,- -,- -,- -,- -,- -,- -,- -,6000
14,Depreciation and Amortization,- -,- -,- -,7212,16968,21123,159527,142935,100693,89780,60126,50967,51000,41000,99000,85000
15,EBITDA,-5000,-58200,-58200,-2390874,-7843561,-3175001,-1566138,-696600,-2083794,-1289146,492906,-1015978,-199000,-682000,227000,-558000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.3820,-8.3654,-0.5530,-1.1229,-2.6349,0.2741,-0.9557,-0.1527,-0.6257,0.1365,-1.0000
17,Operating Income,- -,- -,-19000,-2398086,-7860529,-3196124,-1725665,-839535,-749446,-1378926,432780,- -,-351000,-723000,136000,-747000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-5.4178,-9.2175,-0.6665,-0.4039,-2.8184,0.2407,- -,-0.2694,-0.6633,0.0818,-1.3387
19,Total Other Income Expenses (Gains),- -,- -,-39200,-97905,-335933,- -,-202463,-148591,-1435041,- -,- -,- -,101000,- -,-8000,98000
20,Income Before Tax,- -,- -,-58200,-2495991,-8196462,- -,-1928128,-988126,-2184487,-1378926,432780,-1066945,-250000,-723000,128000,-649000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,- -,-10.2989,-0.7845,-1.1772,-2.8184,0.2407,-1.0037,-0.1919,-0.6633,0.0770,-1.1631
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-5000,-58200,-58200,-2495991,-8196462,-3295428,-1928128,-988126,-2184487,-1378926,432780,-1066945,-250000,-723000,128000,-649000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.5862,-10.2989,-0.7845,-1.1772,-2.8184,0.2407,-1.0037,-0.1919,-0.6633,0.0770,-1.1631
25,EPS,-0.00,-0.00,-0.00,-0.03,-0.07,-0.02,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.00,-0.00,0.00,-0.00
26,EPS Diluted,-0.00,-0.00,-0.00,-0.03,-0.07,-0.02,-0.01,-0.01,-0.01,-0.01,0.00,-0.01,-0.00,-0.00,0.00,-0.00
27,Weighted Average Shares Outstanding,56250000,56250000,56250000,76940694,114739605,139150615,159195686,160479640,160625090,183378917,193997906,195053401,197148043,196997906,196997906,197224988
