,https://roic.ai/company/BLDP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10850727,13700000,15400000,18800000,16900000,16200000,22888150,27398655,60733000,90937000,119566000,81373000,53733000,49823000,65532000,59580000,46722000,65019000,76009000,43690000,61251000,68721000,56463000,85270000,121288000,96586000,106327000,103877000,104505000
2,COGS,9946500,8600000,8600000,15400000,13700000,10000000,16045579,30205030,33415000,67114000,76063000,59594000,31292000,21206000,25052000,47401000,40795000,54808000,62124000,36321000,44492000,58475000,46489000,61086000,79688000,66912000,83732000,82893000,90492000
3,Gross Profit,904227,5100000,6800000,3400000,3200000,6200000,6842571,-2806375,27318000,23823000,43503000,21779000,22441000,28617000,40480000,12179000,5927000,10211000,13885000,7369000,16759000,10246000,9974000,24184000,41600000,29674000,22595000,20984000,14013000
4,Gross Profit Ratio,0.0833,0.3723,0.4416,0.1809,0.1893,0.3827,0.2990,-0.1024,0.4498,0.2620,0.3638,0.2676,0.4176,0.5744,0.6177,0.2044,0.1269,0.1570,0.1827,0.1687,0.2736,0.1491,0.1766,0.2836,0.3430,0.3072,0.2125,0.2020,0.1341
5,Research and Development Exp.,1959159,- -,- -,- -,12700000,23500000,42825505,57687695,82686000,113736000,103863000,91737000,75492000,52274000,58478000,37172000,26628000,23812000,25480000,19273000,17117000,14294000,16206000,19827000,25022000,27039000,26928000,35519000,62162000
6,General and Administrative Exp.,1808455,7600000,13500000,15500000,5800000,6900000,10053085,11603548,18496000,32020000,27165000,25699000,25555000,20488000,28049000,20076000,10801000,13315000,12500000,12335000,11695000,10409000,10988000,13304000,12950000,15103000,13540000,16508000,24976000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7203000,8861000,9488000,6901000,7661000,7589000,7428000,7190000,7951000,8068000,7915000,8616000,12904000
8,"Selling, General and Administrative Exp.",1808455,7600000,13500000,15500000,5800000,6900000,10053085,11603548,18496000,32020000,27165000,25699000,25555000,20488000,28049000,20076000,18004000,22176000,21988000,19236000,19356000,17998000,18416000,20494000,20901000,23171000,21455000,25124000,37880000
9,Other Expenses,753523,1000000,1000000,1500000,3100000,5700000,7368999,9683292,4994000,44643000,46408000,40094000,26094000,16391000,15732000,6034000,6580000,6454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1945000
10,Operating Expenses,4521136,8600000,14500000,17000000,21600000,36100000,60247589,78974536,106176000,190399000,177436000,157530000,127141000,89153000,102259000,63282000,51212000,52442000,47468000,38509000,36473000,32292000,34622000,40321000,45923000,50210000,48383000,62143000,101987000
11,COGS and Expenses,14467636,17200000,23100000,32400000,35300000,46100000,76293169,109179565,139591000,257513000,253499000,217124000,158433000,110359000,127311000,110683000,92007000,107250000,109592000,74830000,80965000,90767000,81111000,101407000,125611000,117122000,132115000,145036000,192479000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,29633953,24529000,16540000,28571000,- -,- -,- -,- -,- -,- -,- -,- -,31000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),226057,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,974000,1392000,1690000,1486000,942000,794000,686000,732000,503000,1434000,1303000,1594000
14,Depreciation and Amortization,753523,1000000,1000000,1500000,3100000,5500000,7041355,8964196,14638000,50602000,54421000,45313000,29234000,23131000,18080000,8021000,9504000,8564000,5906000,6184000,5731000,5610000,4375000,4544000,5064000,5015000,7514000,7558000,9752000
15,EBITDA,-1356341,-2600000,-4200000,-2800000,5000000,6800000,-43654604,-46950263,-80665000,-95937000,-69922000,-129672000,-57544000,-159423000,-39275000,42116000,6239000,-25395000,-25739000,-34261000,-12262000,-20899000,-435000,-16076000,-681000,-21435000,-30082000,-42386000,-103103000
16,EBITDA ratio,-0.1250,-0.1898,-0.2727,-0.1489,0.2959,0.4198,-1.9073,-1.7136,-1.3282,-1.0550,-0.5848,-1.5936,-1.0709,-3.1998,-0.5993,0.7069,0.1335,-0.3906,-0.3386,-0.7842,-0.2002,-0.3041,-0.0077,-0.1885,-0.0056,-0.2219,-0.2829,-0.4080,-0.9866
17,Operating Income,-3616909,-3500000,-7700000,-13600000,-18400000,-29900000,-53405018,-81780910,-82558000,-194108000,-142771000,-135751000,-104700000,-60536000,-61779000,-51103000,-52043000,-42759000,-33583000,-31111000,-19432000,-28054000,-24884000,-18069000,-4877000,-20798000,-27393000,-39761000,-88103000
18,Operating Income ratio,-0.3333,-0.2555,-0.5000,-0.7234,-1.0888,-1.8457,-2.3333,-2.9849,-1.3594,-2.1345,-1.1941,-1.6683,-1.9485,-1.2150,-0.9427,-0.8577,-1.1139,-0.6576,-0.4418,-0.7121,-0.3173,-0.4082,-0.4407,-0.2119,-0.0402,-0.2153,-0.2576,-0.3828,-0.8431
19,Total Other Income Expenses (Gains),1356341,-200000,2400000,9300000,20300000,31200000,2709059,25866451,-12745000,47569000,18428000,-39234000,17922000,2125000,4917000,85198000,48778000,3919000,-2190000,-12298000,-1807000,-1277000,18521000,-3237000,-1600000,-6155000,-11637000,-9578000,-26510000
20,Income Before Tax,- -,- -,-5300000,-4300000,1900000,1300000,-50695959,-55914459,-95303000,-146539000,-124343000,-174985000,-86778000,-58411000,-56862000,34095000,-3265000,-38840000,-35773000,-43409000,-21239000,-29331000,-6363000,-21306000,-6477000,-26953000,-39030000,-49339000,-114613000
21,Income Before Tax Ratio,- -,- -,-0.3442,-0.2287,0.1124,0.0802,-2.2149,-2.0408,-1.5692,-1.6114,-1.0400,-2.1504,-1.6150,-1.1724,-0.8677,0.5723,-0.0699,-0.5974,-0.4706,-0.9936,-0.3468,-0.4268,-0.1127,-0.2499,-0.0534,-0.2791,-0.3671,-0.4750,-1.0967
22,Income Tax expense (Gain),- -,- -,100000,200000,500000,800000,528427,1260168,858000,1192000,749000,422000,205000,-1417000,-53000,16000,-7000,3000,383000,- -,485000,417000,211000,381000,1571000,370000,20000,130000,-216000
23,Net Income,-2335920,-3700000,-5400000,-4500000,1400000,500000,-51224386,-57174627,-96161000,-147731000,-125092000,-175407000,-86983000,-181137000,-57302000,34079000,-3258000,-34936000,-33420000,-42135000,-19964000,-27868000,-5815000,-21687000,-8048000,-27323000,-39050000,-51377000,-114233000
24,Net Income ratio,-0.2153,-0.2701,-0.3506,-0.2394,0.0828,0.0309,-2.2380,-2.0868,-1.5833,-1.6245,-1.0462,-2.1556,-1.6188,-3.6356,-0.8744,0.5720,-0.0697,-0.5373,-0.4397,-0.9644,-0.3259,-0.4055,-0.1030,-0.2543,-0.0664,-0.2829,-0.3673,-0.4946,-1.0931
25,EPS,-0.11,-0.14,-0.17,-0.10,0.03,0.01,0.42,0.44,-1.05,-1.40,-1.07,-1.48,-0.73,-1.60,-0.50,0.40,-0.04,-0.42,-0.40,-0.48,-0.20,-0.22,-0.04,-0.13,-0.05,-0.15,-0.17,-0.21,-0.39
26,EPS Diluted,-0.11,-0.14,-0.17,-0.10,0.03,0.01,0.42,0.44,-1.05,-1.40,-1.07,-1.48,-0.73,-1.60,-0.50,0.40,-0.04,-0.42,-0.40,-0.48,-0.20,-0.22,-0.04,-0.13,-0.05,-0.15,-0.17,-0.21,-0.39
27,Weighted Average Shares Outstanding,22142857,26428571,31764706,45000000,40000000,79416000,82500000,87459391,91581905,105386420,117438962,118461114,119701260,113390728,114575473,84922364,83637315,84102315,84440970,87591501,100030457,127385814,140393579,163449737,176270305,185836596,232820675,248481027,295293438
28,Weighted Average Shares Outstanding Diluted,22142857,26428571,31764706,45000000,40000000,79416000,82500000,87459391,91581905,105386420,117438962,118461114,122052102,113390728,114575473,85763207,83637315,84102315,84440970,87591501,100030457,127385814,140393579,163449737,176270305,185836596,232820675,248481027,295293438
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1453015/000091228210000381/0000912282-10-000381-index.html,- -,https://www.sec.gov/Archives/edgar/data/1453015/000120677412000792/0001206774-12-000792-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000120677413001066/0001206774-13-001066-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1453015/000120677416004654/0001206774-16-004654-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000120677417000667/0001206774-17-000667-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301518000005/0001453015-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301519000005/0001453015-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1453015/000145301520000010/0001453015-20-000010-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6178886,7600000,15300000,49400000,101100000,225100000,59698186,192549686,140774000,237233000,278099000,188748000,148919000,61399000,49340000,54086000,43299000,51937000,20316000,9770000,30301000,23671000,40049000,72628000,60255000,192235000,147792000,763430000,1123895000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,187864037,320735786,280475000,139637000,49013000,51511000,84114000,125673000,96234000,31313000,38932000,22508000,25878000,12068000,- -,- -,- -,- -,- -,- -,- -,2000000,3004000
33,Cash and Short-Term Investments,6178886,7600000,15300000,49400000,101100000,225100000,247562223,513285472,421249000,376870000,327112000,240259000,233033000,187072000,145574000,85399000,82231000,74445000,46194000,21838000,30301000,23671000,40049000,72628000,60255000,192235000,147792000,765430000,1126899000
34,Net Receivables,3164795,5500000,4800000,7800000,15000000,8900000,18550859,15374051,17312000,28313000,22648000,10266000,14666000,14911000,18963000,18856000,12903000,11614000,17164000,16374000,15471000,13146000,25484000,14924000,23080000,38524000,49316000,56795000,46395000
35,Inventory,1130284,900000,2000000,1800000,900000,4300000,5971517,11765570,28046000,26134000,26284000,12325000,13847000,14936000,14859000,10402000,9168000,12382000,13614000,11277000,14087000,12538000,20369000,17228000,17292000,29311000,30098000,28522000,51518000
36,Other Current Assets,8514807,11800000,6500000,6500000,18100000,60500000,839089,446060,873000,2029000,2420000,15399000,1409000,4234000,1845000,1434000,2114000,957000,934000,11809000,852000,1294000,1672000,2973000,2175000,1523000,2320000,3568000,4374000
37,Total Current Assets,18988773,25800000,28600000,65500000,135100000,298800000,272923688,540871152,467480000,433346000,378464000,278249000,262955000,221153000,181241000,116091000,106416000,99398000,77906000,61298000,60711000,50649000,87574000,107753000,102802000,261593000,229526000,854315000,1229186000
38,PP&E,2260568,3000000,6900000,12700000,16200000,29300000,44495691,57862719,109006000,97899000,85685000,66846000,60045000,47694000,42906000,38755000,39320000,36706000,35085000,24316000,19945000,16685000,16725000,15701000,15314000,21620000,42836000,49334000,56061000
