,https://roic.ai/company/CDTI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,200000,50000,140000,580000,1600000,440000,570000,730000,810000,1120000,4930000,7480000,1220000,48120000,61610000,60540000,51801000,41231000,39738000,36839000,28353000
2,COGS,- -,130000,30000,80000,130000,120000,90000,220000,460000,470000,660000,1130000,5720000,800000,36080000,44020000,45820000,36840000,28778000,28846000,28773000,22455000
3,Gross Profit,- -,70000,20000,60000,450000,1480000,350000,350000,270000,340000,460000,3800000,1760000,420000,12040000,17590000,14720000,14961000,12453000,10892000,8066000,5898000
4,Gross Profit Ratio,- -,0.3500,0.4000,0.4286,0.7759,0.9250,0.7955,0.6140,0.3699,0.4198,0.4107,0.7708,0.2353,0.3443,0.2502,0.2855,0.2431,0.2888,0.3020,0.2741,0.2190,0.2080
5,Research and Development Exp.,1750000,1990000,1010000,830000,530000,370000,690000,860000,510000,440000,510000,430000,6020000,4570000,4370000,7410000,6720000,4726000,6538000,7826000,4657000,3970000
6,General and Administrative Exp.,1840000,1730000,1520000,1590000,1800000,1860000,2290000,2700000,3960000,4960000,5110000,7950000,4280000,1730000,11920000,16700000,14950000,13339000,12374000,11903000,11837000,8292000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1840000,1730000,1520000,1590000,1800000,1860000,2290000,2700000,3960000,4960000,5110000,7950000,4280000,1730000,11920000,16700000,14950000,13339000,12374000,11903000,11837000,8292000
9,Other Expenses,222000,165000,150000,80000,165000,189000,47000,33000,88000,172000,403000,453000,349000,366000,-3633000,-3000,-1000,366000,- -,- -,- -,- -
10,Operating Expenses,3812000,3885000,2680000,2500000,2495000,2419000,3027000,3593000,4558000,5572000,6023000,8833000,10649000,6666000,12657000,24107000,21669000,18431000,18912000,19729000,16494000,12262000
11,COGS and Expenses,3810000,4080000,2710000,2630000,2620000,2540000,3110000,3830000,5010000,6040000,6680000,9960000,16550000,8430000,51990000,68130000,68370000,56144000,48856000,50057000,64907000,33626000
12,Interest Income ,383000,- -,41000,- -,38000,11000,39000,15000,47000,26000,58000,509000,602000,245000,4000,17000,11000,6000,- -,- -,- -,- -
13,Interest Expense (Gain),320000,120000,-60000,40000,40000,-170000,30000,20000,150000,-200000,160000,500000,-300000,-100000,3646000,-490000,1479000,1406000,1176000,1166000,1535000,260000
14,Depreciation and Amortization,12000,24000,26000,20000,10000,102000,34000,81000,132000,163000,138000,112000,142000,184000,1356000,1748000,1430000,1286000,1007000,924000,780000,680000
15,EBITDA,-3800000,-3616000,-3014000,-2380000,-1950000,-1178000,-2576000,-3149000,-3848000,-5467000,-5082000,-3928000,-9528000,-6666000,-3368000,-5762000,-7121000,-4066000,-7015000,-6843000,-22117000,-4258000
16,EBITDA ratio,-Infinity,-18.0800,-60.2800,-17.0000,-3.3621,-0.7362,-5.8545,-5.5246,-5.2712,-6.7494,-4.5375,-0.7968,-1.2738,-5.4639,-0.0700,-0.0935,-0.1176,-0.0785,-0.1701,-0.1722,-0.6004,-0.1502
