,https://roic.ai/company/CTK,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,11030079,37334966,134109632,177883105,441505231,272146000
2,COGS,20158565,20101386,14932713,15300854,24128462,32826000
3,Gross Profit,-9128486,17233580,119176919,162582251,417376769,239320000
4,Gross Profit Ratio,-0.8276,0.4616,0.8887,0.9140,0.9453,0.8794
5,Research and Development Exp.,8691539,12323570,19324657,26935497,29669615,34433000
6,General and Administrative Exp.,3920057,8982191,10728807,16256192,15017499,17815000
7,Selling and Marketing Exp.,9396663,20090646,80729626,157027956,418261754,200236000
8,"Selling, General and Administrative Exp.",13316720,29072837,91458433,173284148,433279253,218051000
9,Other Expenses,-605890,-190338,-1609159,-872269,-2089259,-4453000
10,Operating Expenses,21402369,41206069,109173931,199347376,460859609,248031000
11,COGS and Expenses,41560934,61307455,124106644,214648230,484988071,280857000
12,Interest Income ,12887,481932,214730,763497,395629,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,555762,899018,1153606,3005008,3769273,- -
15,EBITDA,-30150837,-22761095,11301291,-33839339,-43590369,-13825000
16,EBITDA ratio,-2.7335,-0.6096,0.0843,-0.1902,-0.0987,-0.0508
17,Operating Income,-30530855,-23972489,10002988,-36765125,-47846606,-8711000
18,Operating Income ratio,-2.7680,-0.6421,0.0746,-0.2067,-0.1084,-0.0320
19,Total Other Income Expenses (Gains),-175744,312376,144697,-79222,486964,-5049000
20,Income Before Tax,-30706599,-23660113,10147685,-36844347,-47359642,-13760000
21,Income Before Tax Ratio,-2.7839,-0.6337,0.0757,-0.2071,-0.1073,-0.0506
22,Income Tax expense (Gain),- -,800,220,1714,7087,52000
23,Net Income,-30706599,-23660913,10147465,-36846061,-47366729,-13877000
24,Net Income ratio,-2.7839,-0.6337,0.0757,-0.2071,-0.1073,-0.0510
25,EPS,-0.52,-0.50,0.15,-0.50,-1.00,-0.22
26,EPS Diluted,-0.52,-0.50,0.15,-0.50,-1.00,-0.22
27,Weighted Average Shares Outstanding,59566634,59530430,29285158,63101660,61606658,63101660
28,Weighted Average Shares Outstanding Diluted,62506734,59530430,31821893,63101660,61606658,63101660
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1734262/000110465919021220/a19-6246_120f.htm,https://www.sec.gov/Archives/edgar/data/1734262/000110465920048703/a20-5664_120f.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,41056314,26720158,84859915,59905827,24669133,18232000
32,Short-Term Investments,- -,- -,- -,571508,50028,50000
33,Cash and Short-Term Investments,41056314,26720158,84859915,60477335,24719161,18282000
34,Net Receivables,4527236,14204690,25858850,32580592,37501546,21483000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2287431,2813904,2457404,2582040,5963171,11063000
37,Total Current Assets,47870981,43738752,113176169,95639967,68183878,50828000
38,PP&E,1241585,1943550,4211051,5669849,5393742,4259000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,267736,396495,- -
41,Intangible Assets,- -,- -,- -,267736,396495,249000
42,Investments,- -,- -,500032,- -,306518,314000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,241131,578720,555922,259108,22621747,780000
45,Total Non-Current Assets,1482716,2522270,5267005,6196693,28718502,5602000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,49353697,46261022,118443174,101836660,96902380,56430000
48,Accounts Payable,3819207,5432505,24780899,37877800,76125973,27760000
49,Short-Term Debt,1942084,3193381,- -,9012645,10958022,19083000
50,Tax Payable,449774,723271,577406,3239430,4386517,- -
51,Deferred Revenue,987910,659547,457786,3887908,3331511,1943000
52,Other Current Liabilities,3529309,5529337,8003868,11554381,19829994,13219000
53,Total Current Liabilities,10278510,14814770,33242553,62332734,110245500,62005000
54,Long-Term Debt,3176211,- -,- -,- -,- -,103000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,136455592,156367810,877826,595563,459435,323000
58,Total Non-Current Liabilities,139631803,156367810,877826,595563,459435,426000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,913000
61,Total Liabilities,149910313,171182580,34120379,62928297,110704935,62431000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,9126,8984,31960,31262,30918,36000
64,Retained Earnings,-101028568,-126899750,-116752285,-153598346,-200965075,-214842000
65,Other Comprehensive Income/Loss,-690597,1092648,-1158900,-1432833,-2114916,-1913000
66,Other Total Stockholders Equity,1153423,876560,202202020,193908280,189246518,210718000
67,Total Stockholders Equity,-100556616,-124921558,84322795,38908363,-13802555,-6001000
68,Total Liabilities And Stockholders Equity,49353697,46261022,118443174,101836660,96902380,56430000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49353697,46261022,118443174,101836660,96902380,56430000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1734262/000110465919021220/a19-6246_120f.htm,https://www.sec.gov/Archives/edgar/data/1734262/000110465920048703/a20-5664_120f.htm,- -,- -
