,https://roic.ai/company/IFNY,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,850000,3920000,4910000,5040000,4810000,4850000,5170000,8860269,10950000,18220000,20990000,30780000,12290000,9430000,3900000,520000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79002000
2,COGS,- -,560000,2340000,3330000,2670000,2650000,3010000,3110000,4978895,6480000,9140000,10530000,15190000,5390000,6050000,3090000,2340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92502000
3,Gross Profit,- -,290000,1580000,1580000,2370000,2160000,1840000,2060000,3881374,4470000,9080000,10460000,15590000,6900000,3380000,810000,-1820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13500000
4,Gross Profit Ratio,- -,0.3412,0.4031,0.3218,0.4702,0.4491,0.3794,0.3985,0.4381,0.4082,0.4984,0.4983,0.5065,0.5614,0.3584,0.2077,-3.5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1709
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3620000,3480000,3610000,1580000,640000,950000,920000,2450000,1820000,670870,451320,469230,208940,418760,316299000,1036996000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",400000,1100000,3300000,3000000,2100000,2004380,2237482,3012184,3382302,4647062,5311080,5462491,5836000,3619000,3479000,3610000,1580000,735711,1062142,1004891,2448297,1821805,670874,451322,469231,208941,418759,316299,1036996000
9,Other Expenses,- -,100000,500000,700000,700000,- -,- -,- -,- -,2017266,6049247,9297981,20901000,46542000,42853000,16790000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315982701,532014000
10,Operating Expenses,400000,1200000,3800000,3700000,2800000,2004380,2237482,3012184,3382302,6664328,11360327,14760472,26737000,50161000,46332000,20400000,1570000,735711,1062142,1004891,2448297,1821805,670874,451322,469231,208941,418759,316299000,1569010000
11,COGS and Expenses,400000,1620000,5660000,6350000,4750000,4650000,5830000,6130000,8361197,13140000,20500000,25290000,43210000,81910000,42470000,23490000,3910000,3190000,1060000,1000000,2390000,1630000,10391540,451320,469230,208940,-2026940,316299000,1661512000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,123794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,200000,300000,100000,- -,258476,517153,1062300,602350,1593765,1231515,2486000,3147000,1159000,-1650000,-1840000,1939428,3102637,407930,832651,3498808,933456,159907,115782,116744,92452,210931,108052000
14,Depreciation and Amortization,- -,100000,500000,700000,700000,773387,744538,781023,922104,1780000,12249880,11395310,21967000,48381000,33450000,790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133563,92502000
15,EBITDA,-400000,-700000,-1250000,-830000,1020000,863387,2843014,-91824,4461748,-317650,3913645,7996825,10873000,38838000,3769000,-22080000,-7020000,-4380000,-1127363,2770000,-2247349,-7178808,-10062784,-486583,-2295098,-321056,1937232,5623840563,-1403207000
16,EBITDA ratio,-4.0000,-0.8235,-0.3189,-0.1690,0.2024,0.1795,0.5862,-0.0178,0.5036,-0.0290,0.2148,0.3810,0.3532,3.1601,0.3997,-5.6615,-13.5000,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-17.7617
17,Operating Income,-300000,-900000,-1700000,-1400000,200000,156112,-397328,-952444,499072,-2188673,-2280001,-4298307,-11156000,-42452000,-42467000,-19590000,-3390000,-3189142,-1062142,-1004891,-2379657,-1631928,-10391540,-451322,-469231,-208941,-418759,-316299,-1582510000
18,Operating Income ratio,-3.0000,-1.0588,-0.4337,-0.2851,0.0397,0.0325,-0.0819,-0.1842,0.0563,-0.1999,-0.1251,-0.2048,-0.3624,-3.4542,-4.5034,-5.0231,-6.5192,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.0313
19,Total Other Income Expenses (Gains),- -,100000,-250000,-430000,20000,-66112,2237328,-437556,1978272,-511327,-7649999,-331693,-2424000,-16338000,11527000,-1630000,-1790000,-590858,-3167858,-245109,-700343,-2048072,-604700,-195168,-1941649,-228859,2263539,5624023299,-21251000
20,Income Before Tax,- -,-800000,-1950000,-1830000,220000,90000,1840000,-1390000,2477344,-2700000,-9930000,-4630000,-13580000,-58790000,-30940000,-21220000,-5180000,-3780000,-4230000,-1250000,-3080000,-3680000,-10996240,-646490,-2410880,-437800,1844780,5623707000,-1603761000
21,Income Before Tax Ratio,- -,-0.9412,-0.4974,-0.3727,0.0437,0.0187,0.3794,-0.2689,0.2796,-0.2466,-0.5450,-0.2206,-0.4412,-4.7836,-3.2810,-5.4410,-9.9615,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-20.3003
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-520000,-640000,710000,-1140000,- -,- -,- -,- -,- -,- -,- -,- -,-700000,150000,-650000,- -,- -,- -,- -,-150000,- -,- -,174449000
23,Net Income,-400000,-800000,-1950000,-1830000,220000,90000,2360000,-750000,1767344,-1560000,-9930000,-4630000,-13580000,-12690000,-30840000,-21220000,-5180000,-3780000,-3530000,2900000,-2430000,-3680000,-10996240,-646490,-2410880,-287800,1844780,5623707000,-1778210000
24,Net Income ratio,-4.0000,-0.9412,-0.4974,-0.3727,0.0437,0.0187,0.4866,-0.1451,0.1995,-0.1425,-0.5450,-0.2206,-0.4412,-1.0325,-3.2704,-5.4410,-9.9615,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-22.5084
25,EPS,-2.40,-3.60,-5.60,-4.60,0.40,0.20,4.05,-1.25,2.90,-2.20,-12.30,-4.90,-10.50,-8.40,-17.30,-11.53,-2.82,-2.00,-1.90,0.40,-2.60,-1.50,-4.07,-0.10,-0.31,-0.04,0.20,0.39,-122.56
26,EPS Diluted,-2.40,-3.60,-5.60,-4.60,0.40,0.20,4.05,-1.25,2.70,-2.20,-12.30,-4.90,-10.50,-8.40,-17.30,-11.53,-2.82,-2.00,-1.90,0.40,-2.60,-1.50,-4.07,-0.10,-0.31,-0.04,0.20,0.36,-111.44
27,Weighted Average Shares Outstanding,166667,187500,357143,391304,445758,449840,582040,590894,613205,720284,804768,949534,1293600,1508500,1787100,1840000,1840000,1866857,1866857,2010419,2120515,2545257,2704044,6498312,7712569,7712569,9086265,14508755,14508755
28,Weighted Average Shares Outstanding Diluted,166667,187500,357143,391304,500000,449840,585300,596500,651387,720284,804768,951462,1293600,1508500,1787100,1840000,1840000,1866857,1866857,2010419,2120515,2545257,2704044,6498312,7712569,7712569,9086265,15956623,15956623
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822746/000149315213000546/0001493152-13-000546-index.html,https://www.sec.gov/Archives/edgar/data/822746/000149315214003836/0001493152-14-003836-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315215003543/0001493152-15-003543-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315216008893/0001493152-16-008893-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315217003936/0001493152-17-003936-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315218004370/0001493152-18-004370-index.html,https://www.sec.gov/Archives/edgar/data/822746/000149315219005305/0001493152-19-005305-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315220008682/0001493152-20-008682-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315221007173/0001493152-21-007173-index.htm,https://www.sec.gov/Archives/edgar/data/822746/000149315222009234/0001493152-22-009234-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,290000,230000,180000,50000,240000,40000,720000,- -,870000,730000,3050000,7940000,870000,740000,310000,210000,- -,- -,30000,- -,13660,3730,12340,6260,1370,1790,11042,260590
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,290000,230000,180000,50000,240000,40000,720000,- -,870000,730000,3050000,7940000,870000,740000,310000,210000,- -,- -,30000,- -,13660,3730,12340,6260,1370,1790,11042,260590
34,Net Receivables,- -,390000,390000,470000,400000,280000,550000,590000,- -,1490000,1770000,5070000,4750000,1510000,1160000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,170000,160000,210000,200000,190000,140000,200000,- -,340000,350000,290000,450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,90000,340000,20000,20000,70000,110000,360000,- -,280000,320000,660000,430000,1330000,780000,160000,- -,10000,710000,10000,10000,23050,- -,- -,- -,- -,- -,75000,24088
37,Total Current Assets,- -,940000,1120000,880000,670000,780000,840000,1870000,- -,2980000,3170000,9070000,13570000,3710000,2680000,480000,210000,10000,710000,40000,10000,36710,3730,12340,6260,1370,1790,86042,284678
