,https://roic.ai/company/RIG,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,209700000,271300000,243000000,1990100000,528903000,4174600000,1089600000,648236000,1229513000,2820100000,2673900000,2434300000,2613900000,2891700000,3882000000,6377000000,12674000000,11556000000,9576000000,9142000000,9196000000,9484000000,9174000000,7386000000,4161000000,2973000000,3018000000,3088000000,3152000000,2556000000
2,COGS,158200000,212900000,179300000,1320800000,351569000,3355200000,484400000,476923000,803130000,1603300000,1494200000,1610400000,1726300000,1720600000,2155000000,2781000000,5355000000,5140000000,5119000000,6956000000,1123000000,1109000000,1139000000,963000000,893000000,832000000,818000000,855000000,781000000,742000000
3,Gross Profit,51500000,58400000,63700000,669300000,177334000,819400000,605200000,171313000,426383000,1216800000,1179700000,823900000,887600000,1171100000,1727000000,3596000000,7319000000,6416000000,4457000000,2186000000,8073000000,8375000000,8035000000,6423000000,3268000000,2141000000,2200000000,2233000000,2371000000,1814000000
4,Gross Profit Ratio,0.2456,0.2153,0.2621,0.3363,0.3353,0.1963,0.5554,0.2643,0.3468,0.4315,0.4412,0.3385,0.3396,0.4050,0.4449,0.5639,0.5775,0.5552,0.4654,0.2391,0.8779,0.8831,0.8758,0.8696,0.7854,0.7201,0.7290,0.7231,0.7522,0.7097
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000000,247000000,288000000,282000000,286000000,234000000,193000000,172000000,156000000,188000000,193000000,183000000,167000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16200000,13200000,18300000,140500000,23133000,152400000,28000000,16703000,42141000,57900000,65600000,65300000,67000000,74800000,90000000,142000000,199000000,209000000,247000000,288000000,282000000,286000000,234000000,193000000,172000000,156000000,188000000,193000000,183000000,167000000
9,Other Expenses,28100000,21000000,24500000,339900000,46587000,369800000,116900000,105766000,268910000,608900000,3424000000,518900000,492700000,376800000,-4000000,215000000,1763000000,1455000000,2344000000,1449000000,6106000000,5791000000,5110000000,2955000000,1875000000,1388000000,1799000000,2140000000,2000000000,1697000000
10,Operating Expenses,44300000,34200000,42800000,480400000,69720000,522200000,144900000,122469000,311051000,666800000,3489600000,584200000,559700000,451600000,86000000,357000000,1962000000,1664000000,2591000000,1737000000,6388000000,6077000000,5344000000,3148000000,2047000000,1544000000,1987000000,2333000000,2183000000,1864000000
