,https://roic.ai/company/ANGN,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,4029000,1487000,2880000,28312000
2,COGS,- -,- -,378000,640000,1190000,433000
3,Gross Profit,- -,- -,3651000,847000,1690000,27879000
4,Gross Profit Ratio,- -,- -,0.9062,0.5696,0.5868,0.9847
5,Research and Development Exp.,- -,- -,12602000,29837000,38977000,48698000
6,General and Administrative Exp.,- -,- -,5391000,9601000,17986000,18488000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,5391000,9601000,17986000,18488000
9,Other Expenses,- -,- -,- -,- -,- -,433000
10,Operating Expenses,- -,- -,17993000,39438000,56963000,67619000
11,COGS and Expenses,- -,- -,18371000,40078000,58153000,68052000
12,Interest Income ,- -,- -,252000,265000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1847000
14,Depreciation and Amortization,- -,- -,2000,496000,628000,801000
15,EBITDA,- -,- -,-20023000,-40162000,-79479000,-51925000
16,EBITDA ratio,- -,- -,-4.9697,-27.0087,-27.5969,-1.8340
17,Operating Income,- -,- -,-14342000,-38591000,-55273000,-39307000
18,Operating Income ratio,- -,- -,-3.5597,-25.9523,-19.1920,-1.3884
19,Total Other Income Expenses (Gains),- -,- -,-5683000,-2067000,-24834000,-15266000
20,Income Before Tax,- -,- -,-20025000,-40658000,-80107000,-54573000
21,Income Before Tax Ratio,- -,- -,-4.9702,-27.3423,-27.8149,-1.9276
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-20025000,-40658000,-80107000,-54573000
24,Net Income ratio,- -,- -,-4.9702,-27.3423,-27.8149,-1.9276
25,EPS,- -,- -,-1.63,-2.65,-2.78,-1.90
26,EPS Diluted,- -,- -,-1.63,-2.65,-2.78,-1.90
27,Weighted Average Shares Outstanding,- -,- -,15363535,15363535,28780099,28780099
28,Weighted Average Shares Outstanding Diluted,- -,- -,15363535,15363535,28780099,28780099
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601485/000160148521000007/0001601485-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1601485/000160148522000022/0001601485-22-000022-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,25512000,5571000,34607000,88756000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,25512000,5571000,34607000,88756000
34,Net Receivables,- -,- -,107000,440000,5352000,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,60000,95000,2338000,2491000
37,Total Current Assets,- -,- -,25679000,6106000,42297000,91247000
38,PP&E,- -,- -,17000,4781000,4228000,4437000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,932000,999000,822000,723000
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,106000
45,Total Non-Current Assets,- -,- -,949000,5780000,5050000,5266000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,26628000,11886000,47347000,96513000
48,Accounts Payable,- -,- -,534000,11239000,5578000,4710000
49,Short-Term Debt,- -,- -,- -,6881000,52041000,894000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,3942000,2301000
52,Other Current Liabilities,- -,- -,6821000,8455000,45888000,3391000
53,Total Current Liabilities,- -,- -,7355000,26575000,107449000,11296000
54,Long-Term Debt,- -,- -,- -,3897000,4482000,- -
55,Deferred Revenue,- -,- -,- -,- -,25865000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,362000,- -,- -,3710000
58,Total Non-Current Liabilities,- -,- -,362000,3897000,30347000,3710000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,4930000,4458000,- -
61,Total Liabilities,- -,- -,7717000,30472000,137796000,15006000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,147000,148000,156000,300000
64,Retained Earnings,- -,- -,-39797000,-80455000,-160562000,-215135000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-333000,-103000
66,Other Total Stockholders Equity,- -,- -,58561000,61721000,70290000,296445000
67,Total Stockholders Equity,- -,- -,18911000,-18586000,-90449000,81507000
68,Total Liabilities And Stockholders Equity,- -,- -,26628000,11886000,47347000,96513000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,26628000,11886000,47347000,96513000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601485/000160148521000007/0001601485-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1601485/000160148522000022/0001601485-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,- -,-20025000,-40658000,-80107000,-54573000
74,Depreciation and Amortization,- -,- -,2000,496000,628000,801000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2980000,3336000,4716000,12041000
77,Change in Working Capital,- -,- -,16852384,-38793000,-44683000,145103000
78,Accounts Receivable,- -,- -,180000,-333000,440000,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,449000,10705000,-5607000,-866000
81,Other Working Capital,- -,- -,18324000,-20469000,-65152000,79951000
82,Other Non-Cash Items,- -,- -,-7829384,51030000,96558000,-156015000
83,Cash Provided by Operating Activities,- -,- -,-8020000,-24589000,-22888000,-52643000
84,CAPEX,- -,- -,- -,-242000,-41000,-382000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-242000,-41000,-382000
90,Debt Repayment,- -,- -,- -,- -,- -,-2458000
91,Common Stock Issued,- -,- -,28592000,- -,- -,107487000
92,Common Stock Repurchased,- -,- -,- -,-286000,-36000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,3149000,5176000,52445000,2142000
95,Cash Used/Provided by Financing Activities,- -,- -,31741000,4890000,52409000,107171000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-444000,- -
97,Net Change In Cash,- -,- -,23721000,-19941000,29036000,54149000
98,Cash at the End of Period,- -,- -,25512000,5571000,34607000,88756000
99,Cash at the Beginning of Period,- -,- -,1791000,25512000,5571000,34607000
100,Free Cash Flow,- -,- -,-8020000,-24831000,-22929000,-53025000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1601485/000160148521000007/0001601485-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1601485/000160148522000022/0001601485-22-000022-index.htm
102,false,,,,,,
