,https://roic.ai/company/LW,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,2815200000,2925000000,2993800000,3168000000,3423700000,3756500000,3792400000,3670900000
2,COGS,2229500000,2337700000,2326400000,2389200000,2544200000,2753000000,2897200000,2838900000
3,Gross Profit,585700000,587300000,667400000,778800000,879500000,1003500000,895200000,832000000
4,Gross Profit Ratio,0.2080,0.2008,0.2229,0.2458,0.2569,0.2671,0.2361,0.2266
5,Research and Development Exp.,- -,- -,- -,- -,- -,15400000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,231300000,295400000,316400000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,231300000,295400000,316400000,- -,- -
9,Other Expenses,222000000,205900000,294100000,29200000,4000000,3300000,338300000,357200000
10,Operating Expenses,222000000,205900000,294100000,260500000,299400000,335100000,338300000,357200000
11,COGS and Expenses,2451500000,2543600000,2620500000,2649700000,2843600000,3088100000,3235500000,3196100000
12,Interest Income ,300000,- -,200000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),5600000,6100000,6100000,-61200000,-108800000,-107100000,108000000,118300000
14,Depreciation and Amortization,79200000,96400000,95900000,109100000,143300000,162400000,184000000,188800000
15,EBITDA,463400000,511200000,531800000,545000000,572500000,667500000,770200000,715400000
16,EBITDA ratio,0.1646,0.1748,0.1776,0.1720,0.1672,0.1777,0.2031,0.1949
17,Operating Income,363700000,381400000,373300000,518300000,580100000,668400000,556900000,474800000
18,Operating Income ratio,0.1292,0.1304,0.1247,0.1636,0.1694,0.1779,0.1468,0.1293
19,Total Other Income Expenses (Gains),-5300000,-6100000,-5900000,-61200000,-108800000,-107100000,-108000000,-118300000
20,Income Before Tax,358400000,375300000,367400000,457100000,471300000,561300000,448900000,356500000
21,Income Before Tax Ratio,0.1273,0.1283,0.1227,0.1443,0.1377,0.1494,0.1184,0.0971
22,Income Tax expense (Gain),117700000,140400000,144500000,170200000,121200000,133600000,112300000,90500000
23,Net Income,260900000,268300000,285300000,326900000,416800000,478600000,365900000,317800000
24,Net Income ratio,0.0927,0.0917,0.0953,0.1032,0.1217,0.1274,0.0965,0.0866
25,EPS,1.78,1.82,1.51,2.22,2.83,3.19,2.50,2.17
26,EPS Diluted,1.78,1.82,1.51,2.22,2.82,3.18,2.49,2.16
27,Weighted Average Shares Outstanding,146300000,146300000,144800000,146306306,146325088,146645768,146200000,146451613
28,Weighted Average Shares Outstanding Diluted,146400000,146400000,144900000,146600000,147000000,147300000,147100000,147100000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/0001558370-17-005308-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/0001558370-18-005726-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/0001558370-19-006311-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/0001558370-20-008501-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/0001558370-21-009330-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,30600000,36400000,57100000,55600000,12200000,1364000000,783500000
32,Short-Term Investments,- -,- -,- -,178000000,219000000,224000000,- -,- -
33,Cash and Short-Term Investments,- -,30600000,36400000,235100000,274600000,236200000,1364000000,783500000
34,Net Receivables,- -,171400000,186500000,185200000,225900000,340100000,342100000,366900000
35,Inventory,- -,488200000,498900000,525000000,549700000,498300000,486700000,513500000
36,Other Current Assets,- -,61500000,58200000,-87100000,-119800000,-113100000,109800000,117800000
37,Total Current Assets,- -,751700000,780000000,858200000,930400000,961500000,2302600000,1781700000
38,PP&E,- -,1001300000,1043100000,1271200000,1420800000,1597800000,1702000000,1665700000
39,Goodwill,- -,134900000,133900000,133000000,135100000,205900000,303800000,334500000
40,Intangible Assets,- -,41700000,39600000,37200000,35400000,37600000,38300000,36900000
41,Intangible Assets,- -,176600000,173500000,170200000,170500000,243500000,342100000,371400000
42,Investments,- -,- -,- -,178600000,219800000,224600000,250200000,310200000
43,Tax Assets,- -,- -,- -,90500000,92100000,125700000,- -,- -
44,Other Non-Current Assets,- -,126300000,161700000,-83100000,-81000000,-105000000,65400000,80400000
45,Total Non-Current Assets,- -,1304200000,1378300000,1627400000,1822200000,2086600000,2359700000,2427700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2055900000,2158300000,2485600000,2752600000,3048100000,4662300000,4209400000
48,Accounts Payable,- -,235900000,238000000,295000000,254400000,289200000,244400000,359300000
49,Short-Term Debt,- -,42700000,38400000,59900000,48300000,46400000,575900000,61100000
50,Tax Payable,- -,- -,- -,14500000,12700000,9100000,10700000,12100000
51,Deferred Revenue,- -,- -,- -,90000000,92000000,125000000,- -,- -
52,Other Current Liabilities,- -,110600000,133200000,110500000,124000000,92200000,204600000,197800000
53,Total Current Liabilities,- -,389200000,409600000,555400000,518700000,552800000,1024900000,618200000
54,Long-Term Debt,- -,86500000,104600000,2365000000,2336700000,2280200000,2992600000,2705400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,90500000,92100000,125700000,152500000,159700000
57,Other Non-Current Liabilities,- -,222700000,243500000,121900000,139900000,94000000,252300000,245500000
58,Total Non-Current Liabilities,- -,309200000,348100000,2577400000,2568700000,2499900000,3397400000,3110600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,28400000,29100000
61,Total Liabilities,- -,698400000,757700000,3132800000,3087400000,3052700000,4422300000,3728800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,146100000,146400000,146700000,147000000,147600000
64,Retained Earnings,- -,- -,- -,121000000,426400000,803600000,1064600000,1244600000
65,Other Comprehensive Income/Loss,- -,-5100000,-9200000,-9300000,-4300000,-25300000,-40500000,29500000
66,Other Total Stockholders Equity,- -,2304600000,2391700000,-905000000,-903300000,-929600000,-931100000,-941100000
67,Total Stockholders Equity,- -,1357500000,1400600000,-647200000,-334800000,-4600000,240000000,480600000
68,Total Liabilities And Stockholders Equity,- -,2055900000,2158300000,2485600000,2752600000,3048100000,4662300000,4209400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2055900000,2158300000,2485600000,2752600000,3048100000,4662300000,4209400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/0001558370-17-005308-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/0001558370-18-005726-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/0001558370-19-006311-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/0001558370-20-008501-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/0001558370-21-009330-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,260900000,268300000,285300000,326900000,416800000,478600000,365900000,317800000
74,Depreciation and Amortization,79200000,96400000,95900000,109100000,143300000,162400000,184000000,188800000
75,Deferred Income Tax,- -,23700000,- -,14800000,-3600000,37500000,20000000,3800000
76,Stock Based Compensation,4800000,6900000,8500000,15400000,13500000,18800000,22800000,20600000
77,Change in Working Capital,200000,388600000,7900000,-67600000,108900000,-3000000,869000000,-114200000
78,Accounts Receivable,- -,- -,- -,1000000,-40000000,-25000000,- -,- -
79,Inventory,24500000,-43800000,-10700000,-26100000,-23600000,-15800000,15300000,-22000000
80,Accounts Payable,10400000,1300000,7500000,12100000,-8300000,32900000,-34900000,104700000
81,Other Working Capital,-26100000,362500000,370400000,302800000,411700000,408700000,1277700000,1163500000
82,Other Non-Cash Items,41300000,-430200000,-15300000,48300000,-197700000,-13400000,-887700000,136400000
83,Cash Provided by Operating Activities,386400000,353700000,382300000,446900000,481200000,680900000,574000000,553200000
84,CAPEX,-194600000,-114700000,-152300000,-287400000,-306800000,-334200000,-167700000,-147200000
85,Acquisitions Net,- -,-74900000,- -,- -,- -,-88600000,-139300000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,21400000,18400000,8000000,2100000,- -,-200000,-39000000,-15300000
89,Cash Used for Investing Activites,-173200000,-171200000,-144300000,-285300000,-306800000,-423000000,-346000000,-162500000
90,Debt Repayment,-3600000,-3100000,-39100000,-2800000,-24800000,-1000000,-336300000,-305500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-36400000,-28900000,-36100000
93,Dividends Paid,- -,- -,- -,-27400000,-110200000,-113300000,-121300000,-135300000
94,Other Financing Activites,-196000000,-174600000,-193700000,-111800000,-43900000,-148900000,1611500000,-497100000
95,Cash Used/Provided by Financing Activities,-199600000,-177700000,-232800000,-142000000,-178900000,-299600000,1125000000,-974000000
96,Effect of Forex Changes on Cash,300000,-1200000,600000,1100000,3000000,-1700000,-1200000,2800000
97,Net Change In Cash,13900000,3600000,5800000,20700000,-1500000,-43400000,1351800000,-580500000
98,Cash at the End of Period,27000000,30600000,36400000,57100000,55600000,12200000,1364000000,783500000
99,Cash at the Beginning of Period,13100000,27000000,30600000,36400000,57100000,55600000,12200000,1364000000
100,Free Cash Flow,191800000,239000000,230000000,159500000,174400000,346700000,406300000,406000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/0001558370-17-005308-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/0001558370-18-005726-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/0001558370-19-006311-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/0001558370-20-008501-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/0001558370-21-009330-index.htm
102,false,,,,,,,,
