,https://roic.ai/company/CCM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,171789000,292436000,389524000,450125000,662349000,980635000,606883000,616485000,455042000,330977000,190898000,198363000,223011000
2,COGS,45597000,87561000,122700000,159416000,337204000,586949000,274562000,353336000,286543000,232979000,171136000,214193000,209928000
3,Gross Profit,126192000,204875000,266824000,290709000,325145000,393686000,332321000,263149000,168499000,97998000,19762000,-15830000,13083000
4,Gross Profit Ratio,0.7346,0.7006,0.6850,0.6458,0.4909,0.4015,0.5476,0.4269,0.3703,0.2961,0.1035,-0.0798,0.0587
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,18869000,29821000,70008000,80628000,71754000,105114000,53576000,132952000,205908000,237646000,291854000,315134000,294823000
7,Selling and Marketing Exp.,5497000,7675000,17150000,37453000,53911000,107842000,95096000,112815000,70093000,43608000,21718000,30241000,25761000
8,"Selling, General and Administrative Exp.",24366000,37496000,87158000,118081000,125665000,212956000,148672000,245767000,276001000,281254000,313572000,345375000,320584000
9,Other Expenses,- -,- -,- -,- -,-10433000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,24366000,37496000,87158000,118081000,115232000,212956000,148672000,245767000,276001000,281254000,313572000,345375000,320584000
11,COGS and Expenses,69963000,125057000,209858000,277497000,452436000,799905000,423234000,599103000,562544000,514233000,484708000,559568000,530512000
12,Interest Income ,430000,948000,7865000,13357000,5895000,17712000,21208000,22447000,27982000,12077000,14168000,9165000,8440000
13,Interest Expense (Gain),7455000,6891000,7448000,6454000,16255000,47027000,53470000,53214000,89327000,89959000,46232000,28700000,81359000
14,Depreciation and Amortization,38126000,78174000,109687000,120638000,150214000,182445000,201679000,158341000,129006000,94709000,54626000,56353000,80299000
15,EBITDA,147985000,246288000,290408000,-41591000,359486000,391245000,460708000,207276000,16952000,-67863000,-99966000,-260982000,-185955000
16,EBITDA ratio,0.8614,0.8422,0.7455,-0.0924,0.5427,0.3990,0.7591,0.3362,0.0373,-0.2050,-0.5237,-1.3157,-0.8338
17,Operating Income,101826000,167379000,179666000,-161306000,206553000,180730000,183649000,-5743000,-168626000,-211856000,-299243000,-437294000,-316001000
18,Operating Income ratio,0.5927,0.5724,0.4612,-0.3584,0.3118,0.1843,0.3026,-0.0093,-0.3706,-0.6401,-1.5676,-2.2045,-1.4170
19,Total Other Income Expenses (Gains),578000,-6156000,-4875000,-3726000,-9887000,-13654000,-8003000,489000,-35972000,-42039000,73997000,46216000,-125652000
20,Income Before Tax,102404000,161223000,174791000,-165032000,196666000,167076000,175646000,-5254000,-204598000,-253895000,-225246000,-391078000,-441653000
21,Income Before Tax Ratio,0.5961,0.5513,0.4487,-0.3666,0.2969,0.1704,0.2894,-0.0085,-0.4496,-0.7671,-1.1799,-1.9715,-1.9804
22,Income Tax expense (Gain),23335000,36396000,43873000,46320000,62186000,75880000,80850000,74025000,60486000,31789000,34051000,-38986000,-37624000
23,Net Income,79069000,124827000,129400000,-215003000,130831000,85893000,124709000,-78304000,-261867000,-284320000,-234875000,-307049000,-309989000
24,Net Income ratio,0.4603,0.4269,0.3322,-0.4777,0.1975,0.0876,0.2055,-0.1270,-0.5755,-0.8590,-1.2304,-1.5479,-1.3900
25,EPS,-14.28,1.86,2.67,-4.53,2.82,1.96,2.77,-1.77,-6.00,-6.57,-8.28,-12.72,-15.33
26,EPS Diluted,-14.28,1.86,2.67,-4.53,2.82,1.96,2.76,-1.77,-6.00,-6.57,-8.28,-12.72,-15.33
27,Weighted Average Shares Outstanding,32836267,24882926,48680198,47417151,46070392,45025724,44945433,44848924,43543956,43363992,43368262,43412833,43684619
28,Weighted Average Shares Outstanding Diluted,32836267,24882926,48680198,47417151,46070392,45025724,45060214,44848924,43543956,43363992,43368262,43412833,43684619
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1472072/000095012311062284/h05188e20vf.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312512182261/d340257d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312513178128/d526377d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312514162895/d655630d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000119312515148374/d856172d20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420416097228/v436874_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420417023641/v464314_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420418023992/tv488611_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000114420419022514/tv518902_20f.htm,https://www.sec.gov/Archives/edgar/data/1472072/000110465920054484/tm206468d1_20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,353991000,1037239000,535783000,219078000,75382000,283033000,478682000,485440000,189905000,98191000,404742000,74307000,334264000
32,Short-Term Investments,- -,- -,19498000,150287000,- -,128814000,143853000,60000000,- -,18900000,50000000,- -,- -
33,Cash and Short-Term Investments,353991000,1037239000,555281000,369365000,75382000,411847000,622535000,545440000,189905000,117091000,454742000,74307000,334264000
34,Net Receivables,92772000,111328000,170289000,244189000,405828000,459645000,512829000,358543000,338181000,387838000,332363000,193611000,280394000
35,Inventory,- -,- -,- -,- -,8681000,19717000,2986000,3897000,5923000,6284000,3356000,4341000,21610000
