,https://roic.ai/company/KALO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,15887,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,7595,5245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,8292,-5245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.5219,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,162815,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,55835,436915,2910164,4555257,6265546,1434231,2953330,7434862,2396884,6720230,790477,- -,35880286
7,Selling and Marketing Exp.,- -,- -,- -,- -,58484,426017,419702,359659,246127,230165,25553,5520,120729,51908,18563
8,"Selling, General and Administrative Exp.",18500,238559,55835,436915,2968648,4981274,6685248,1793890,3199457,7665027,2422437,6725750,911206,2084535,35898849
9,Other Expenses,- -,1600,4082,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,240159,59917,- -,- -,5144089,- -,- -,- -,- -,- -,- -,- -,2084535,35898849
11,COGS and Expenses,18500,247754,65162,440061,3658543,5229385,6773817,1823458,3253270,7741484,2453970,6725750,911206,51908,35898849
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,735,608,313,3709,140761,64831,18140,45878,948607,323944,168885,111291,111292,111596
14,Depreciation and Amortization,- -,1600,3144,3144,14127,85296,88569,29568,53813,76457,31533,- -,- -,- -,- -
15,EBITDA,-18500,-230267,-62018,-436917,-3644416,-5176535,-6685248,-1793890,-3199457,-7665027,-2422437,-6725750,-911206,-2355889,-35898849
16,EBITDA ratio,-Infinity,-14.4941,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-18500,-231867,-65162,-440061,-3658543,-5229385,-6788193,-1823458,-3253270,-7741484,-2557988,-6725750,-911206,-2084535,-35898849
18,Operating Income ratio,-Infinity,-14.5948,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,32446,-215598,154448,-955768,-1223476,-441122,-306225,147575,-271354,-156819
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-7003791,-1669010,-4209038,-8964960,-2999110,-7031975,-763631,-2355889,-36055668
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-18500,-232602,-65770,-440374,-3662252,-5337700,-7003791,-1669010,-4209038,-8964960,-2999110,-7031975,-763631,-2355889,-36055668
24,Net Income ratio,-Infinity,-14.6410,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.74,-24.00,-2.36,-15.64,-76.18,-52.19,-24.00,-3.60,-6.00,-0.95,-0.24,-0.01,-0.00,-0.00,-0.03
26,EPS Diluted,-0.74,-24.00,-2.36,-15.64,-76.18,-52.19,-24.00,-3.60,-6.00,-0.95,-0.24,-0.01,-0.00,-0.00,-0.03
27,Weighted Average Shares Outstanding,25030,8891,27874,28149,48245,102430,294904,503834,581353,9415867,12280662,732384815,1136329577,1148000000,1147698199
28,Weighted Average Shares Outstanding Diluted,25030,8891,27874,28149,48245,102430,294904,503834,581353,9415867,12280662,732384815,1136329577,1148000000,1147698199
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389034/000152013821000039/0001520138-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1389034/000152013821000143/0001520138-21-000143-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1550,87375,629,2969,59169,15821,318445,27448,250339,4998,- -,- -,- -,- -,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1550,87375,629,2969,59169,15821,318445,27448,250339,4998,- -,- -,- -,- -,- -
34,Net Receivables,- -,8087,- -,- -,- -,37571,87196,12276,11531,- -,- -,- -,- -,- -,- -
35,Inventory,- -,5245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,8900,78768,132817,25396,147012,132259,57011,4000,- -,- -,- -
37,Total Current Assets,1550,100707,629,2969,68069,132160,538458,65120,408882,137257,57011,4000,- -,- -,- -
38,PP&E,- -,12818,9674,6531,210658,166110,77541,47973,98241,135551,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,865000,865000,865000,865000,865000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,865000,865000,865000,865000,865000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
